scenario,scenarioLabel,cellRole,arm,methodLabel,armKind,schedulerMode,n,nEligible,meanRMSE,safeFailures,divergences,meanChargedUtil,meanOfferedUtil,meanControlOverhead,meanTrueAoI,meanCollisions,convergenceFraction,recoveryFraction,meanConflictFraction
n10-moderate-clock,N10 Moderate clock,single-fault,distributed-reservation-p10,Distributed reservation 10 Hz,distributed-sensitivity,distributed-reservation,30,30,1.1934563425501,13,0,0.847441666666619,0.768511111111064,0.0789305555555556,3.98418779120271,1773.53333333333,0.866666666666667,NaN,0.139861202356614
n10-moderate-clock,N10 Moderate clock,single-fault,distributed-reservation-p8p333,Distributed reservation 8.333 Hz,distributed-projection,distributed-reservation,30,30,1.17295363529812,18,0,0.718127777777744,0.639211111111078,0.0789166666666667,3.96972281449893,1454.26666666667,0.866666666666667,NaN,0.145436940143859
n10-moderate-clock,N10 Moderate clock,single-fault,frame-piggyback,Frame-aware piggyback,current,native,30,30,0.214373913055931,25,0,0.452377777777765,0.452377777777765,0,0.214938798073127,717.633333333333,0,NaN,0
n10-moderate-clock,N10 Moderate clock,single-fault,ideal-tdma-p10,Ideal TDMA 10 Hz,ideal-reference,round-robin,30,30,0.0894695855808337,0,0,0.399999999999993,0.399999999999993,0,0.0793153281212984,0,0,NaN,0
n10-moderate-clock,N10 Moderate clock,single-fault,ideal-tdma-p8p333,Ideal TDMA 8.333 Hz,ideal-reference,round-robin,30,30,0.101577148437933,0,0,0.333333333333334,0.333333333333334,0,0.0914427860696519,0,0,NaN,0
n10-moderate-clock,N10 Moderate clock,single-fault,local-static-p8p333,Local static TDMA 8.333 Hz,clock-isolation,local-static-tdma,30,30,1.20351671352369,20,0,0.678233333333296,0.678233333333296,0,3.90493248045486,1551,1,NaN,0
n10-moderate-clock,N10 Moderate clock,single-fault,zmac-like-hybrid,Z-MAC-like hybrid,prior-art-projection,zmac-like,30,30,0.170511948256112,0,0,0.205266666666667,0.205266666666667,0,0.165073205401564,51.9,0,NaN,0
n10-moderate-compound,N10 Moderate compound,compound,distributed-reservation-p10,Distributed reservation 10 Hz,distributed-sensitivity,distributed-reservation,30,30,1.17568167831384,13,0,0.806419444444399,0.748744444444399,0.057675,3.71624101713653,1723.83333333333,0.0333333333333333,0,0.977829082025438
n10-moderate-compound,N10 Moderate compound,compound,distributed-reservation-p8p333,Distributed reservation 8.333 Hz,distributed-projection,distributed-reservation,30,30,1.03593347649664,16,0,0.694449999999967,0.636822222222189,0.0576277777777778,3.49221606254441,1477.2,0.0666666666666667,0,0.975034204843878
n10-moderate-compound,N10 Moderate compound,compound,frame-piggyback,Frame-aware piggyback,current,native,30,30,0.214373913055931,25,0,0.452377777777765,0.452377777777765,0,0.214938798073127,717.633333333333,0,0,0
