stage,seed,scenario,scenarioLabel,family,arm,pointIndex,parameterValue,method,methodLabel,feedbackMode,N,topology,plant,macType,pAccess,configuredPAccess,backgroundLoad,carrierSenseDensity,interferenceDensity,stationaryMeanDataLoss,stationaryMeanAckLoss,meanBadDurationDataSec,meanBadDurationAckSec,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLL_PEAK_DEG,PITCH_PEAK_DEG,SATURATION,CONTROL_EFFORT,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MAX_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_ACTIVE_FRAMES,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,historySize,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,ADAPTIVE_ACK_PERMITTED,ADAPTIVE_ACK_DEFERRED,ADAPTIVE_ACK_FORCED,MEAN_LOCAL_BUSY,MAX_LOCAL_BUSY,LOAD_GUARD_BLOCKED,LOAD_GUARD_BLOCKED_BUSY,LOAD_GUARD_BLOCKED_QUEUE,LOAD_GUARD_BRANCH3,LOAD_GUARD_BRANCH4,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,DATA_CHANNEL_ATTEMPTS,ACK_CHANNEL_ATTEMPTS,DATA_BAD_ATTEMPT_FRACTION,ACK_BAD_ATTEMPT_FRACTION,TRACE_DATA_BAD_FRACTION,TRACE_ACK_BAD_FRACTION,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CHANNEL_MODEL_SIGNATURE,ESTIMATOR_HASH_EXACT,CONFIG_HASH,originalMacType,armKind,route,accessDesign,ackDesign,schedulerMode,oracleFlag,PERIODIC_RATE_HZ,TARGET_RATE_HZ,MEAN_NODE_GOODPUT_HZ,MIN_NODE_GOODPUT_HZ,MEAN_GOODPUT_MARGIN_HZ,MIN_GOODPUT_MARGIN_HZ,SERVICE_ADMISSIONS,SERVICE_COMPLETIONS,SERVICE_REPLACEMENTS,VIRTUAL_DEFICIT_MAX,VIRTUAL_DEFICIT_TERMINAL,MAX_STARVATION_SEC,SERVICE_DECISIONS,FIFO_COMPARABLE_DECISIONS,PRIORITY_DIFFERS_FIFO,PRIORITY_DIFFERS_FIFO_FRACTION,RECEIVER_TRUTH_READS,FUTURE_RANDOM_READS,SERVICE_DECISION_LOG_VALID,ENDOGENOUS_COLLISION_FRAMES,PROJECTION_FLAG,DTSA_DECISIONS,DTSA_DISAGREEMENTS,DTSA_DISAGREEMENT_FRACTION,AGE_GAIN_ELIGIBLE,ZMAC_OWNER_ATTEMPTS,ZMAC_CONTENTION_ATTEMPTS,DELTA_FINAL_PHASE,PUBLIC_FEEDBACK_COUNT,PUBLIC_FEEDBACK_AIRTIME,CHARGED_OFFERED_UTIL,MECHANISM_ACTIVATIONS,cellRole,controlReach,DISTRIBUTED_FLAG,IDEAL_FLAG,EXP21_TRACE_HASH_EXACT,RESERVATION_EPOCHS,CONTROL_FRAMES,CONTROL_REQUEST_FRAMES,CONTROL_RESPONSE_FRAMES,CONTROL_COMMIT_FRAMES,CONTROL_RECIPIENT_ATTEMPTS,CONTROL_RECIPIENT_SUCCESS,CONTROL_RECIPIENT_LOSS,CONTROL_ACCOUNTING_CLOSE,CONTROL_AIRTIME,CONTROL_OVERHEAD_FRACTION,RESERVATION_NACKS,RESERVATION_MIGRATIONS,RESERVATION_SCHEDULE_CHANGES,SCHEDULE_CONFLICT_FRACTION,FIRST_CONVERGENCE_SEC,CONVERGED_BY_2SEC,CHURN_APPLIED,CHURN_RECOVERY_SEC,RECOVERED_BY_2SEC,FINAL_ASSIGNED_NODES,FINAL_FULL_UNIQUE,MAX_ABS_CLOCK_OFFSET_SEC,MAX_ABS_CLOCK_DRIFT_PPM,LOCAL_SCHEDULE_ONLY
development-falsification,16030001,n5-stressed-nominal,N5 Stressed nominal,EXP21A distributed scheduling reality check,frame-piggyback,1,NaN,causal-broadcast,Frame-aware piggyback,piggyback,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.104476201302987,0.461103727560114,0,0,9.59667238153547,12.4083022677207,0,1.03646019152773,0.166578220011056,0.48,0.680000000000001,0.82,0.370503040353787,0.203924820342731,1068,1036,492,0,333,1900,730,1170,824,333,491,0,0,0,468,0.451737451737452,0,453,425,22,1,32,32,0,0,0,0,0,824,450,0.294499999999972,0,0,0,0.280578706208704,0.382321448737539,0,0,0,0,0,0.345333333333332,4.14399999999999,0,0.210944000000002,0,0,0.828799999999997,41,60.8333333333333,27.75,0.0233040540540542,0.0570000000000004,0.0763213213213215,0.17,0.979897178480347,2190,0,0.302283105022831,0,0.297647058823529,0.311431428095317,3.287237,0,1005597,21813585371,110997405,0,259863909,aloha,current,piggyback,frame-aware,piggyback,native,NaN,NaN,NaN,8.2,6.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,1,468,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.345333333333332,0,nominal,full,0,0,503334553415,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,0,0,1
development-falsification,16030001,n5-stressed-nominal,N5 Stressed nominal,EXP21A distributed scheduling reality check,ideal-tdma-p8p333,2,8.33333333333333,periodic,Ideal TDMA 8.333 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.080396544127567,0.498705842321613,0,0,9.8071698667495,12.7381115521403,0,1.03655858544651,0.122786069651741,0.34,0.48,0.600000000000001,NaN,NaN,500,500,427,0,0,900,646,254,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.166666666666654,0,0,0,0.166369583834491,0.201679706394814,0,0,0,0,0,0.166666666666667,2,0,0,0,0,0.4,35.5833333333333,53.8333333333333,0,0.00800000000000013,0.016,NaN,NaN,0.986228532792427,900,0,0.286666666666667,0,0.297647058823529,0.311431428095317,2.0740157,0,1005597,21813585371,110997405,0,226338673,aloha,ideal-reference,none,ideal-centralized-tdma,none,round-robin,NaN,8.33333333333333,NaN,7.11666666666667,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,500,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.166666666666667,500,nominal,full,0,1,503334553415,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,0,0,1
development-falsification,16030001,n5-stressed-nominal,N5 Stressed nominal,EXP21A distributed scheduling reality check,ideal-tdma-p10,3,10,periodic,Ideal TDMA 10 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0745675096598419,0.50586660689159,0,0,9.76778919388916,12.5327788802151,0,1.03655549304532,0.11232725262576,0.299999999999999,0.52,0.699999999999999,NaN,NaN,600,600,504,0,0,1080,764,316,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.199999999999984,0,0,0,0.19984747759072,0.233206941122285,0,0,0,0,0,0.2,2.4,0,0,0,0,0.48,42,63.6666666666667,0,0.00800000000000012,0.016,NaN,NaN,0.984672636353064,1080,0,0.29537037037037,0,0.297647058823529,0.311431428095317,1.9701123,0,1005597,21813585371,110997405,0,226180431,aloha,ideal-reference,none,ideal-centralized-tdma,none,round-robin,NaN,10,NaN,8.4,6.91666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,600,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.2,600,nominal,full,0,1,503334553415,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,0,0,1
development-falsification,16030001,n5-stressed-nominal,N5 Stressed nominal,EXP21A distributed scheduling reality check,local-static-p8p333,4,8.33333333333333,periodic,Local static TDMA 8.333 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0774920405104192,0.504199938137184,0,0,9.8071698667495,12.7381115521403,0,1.03653176865377,0.11681592039801,0.300000000000001,0.440000000000001,0.600000000000001,NaN,NaN,500,500,426,0,0,900,654,246,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.166666666666654,0,0,0,0.166369583834491,0.201679706394814,0,0,0,0,0,0.166666666666667,2,0,0,0,0,0.4,35.5,54.5,0,0.00800000000000013,0.016,NaN,NaN,0.984730587660752,900,0,0.287777777777778,0,0.297647058823529,0.311431428095317,2.558541,0,1005597,21813585371,110997405,0,225749460,aloha,clock-isolation,none,fixed-map-local-clock,none,local-static-tdma,NaN,8.33333333333333,NaN,7.1,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,500,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.166666666666667,500,nominal,full,0,0,503334553415,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NaN,NaN,5,1,0,0,1
development-falsification,16030001,n5-stressed-nominal,N5 Stressed nominal,EXP21A distributed scheduling reality check,distributed-reservation-p8p333,5,8.33333333333333,periodic,Distributed reservation 8.333 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0853048649694184,0.49129763126143,0,0,10.0329424832116,13.7158121530037,0,1.03683823508165,0.131077943615257,0.359999999999999,0.560000000000001,0.84,NaN,NaN,500,484,406,0,0,868,606,262,0,0,0,0,0,0,0,0,0,16,0,0,1,32,32,0,0,0,0,0,0,0,0.161333333333321,0,0,0,0.166369693743663,0.204621556615263,0,0,0,0,0,0.161333333333333,1.936,0,0,0,0,0.3872,33.8333333333333,50.5,0,0.00872727272727286,0.0160000000000008,NaN,NaN,0.985625448457307,868,0,0.302995391705069,0,0.297647058823529,0.311431428095317,2.749688,0,1005597,21813585371,110997405,0,225826805,aloha,distributed-projection,none,aydin-inspired-two-hop-reservation-projection,none,distributed-reservation,NaN,8.33333333333333,NaN,6.76666666666667,5.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,484,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.191,484,nominal,full,1,0,503334553415,24,356,120,120,116,1396,1318,78,1,0.356,0.0296666666666667,4,0,5,0.0836475831333562,1,1,0,NaN,NaN,5,1,0,0,1
development-falsification,16030001,n5-stressed-nominal,N5 Stressed nominal,EXP21A distributed scheduling reality check,distributed-reservation-p10,6,10,periodic,Distributed reservation 10 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0761422480382327,0.501642653623752,0,0,9.93803977587191,13.4601057428875,0,1.03692883076084,0.108236594803759,0.280000000000001,0.4,0.619999999999999,NaN,NaN,600,580,483,0,0,1040,726,314,0,0,0,0,0,0,0,0,0,20,0,0,1,32,32,0,0,0,0,0,0,0,0.193333333333318,0,0,0,0.199851488012405,0.236892587889489,0,0,0,0,0,0.193333333333333,2.32,0,0,0,0,0.464,40.25,60.5,0,0.0109482758620691,0.027000000000001,NaN,NaN,0.984611813366535,1040,0,0.306730769230769,0,0.297647058823529,0.311431428095317,2.3126611,0,1005597,21813585371,110997405,0,225668888,aloha,distributed-sensitivity,none,aydin-inspired-two-hop-reservation-projection,none,distributed-reservation,NaN,10,NaN,8.05,6.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,580,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.223,580,nominal,full,1,0,503334553415,24,356,120,120,116,1396,1318,78,1,0.356,0.0296666666666667,4,0,5,0.0836475831333562,1,1,0,NaN,NaN,5,1,0,0,1
development-falsification,16030001,n5-stressed-nominal,N5 Stressed nominal,EXP21A distributed scheduling reality check,zmac-like-hybrid,7,NaN,state-event,Z-MAC-like hybrid,none,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.150998496713011,0.421006798661172,0,0,9.67413084992414,12.9288864965089,0,1.03651196811166,0.244566058595909,0.671999999999998,0.92,1.06,NaN,NaN,302,336,263,0,0,604,381,223,0,0,0,0,0,0,34,0.101190476190476,0,0,34,0,1,32,32,0,0,0,0,0,0,0,0.106333333333331,0,0,0,0.0774687933094888,0.116541115395218,0,0,0,0,0,0.112,1.344,0,0,0,0,0.2688,21.9166666666667,31.75,0,0.00283035714285719,0.00900000000000034,NaN,NaN,0.9817472145341,604,0,0.306291390728477,0,0.297647058823529,0.311431428095317,1.5959493,0,1005597,21813585371,110997405,0,228052119,aloha,prior-art-projection,none,zmac-like,none,zmac-like,NaN,NaN,NaN,4.38333333333333,3.41666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,319,NaN,NaN,NaN,0,0,1,34,NaN,NaN,NaN,NaN,NaN,222,114,NaN,0,0,0.112,319,nominal,full,0,0,503334553415,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,0,0,1
development-falsification,16030001,n5-stressed-clock,N5 Stressed clock,EXP21A distributed scheduling reality check,frame-piggyback,1,NaN,causal-broadcast,Frame-aware piggyback,piggyback,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.104476201302987,0.461103727560114,0,0,9.59667238153547,12.4083022677207,0,1.03646019152773,0.166578220011056,0.48,0.680000000000001,0.82,0.370503040353787,0.203924820342731,1068,1036,492,0,333,1900,730,1170,824,333,491,0,0,0,468,0.451737451737452,0,453,425,22,1,32,32,0,0,0,0,0,824,450,0.294499999999972,0,0,0,0.280578706208704,0.382321448737539,0,0,0,0,0,0.345333333333332,4.14399999999999,0,0.210944000000002,0,0,0.828799999999997,41,60.8333333333333,27.75,0.0233040540540542,0.0570000000000004,0.0763213213213215,0.17,0.979897178480347,2190,0,0.302283105022831,0,0.297647058823529,0.311431428095317,3.3185868,0,1005597,21813585371,110997405,0,260365252,aloha,current,piggyback,frame-aware,piggyback,native,NaN,NaN,NaN,8.2,6.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,1,468,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.345333333333332,0,single-fault,full,0,0,503334553415,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,0,0,1
development-falsification,16030001,n5-stressed-clock,N5 Stressed clock,EXP21A distributed scheduling reality check,ideal-tdma-p8p333,2,8.33333333333333,periodic,Ideal TDMA 8.333 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.080396544127567,0.498705842321613,0,0,9.8071698667495,12.7381115521403,0,1.03655858544651,0.122786069651741,0.34,0.48,0.600000000000001,NaN,NaN,500,500,427,0,0,900,646,254,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.166666666666654,0,0,0,0.166369583834491,0.201679706394814,0,0,0,0,0,0.166666666666667,2,0,0,0,0,0.4,35.5833333333333,53.8333333333333,0,0.00800000000000013,0.016,NaN,NaN,0.986228532792427,900,0,0.286666666666667,0,0.297647058823529,0.311431428095317,2.0628938,0,1005597,21813585371,110997405,0,226840016,aloha,ideal-reference,none,ideal-centralized-tdma,none,round-robin,NaN,8.33333333333333,NaN,7.11666666666667,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,500,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.166666666666667,500,single-fault,full,0,1,503334553415,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,0,0,1
development-falsification,16030001,n5-stressed-clock,N5 Stressed clock,EXP21A distributed scheduling reality check,ideal-tdma-p10,3,10,periodic,Ideal TDMA 10 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0745675096598419,0.50586660689159,0,0,9.76778919388916,12.5327788802151,0,1.03655549304532,0.11232725262576,0.299999999999999,0.52,0.699999999999999,NaN,NaN,600,600,504,0,0,1080,764,316,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.199999999999984,0,0,0,0.19984747759072,0.233206941122285,0,0,0,0,0,0.2,2.4,0,0,0,0,0.48,42,63.6666666666667,0,0.00800000000000012,0.016,NaN,NaN,0.984672636353064,1080,0,0.29537037037037,0,0.297647058823529,0.311431428095317,1.941141,0,1005597,21813585371,110997405,0,226681774,aloha,ideal-reference,none,ideal-centralized-tdma,none,round-robin,NaN,10,NaN,8.4,6.91666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,600,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.2,600,single-fault,full,0,1,503334553415,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,0,0,1
