N,syncPeriodSec,guardFactor,n,runsWithCollision,totalCollisionFrames,meanOfferedUtilization,meanChannelUtilization,maxClockEquationResidual
5,0.5,0,100,100,325456,0.99224832,0.965323143286148,9.15933995315754e-16
5,0.5,0.75,100,95,12396,0.87551232,0.875329490493813,9.43689570931383e-16
5,0.5,1,100,0,0,0.84479232,0.84479231999999,9.43689570931383e-16
5,0.5,1.25,100,0,0,0.81407232,0.814072319999991,9.43689570931383e-16
5,Inf,0,100,100,335195,0.999808,0.959418629058324,8.88178419700125e-16
5,Inf,0.75,100,1,94,0.73702144,0.737020045142517,8.88178419700125e-16
5,Inf,1,100,0,0,0.67774976,0.677749759999992,1.77635683940025e-15
5,Inf,1.25,100,0,0,0.627072,0.627071999999993,1.77635683940025e-15
10,0.5,0,100,100,321139,0.99226368,0.965251070716786,9.15933995315754e-16
10,0.5,0.75,100,98,12966,0.87552768,0.875350420607376,9.15933995315754e-16
10,0.5,1,100,0,0,0.84480768,0.84480767999999,9.15933995315754e-16
10,0.5,1.25,100,0,0,0.81408768,0.814087679999991,9.43689570931383e-16
10,Inf,0,100,100,326036,0.999825920000001,0.959927969073937,1.77635683940025e-15
10,Inf,0.75,100,2,208,0.73702912,0.737023182925353,1.77635683940025e-15
10,Inf,1,100,0,0,0.67776768,0.677767679999992,8.88178419700125e-16
10,Inf,1.25,100,0,0,0.62708992,0.627089919999993,8.88178419700125e-16
