gate,passed,detail
registry_frozen,1,"hash 44227844 over 48 leaves"
matrix_complete_unique,1,"240/240 unique rows"
exact_seed_cell_arm_coverage,1,"30 seeds, two cells and four arms exact"
paired_absolute_traces,1,"channel, estimator and continuous-clock hashes match per group"
causal_local_information_only,1,"zero future reads, zero receiver-truth reads"
clock_equation_closes,1,"maximum residual 9.44e-16 s"
exact_physical_airtime,1,"DATA airtime equals attempts times 3.072 ms"
zero_clock_collision_free,1,"0 zero-clock collision frames"
safe_guard_collision_free,1,"0 safe-guard collision frames"
unguarded_clock_mechanism_activated,1,"99752 witness collision frames"
ideal_reference_collision_free,1,"centralized reference has zero endogenous collisions"
zero_clock_consistent_with_ideal,1,"n5-stressed RMSE 0.082546/0.082328 util 0.128/0.16667 fail 0/0; n10-moderate RMSE 0.10096/0.10151 util 0.256/0.33333 fail 0/0"
recipient_and_interval_accounting,1,"terminal recipient counts close and busy union does not exceed offered"
all_failures_retained,1,"60 unsafe retained"
integration_scope_only,1,"no policy promotion or submission decision in this study"
