gate,passed,detail
registry_frozen,1,"hash 49647790 over 67 leaves"
matrix_complete_unique,1,"360/360 unique rows"
exact_seed_cell_arm_coverage,1,"30 seeds, two cells and six arms exact"
paired_absolute_traces,1,"shared, estimator and D-STR hashes paired within seed/cell"
causal_information_contract,1,"zero future-random and receiver-truth decision reads"
all_dstr_opportunities_served,1,"0 skipped opportunities"
exact_data_outcome_replay,1,"scheduled and observed success/erasure/collision counts match"
data_collision_witness_match,1,"event collision frames equal completed kernel witnesses"
management_accounting_closes,1,"recipient partitions and management attempt-airtime close"
cross_plane_nonoverlap,1,"0 overlap witnesses"
restricted_composability_marked,1,"0/60 restricted rows physically composable"
rejoin_path_activated,1,"60/60 churn rows activated"
recipient_and_airtime_accounting,1,"right-censored DATA and fully charged utilization close"
protocol_invariants,1,"0 invariant violations"
all_failures_retained,1,"45 unsafe, 40 unresolved, 28 invalid retained"
boundary_scope_only,1,"no tuning, method promotion or submission decision"
