scenario,candidate,reference,metric,nPairs,meanDelta,ciLo,ciHi,relativeDelta
n5-6dof,zero-native,zero-warm,RMSE,30,1.64151811842298e-05,1.23662585687039e-05,2.04913276074736e-05,0.000636394127122105
n5-6dof,zero-native,zero-warm,MEAN_TRUE_AOI,30,3.95245992260742e-05,2.48756218905442e-05,5.44499723603949e-05,0.00129283066630446
n5-6dof,zero-native,zero-warm,OFFERED_UTIL,30,0.0589311999999987,0.0560552533333319,0.0618668799999988,0.138674698795175
n5-6dof,beacon-loss-native,beacon-loss-warm,RMSE,30,0.00284655871182483,0.00219350965236138,0.00358650007433417,0.10721711752569
n5-6dof,beacon-loss-native,beacon-loss-warm,MEAN_TRUE_AOI,30,0.00660199004975122,0.00502455085682696,0.00852333471531229,0.203517202597004
n5-6dof,beacon-loss-native,beacon-loss-warm,OFFERED_UTIL,30,0.0664661333333251,0.0626856533333247,0.070186666666659,0.156405622489937
n5-6dof,beacon-loss-native,zero-native,RMSE,30,0.00358557465783044,0.00294157571529734,0.00434402333619915,0.138919418789253
n5-6dof,beacon-loss-native,zero-native,MEAN_TRUE_AOI,30,0.00842979546710884,0.00682000414593691,0.0103290146489773,0.275378545050697
n5-6dof,beacon-loss-native,zero-native,OFFERED_UTIL,30,0.0075349333333264,0.00271317333332567,0.0121941333333267,0.0155715444573621
n5-6dof,churn-rejoin-native,zero-native,RMSE,30,7.329957954667e-06,-3.44144767582526e-07,1.4662635012243e-05,0.000283991715690041
n5-6dof,churn-rejoin-native,zero-native,MEAN_TRUE_AOI,30,2.37700386954105e-05,-6.08070757323645e-06,5.30679933664835e-05,0.000776502668099239
n5-6dof,churn-rejoin-native,zero-native,OFFERED_UTIL,30,0.00118613333333303,-0.00157034666666717,0.0040277333333332,0.00245123972771774
n10-ring2,zero-native,zero-warm,RMSE,30,0.0022109925816557,0.00194485879537232,0.00248057626989077,0.0732431471266624
n10-ring2,zero-native,zero-warm,MEAN_TRUE_AOI,30,0.00376349024110248,0.0033055045286391,0.00422453756856777,0.114628744608939
n10-ring2,zero-native,zero-warm,OFFERED_UTIL,30,0.180974933333346,0.165784533333345,0.195575893333347,0.234083885209722
n10-ring2,beacon-loss-native,beacon-loss-warm,RMSE,30,0.00991265678406994,0.00843887447054475,0.0115735571844058,0.315985383045218
n10-ring2,beacon-loss-native,beacon-loss-warm,MEAN_TRUE_AOI,30,0.0161581834417658,0.0135918133690525,0.018914277969129,0.462980291245115
n10-ring2,beacon-loss-native,beacon-loss-warm,OFFERED_UTIL,30,0.00878933333332598,-0.0217435733333438,0.0379227733333278,0.0113686534216237
n10-ring2,beacon-loss-native,zero-native,RMSE,30,0.00888525912436338,0.00738513840654309,0.0105425558708683,0.274253188339144
n10-ring2,beacon-loss-native,zero-native,MEAN_TRUE_AOI,30,0.0144630692690394,0.0119342231151933,0.0172990655695879,0.395214590479376
n10-ring2,beacon-loss-native,zero-native,OFFERED_UTIL,30,-0.17218560000002,-0.201659733333355,-0.142233386666684,-0.180470091585589
n10-ring2,churn-rejoin-native,zero-native,RMSE,30,-0.000427054961192687,-0.000679709522725202,-0.000165874458060927,-0.0131815159314822
n10-ring2,churn-rejoin-native,zero-native,MEAN_TRUE_AOI,30,-0.00072994004337295,-0.00114262023217257,-0.000304885827273933,-0.0199461780863959
n10-ring2,churn-rejoin-native,zero-native,OFFERED_UTIL,30,0.0195925333333334,0.00594751999999865,0.0332204800000007,0.0205352032054944
