stage,seed,scenario,scenarioLabel,family,arm,pointIndex,parameterValue,method,methodLabel,feedbackMode,N,topology,plant,macType,pAccess,configuredPAccess,backgroundLoad,carrierSenseDensity,interferenceDensity,stationaryMeanDataLoss,stationaryMeanAckLoss,meanBadDurationDataSec,meanBadDurationAckSec,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLL_PEAK_DEG,PITCH_PEAK_DEG,SATURATION,CONTROL_EFFORT,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MAX_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_ACTIVE_FRAMES,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,historySize,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,ADAPTIVE_ACK_PERMITTED,ADAPTIVE_ACK_DEFERRED,ADAPTIVE_ACK_FORCED,MEAN_LOCAL_BUSY,MAX_LOCAL_BUSY,LOAD_GUARD_BLOCKED,LOAD_GUARD_BLOCKED_BUSY,LOAD_GUARD_BLOCKED_QUEUE,LOAD_GUARD_BRANCH3,LOAD_GUARD_BRANCH4,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,DATA_CHANNEL_ATTEMPTS,ACK_CHANNEL_ATTEMPTS,DATA_BAD_ATTEMPT_FRACTION,ACK_BAD_ATTEMPT_FRACTION,TRACE_DATA_BAD_FRACTION,TRACE_ACK_BAD_FRACTION,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CHANNEL_MODEL_SIGNATURE,ESTIMATOR_HASH_EXACT,CONFIG_HASH,originalMacType,armKind,route,accessDesign,ackDesign,schedulerMode,oracleFlag,PERIODIC_RATE_HZ,TARGET_RATE_HZ,MEAN_NODE_GOODPUT_HZ,MIN_NODE_GOODPUT_HZ,MEAN_GOODPUT_MARGIN_HZ,MIN_GOODPUT_MARGIN_HZ,SERVICE_ADMISSIONS,SERVICE_COMPLETIONS,SERVICE_REPLACEMENTS,VIRTUAL_DEFICIT_MAX,VIRTUAL_DEFICIT_TERMINAL,MAX_STARVATION_SEC,SERVICE_DECISIONS,FIFO_COMPARABLE_DECISIONS,PRIORITY_DIFFERS_FIFO,PRIORITY_DIFFERS_FIFO_FRACTION,RECEIVER_TRUTH_READS,FUTURE_RANDOM_READS,SERVICE_DECISION_LOG_VALID,ENDOGENOUS_COLLISION_FRAMES,PROJECTION_FLAG,DTSA_DECISIONS,DTSA_DISAGREEMENTS,DTSA_DISAGREEMENT_FRACTION,AGE_GAIN_ELIGIBLE,ZMAC_OWNER_ATTEMPTS,ZMAC_CONTENTION_ATTEMPTS,DELTA_FINAL_PHASE,PUBLIC_FEEDBACK_COUNT,PUBLIC_FEEDBACK_AIRTIME,CHARGED_OFFERED_UTIL,MECHANISM_ACTIVATIONS,cellRole,controlReach,DISTRIBUTED_FLAG,IDEAL_FLAG,EXP21_TRACE_HASH_EXACT,RESERVATION_EPOCHS,CONTROL_FRAMES,CONTROL_REQUEST_FRAMES,CONTROL_RESPONSE_FRAMES,CONTROL_COMMIT_FRAMES,CONTROL_RECIPIENT_ATTEMPTS,CONTROL_RECIPIENT_SUCCESS,CONTROL_RECIPIENT_LOSS,CONTROL_ACCOUNTING_CLOSE,CONTROL_AIRTIME,CONTROL_OVERHEAD_FRACTION,RESERVATION_NACKS,RESERVATION_MIGRATIONS,RESERVATION_SCHEDULE_CHANGES,SCHEDULE_CONFLICT_FRACTION,FIRST_CONVERGENCE_SEC,CONVERGED_BY_2SEC,CHURN_APPLIED,CHURN_RECOVERY_SEC,RECOVERED_BY_2SEC,FINAL_ASSIGNED_NODES,FINAL_FULL_UNIQUE,MAX_ABS_CLOCK_OFFSET_SEC,MAX_ABS_CLOCK_DRIFT_PPM,LOCAL_SCHEDULE_ONLY,EXP21C_TRACE_HASH_EXACT,CONTINUOUS_START_OPPORTUNITIES,CONTINUOUS_START_ATTEMPTS,CONTINUOUS_GUARD_SEC,CONTINUOUS_SLOT_SEC,CONTINUOUS_SYNC_SEC,CONTINUOUS_MAX_CLOCK_RESIDUAL,CONTINUOUS_MAX_OFFSET_BOUND_SEC,CONTINUOUS_MAX_DRIFT_BOUND_PPM,CONTINUOUS_REALIZED_MAX_DRIFT_PPM,CONTINUOUS_EXACT_AIRTIME,DSTR_NATIVE_FLAG,DSTR_WARM_FLAG,DSTR_SCHEDULE_HASH_EXACT,DSTR_KERNEL_TRACE_HASH_EXACT,DSTR_KERNEL_CONFIG_HASH,DSTR_SCHEDULED_DATA_ATTEMPTS,DSTR_EXPECTED_DATA_COLLISION_FRAMES,DSTR_EXPECTED_DATA_RECIPIENT_SUCCESS,DSTR_EXPECTED_DATA_RECIPIENT_ERASURE,DSTR_EXPECTED_DATA_RECIPIENT_COLLISION,DSTR_OBSERVED_DATA_RECIPIENT_SUCCESS,DSTR_OBSERVED_DATA_RECIPIENT_ERASURE,DSTR_OBSERVED_DATA_RECIPIENT_COLLISION,DSTR_DATA_OUTCOME_MISMATCHES,DSTR_DATA_OPPORTUNITIES,DSTR_DATA_ATTEMPTS,DSTR_DATA_SKIPPED_NO_QUEUE,DSTR_DATA_COLLISION_WITNESS_MATCH,DSTR_MANAGEMENT_BUSY_SLOTS,DSTR_MANAGEMENT_ATTEMPTS,DSTR_MANAGEMENT_AIRTIME,DSTR_MANAGEMENT_RECIPIENT_ATTEMPTS,DSTR_MANAGEMENT_RECIPIENT_SUCCESS,DSTR_MANAGEMENT_RECIPIENT_ERASURE,DSTR_MANAGEMENT_RECIPIENT_COLLISION,DSTR_MANAGEMENT_COLLISION_SLOTS,DSTR_MANAGEMENT_ACCOUNTING_CLOSE,DSTR_CROSS_PLANE_OVERLAPS,DSTR_FIRST_CONVERGENCE_SEC,DSTR_KERNEL_FIRST_RESOLUTION_FRAME,DSTR_KERNEL_FIRST_CONVERGENCE_FRAME,DSTR_KERNEL_FINAL_RESOLVED,DSTR_KERNEL_FINAL_COLLISION_FREE,DSTR_KERNEL_FINAL_FRAME_AGREEMENT,DSTR_KERNEL_FINAL_DATA_SLOTS,DSTR_KERNEL_MAX_FRAME_DISAGREEMENT,DSTR_KERNEL_FALSE_RESOLVED_NODE_FRAMES,DSTR_KERNEL_RECOVERY_FRAME,DSTR_LAST_DATA_TIME,DSTR_LAST_CONTROL_TIME,BOUNDARY_CONDITION,PHYSICAL_REPLAY_VALID,KERNEL_PREFIX_MAX_FRAME_DISAGREEMENT,WARM_REFERENCE,KERNEL_CHURN_APPLIED,KERNEL_DATA_ATTEMPTS,KERNEL_DATA_RECIPIENT_ATTEMPTS,KERNEL_DATA_RECIPIENT_SUCCESS,KERNEL_DATA_RECIPIENT_ERASURE,KERNEL_DATA_RECIPIENT_COLLISION,KERNEL_MANAGEMENT_ATTEMPTS,KERNEL_MANAGEMENT_RECIPIENT_ATTEMPTS,KERNEL_MANAGEMENT_RECIPIENT_SUCCESS,KERNEL_MANAGEMENT_RECIPIENT_ERASURE,KERNEL_MANAGEMENT_RECIPIENT_COLLISION,SCHEDULE_TERMINAL_RESOLVED,SCHEDULE_TERMINAL_COLLISION_FREE,SCHEDULE_TERMINAL_FRAME_AGREEMENT
prior-art-boundary-falsification,16037001,n5-6dof,N5 6-DOF,EXP21D D-STR boundary continuation,zero-native,1,0,periodic,D-STR native zero loss,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0258076354541491,0.565340718198504,0,0,10.4134626722864,12.3168516849255,0,1.03688569884834,0.0306053067993366,0.0400000000000009,0.0400000000000009,0.0400000000000009,NaN,NaN,3000,1595,1595,0,0,3821,3821,0,0,0,0,0,0,0,0,0,0,1405,0,0,1,32,32,0,0,0,0,0,0,0,0.459519999999988,0,0,0,0,0,0,0,0,0,0,0.482816000000006,4.89984000000008,0,0,0,0,1.15875840000002,132.916666666667,318.416666666667,0,0.0100093346297557,0.0190561820232803,NaN,NaN,0.999996069236469,3821,0,0,0,0,0,0.6178538,0,1814219,0,110997400,0,177658159489,tdma,prior-art-native,none,continuous-dstr-replay,none,continuous-dstr-replay,NaN,50,NaN,26.5833333333333,26.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1595,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.482816000000006,1595,nominal,full,1,0,503247014065,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7771146276251,1,0,NaN,NaN,5,1,0,0,1,188597663469,1595,1595,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,1,0,3551823379,100809360088,1222489,1595,0,3821,0,0,3821,0,0,0,1595,1595,0,1,204,291,0.893951999999998,920,596,0,324,55,1,0,1.7771146276251,6,37,1,1,1,5,0,0,NaN,11.9955237364695,11.6848898787952,zero,1,0,0,0,5995,14381,14381,0,0,903,3048,2244,0,804,1,1,1
prior-art-boundary-falsification,16037001,n5-6dof,N5 6-DOF,EXP21D D-STR boundary continuation,zero-warm,2,0,periodic,Oracle-warm zero loss,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0257940488207558,0.565282164815647,0,0,10.0824356103589,12.246199638878,0,1.03684687522748,0.0305721393034826,0.0400000000000009,0.0400000000000009,0.0400000000000009,NaN,NaN,3000,1660,1660,0,0,3984,3984,0,0,0,0,0,0,0,0,0,0,1338,0,0,1,32,32,0,0,0,0,0,0,0,0.424959999999989,0,0,0,0,0,0,0,0,0,0,0.424960000000009,5.09952000000011,0,0,0,0,1.01990400000002,138.333333333333,332,0,0.010011225937231,0.0190049246129848,NaN,NaN,1,3984,0,0,0,0,0,0.711856199999999,0,1814219,0,110997400,0,177493698282,tdma,oracle-cost-decomposition,none,continuous-dstr-replay,none,continuous-dstr-replay,NaN,50,NaN,27.6666666666667,27.6666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1660,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.424960000000009,1660,nominal,full,0,1,503247014065,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NaN,NaN,5,1,0,0,1,188597663469,1660,1660,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,0,1,3075789366,100809360088,1222489,1660,0,3984,0,0,3984,0,0,0,1660,1660,0,1,0,0,0,0,0,0,0,0,1,0,0,6,37,1,1,1,5,0,0,NaN,11.9882996932677,-Inf,zero,1,0,1,0,5995,14381,14381,0,0,903,3048,2244,0,804,1,1,1
prior-art-boundary-falsification,16037001,n5-6dof,N5 6-DOF,EXP21D D-STR boundary continuation,beacon-loss-native,3,0.05,periodic,D-STR native DATA erasure 0.05,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0301137876448951,0.560267842120776,0,0,10.2792392325657,12.4962772921298,0,1.0368331476913,0.0413101160862354,0.0800000000000001,0.219999999999999,0.479999999999999,NaN,NaN,3000,1340,1325,0,0,3160,2972,185,0,0,0,1,3,0,32,0.0238805970149254,0,1660,0,0,1,32,32,0,0,0,0,0,0,0,0.415560020160794,0,0,0,0,0,0,0,0,0,0,0.474879999999997,4.11647999999998,0,0,0,0,1.13971199999999,110.416666666667,247.666666666667,0,0.00992322384335001,0.0189034132245331,NaN,NaN,0.999880398784624,3157,0,0,0,0,0,0.404671999999999,0,1814219,0,110997400,0,177366973418,tdma,prior-art-boundary,none,continuous-dstr-replay,none,continuous-dstr-replay,NaN,50,NaN,22.0833333333333,21.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1340,NaN,NaN,NaN,0,0,1,32,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.474879999999997,1340,nominal,full,1,0,503247014065,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.74205437849514,0,0,NaN,NaN,5,1,0,0,1,188597663469,1340,1340,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,1,0,3294086175,100809360088,2155802,1340,32,2972,145,40,2972,145,40,0,1340,1340,0,1,315,515,1.58207999999999,1466,760,0,706,119,1,0,3.74205437849514,10,68,0,1,1,6,0,13,NaN,11.9991357580703,11.9774636284652,beacon-loss,1,0,0,0,5932,14104,13322,666,116,2115,6520,3524,0,2996,0,1,1
prior-art-boundary-falsification,16037001,n5-6dof,N5 6-DOF,EXP21D D-STR boundary continuation,beacon-loss-warm,4,0.05,periodic,Oracle-warm DATA erasure 0.05,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0264320569821182,0.564233371359102,0,0,10.0948705729507,12.2631032339955,0,1.03683909651434,0.0322305140961857,0.0400000000000009,0.0800000000000001,0.119999999999999,NaN,NaN,3000,1660,1658,0,0,3984,3798,186,0,0,0,0,0,0,0,0,0,1338,0,0,1,32,32,0,0,0,0,0,0,0,0.424959999999989,0,0,0,0,0,0,0,0,0,0,0.424960000000009,5.09952000000011,0,0,0,0,1.01990400000002,138.166666666667,316.5,0,0.010011225937231,0.0190049246129848,NaN,NaN,0.999994179659365,3984,0,0,0,0,0,0.4878172,0,1814219,0,110997400,0,177529672103,tdma,oracle-loss-decomposition,none,continuous-dstr-replay,none,continuous-dstr-replay,NaN,50,NaN,27.6333333333333,27.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1660,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.424960000000009,1660,nominal,full,0,1,503247014065,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NaN,NaN,5,1,0,0,1,188597663469,1660,1660,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,0,1,3075812840,100809360088,2155802,1660,0,3798,186,0,3798,186,0,0,1660,1660,0,1,0,0,0,0,0,0,0,0,1,0,0,10,68,0,1,1,6,0,13,NaN,11.9882996932677,-Inf,beacon-loss,1,0,1,0,5932,14104,13322,666,116,2115,6520,3524,0,2996,1,1,1
prior-art-boundary-falsification,16037001,n5-6dof,N5 6-DOF,EXP21D D-STR boundary continuation,restricted-management-native,5,0,periodic,D-STR restricted management reach,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.413483103937366,0.175294008714415,1,0,10.4134626722864,12.3168516849255,0,1.0364268686933,1.02637645107793,6.169,7.1378,7.42,NaN,NaN,3000,1580,1566,0,0,3138,2978,160,0,0,0,0,0,0,146,0.0924050632911392,0,1416,0,0,1,32,32,0,0,0,0,0,0,0,0.356863999999994,0,0,0,0,0,0,0,0,0,0,0.477696000000006,4.85376000000007,0,0,0,0,1.14647040000001,130.5,248.166666666667,0,0.00990489465613494,0.0188790783631418,NaN,NaN,0.999823058639345,3138,0,0,0,0,0,0.5041284,0,1814219,0,110997400,0,177504955081,tdma,logical-alignment-boundary,none,continuous-dstr-replay,none,continuous-dstr-replay,NaN,50,NaN,26.1,25.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1580,NaN,NaN,NaN,0,0,1,146,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.477696000000006,1580,nominal,full,1,0,503247014065,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,5,0,0,0,1,188597663469,1580,1580,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,1,0,3470794923,100809360088,1221979,1580,146,2978,0,160,2978,0,160,0,1580,1580,0,1,203,286,0.878591999999999,569,446,0,123,52,1,0,NaN,6,NaN,1,1,0,3,5,93,NaN,11.981075650066,9.99807579119166,restricted-management,0,5,0,0,5975,10170,10010,0,160,286,569,446,0,123,1,1,0
prior-art-boundary-falsification,16037001,n5-6dof,N5 6-DOF,EXP21D D-STR boundary continuation,churn-rejoin-native,6,60,periodic,D-STR local state loss/rejoin,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0258208661790233,0.565227671775497,0,0,10.4134626722864,12.3168516849255,0,1.0368814262929,0.0306301824212272,0.0400000000000009,0.0400000000000009,0.0400000000000009,NaN,NaN,3000,1589,1588,0,0,3804,3801,0,0,0,0,1,3,0,0,0,0,1407,0,0,1,32,32,0,0,0,0,0,0,0,0.46138402016079,0,0,0,0,0,0,0,0,0,0,0.495360000000006,4.88140800000008,0,0,0,0,1.18886400000001,132.333333333333,316.75,0,0.0099355061729414,0.0190301377175253,NaN,NaN,0.999989689781384,3801,0,0,0,0,0,0.4925987,0,1814219,0,110997400,0,177692319727,tdma,prior-art-boundary,none,continuous-dstr-replay,none,continuous-dstr-replay,NaN,50,NaN,26.4666666666667,26.3333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1589,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.495360000000006,1589,nominal,full,1,0,503247014065,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7771146276251,1,0,NaN,NaN,5,1,0,0,1,188597663469,1589,1589,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,1,0,3612549918,100809360088,1222507,1589,0,3801,0,0,3801,0,0,0,1589,1589,0,1,220,346,1.062912,1032,560,0,472,80,1,0,1.7771146276251,6,37,1,1,1,5,0,0,5,11.9991357580704,11.7390702028082,churn-rejoin,1,0,0,1,5993,14373,14373,0,0,1008,3280,2208,0,1072,1,1,1
prior-art-boundary-falsification,16037001,n10-ring2,N10 ring2,EXP21D D-STR boundary continuation,zero-native,1,0,periodic,D-STR native zero loss,none,10,ring2,di,tdma,1,1,0,1,0.26,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0315059345363416,0.563100805156679,0,0,NaN,NaN,NaN,NaN,0.0353119020283198,0.0600000000000005,0.0600000000000005,0.0600000000000005,NaN,NaN,6000,2706,2704,0,0,7036,7027,4,0,0,0,2,5,0,4,0.00147819660014782,0,3293,0,0,1,32,32,0,0,0,0,0,0,0,0.587848020160796,0,0,0,0,0,0,0,0,0,0,1.01324800000004,8.31283200000044,0,0,0,0,2.43179520000009,225.333333333333,585.583333333333,0,0.00990288067609878,0.0189234090963641,NaN,NaN,0.999991246881702,7031,0,0,0,0,0,0.9483969,0,1617195,0,410907079,0,195191041483,tdma,prior-art-native,none,continuous-dstr-replay,none,continuous-dstr-replay,NaN,50,NaN,22.5333333333333,22.4166666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2706,NaN,NaN,NaN,0,0,1,4,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,1.01324800000004,2706,nominal,full,1,0,1950630159506,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.17029499867995,1,0,NaN,NaN,10,0,0,0,1,692187730161,2706,2706,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,1,0,7414513598,390358453656,1593191,2706,4,7027,0,4,7027,0,4,0,2706,2706,0,1,405,1252,3.84614399999999,5756,1539,0,4217,234,1,0,1.17029499867995,7,22,1,1,1,7,0,2,NaN,11.9991357580703,11.9341193692547,zero,1,0,0,0,11987,31167,31163,0,4,5201,24017,6678,0,17339,1,1,1
prior-art-boundary-falsification,16037001,n10-ring2,N10 ring2,EXP21D D-STR boundary continuation,zero-warm,2,0,periodic,Oracle-warm zero loss,none,10,ring2,di,tdma,1,1,0,1,0.26,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0301870232013943,0.564202879805342,0,0,NaN,NaN,NaN,NaN,0.0328319938767697,0.0599999999999987,0.0600000000000005,0.0600000000000005,NaN,NaN,6000,3020,3020,0,0,7852,7852,0,0,0,0,0,0,0,0,0,0,2979,0,0,1,32,32,0,0,0,0,0,0,0,0.463871999999988,0,0,0,0,0,0,0,0,0,0,0.773120000000024,9.27744000000029,0,0,0,0,1.85548800000006,251.666666666667,654.333333333333,0,0.00997983893543862,0.018994505700228,NaN,NaN,1,7852,0,0,0,0,0,0.8294427,0,1617195,0,410907079,0,195112869483,tdma,oracle-cost-decomposition,none,continuous-dstr-replay,none,continuous-dstr-replay,NaN,50,NaN,25.1666666666667,25.1666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3020,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.773120000000024,3020,nominal,full,0,1,1950630159506,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NaN,NaN,10,0,0,0,1,692187730161,3020,3020,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,0,1,6558071730,390358453656,1593191,3020,0,7852,0,0,7852,0,0,0,3020,3020,0,1,0,0,0,0,0,0,0,0,1,0,0,7,22,1,1,1,7,0,2,NaN,11.9955237364695,-Inf,zero,1,0,1,0,11987,31167,31163,0,4,5201,24017,6678,0,17339,1,1,1
prior-art-boundary-falsification,16037001,n10-ring2,N10 ring2,EXP21D D-STR boundary continuation,beacon-loss-native,3,0.05,periodic,D-STR native DATA erasure 0.05,none,10,ring2,di,tdma,1,1,0,1,0.26,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0371963156609996,0.554622742462977,0,0,NaN,NaN,NaN,NaN,0.0414236509758898,0.0600000000000005,0.119999999999999,0.18,NaN,NaN,6000,2044,2040,0,0,5294,5030,264,0,0,0,0,0,0,8,0.00391389432485323,0,3947,0,0,1,32,32,0,0,0,0,0,0,0,0.527103999999982,0,0,0,0,0,0,0,0,0,0,0.849408000000021,6.27916800000026,0,0,0,0,2.03857920000005,170,419.166666666667,0,0.00997729531350004,0.0189548851074103,NaN,NaN,0.999980776993906,5294,0,0,0,0,0,0.6093132,0,1617195,0,410907079,0,193719008172,tdma,prior-art-boundary,none,continuous-dstr-replay,none,continuous-dstr-replay,NaN,50,NaN,17,16.9166666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2044,NaN,NaN,NaN,0,0,1,8,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.849408000000021,2044,nominal,full,1,0,1950630159506,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.99085174798993,0,0,NaN,NaN,10,0,0,0,1,692187730161,2044,2044,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,1,0,6716719352,390358453656,2526504,2044,8,5030,256,8,5030,256,8,0,2044,2044,0,1,394,1274,3.91372799999999,6012,1269,0,4743,253,1,0,9.99085174798993,11,163,0,1,1,11,0,25,NaN,11.981075650066,11.9955237364695,beacon-loss,1,0,0,0,11956,30934,29240,1540,154,6869,33339,7281,0,26058,0,1,1
prior-art-boundary-falsification,16037001,n10-ring2,N10 ring2,EXP21D D-STR boundary continuation,beacon-loss-warm,4,0.05,periodic,Oracle-warm DATA erasure 0.05,none,10,ring2,di,tdma,1,1,0,1,0.26,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0311215105384408,0.563419715611207,0,0,NaN,NaN,NaN,NaN,0.0347914274779943,0.0600000000000005,0.0800000000000001,0.140000000000001,NaN,NaN,6000,3020,3016,0,0,7852,7472,380,0,0,0,0,0,0,0,0,0,2979,0,0,1,32,32,0,0,0,0,0,0,0,0.463871999999988,0,0,0,0,0,0,0,0,0,0,0.773120000000024,9.27744000000029,0,0,0,0,1.85548800000006,251.333333333333,622.666666666667,0,0.00997983893543862,0.018994505700228,NaN,NaN,0.999995162868419,7852,0,0,0,0,0,0.7607061,0,1617195,0,410907079,0,195058486876,tdma,oracle-loss-decomposition,none,continuous-dstr-replay,none,continuous-dstr-replay,NaN,50,NaN,25.1333333333333,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3020,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.773120000000024,3020,nominal,full,0,1,1950630159506,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NaN,NaN,10,0,0,0,1,692187730161,3020,3020,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,0,1,6558605572,390358453656,2526504,3020,0,7472,380,0,7472,380,0,0,3020,3020,0,1,0,0,0,0,0,0,0,0,1,0,0,11,163,0,1,1,11,0,25,NaN,11.9955237364695,-Inf,beacon-loss,1,0,1,0,11956,30934,29240,1540,154,6869,33339,7281,0,26058,1,1,1
