gate,passed,detail
registry_frozen,1,"hash 46425247 over 51 leaves"
matrix_complete_unique,1,"180/180 unique rows"
exact_seed_cell_arm_coverage,1,"30 fresh seeds, two cells and three arms exact"
paired_absolute_traces,1,"channel, clock, estimator and D-STR hashes paired within seed/cell"
mission_logical_opportunities_paired,1,"mission zero/clock arms share base schedule and logical opportunities"
clock_impairment_declared,1,"only affine-clock arm consumes bounded nonzero clock realization"
affine_clock_and_guard_certificate,1,"max residual 1.78e-15 s; min gap 0.000295 s"
causal_information_contract,1,"zero future-random and receiver-truth decision reads"
all_dstr_opportunities_served,1,"0 skipped opportunities"
exact_data_outcome_replay,1,"scheduled and observed success/erasure/collision counts match"
data_collision_witness_match,1,"event collision frames equal completed kernel witnesses"
management_accounting_closes,1,"recipient partitions and management attempt-airtime close"
cross_plane_nonoverlap,1,"0 overlap witnesses"
recipient_and_airtime_accounting,1,"terminal recipient partition and fully charged utilization close"
protocol_invariants,1,"0 invariant violations"
all_failures_retained,1,"0 unsafe, 0 unresolved, 0 invalid retained"
clock_scope_only,1,"no tuning, candidate selection, promotion or submission decision"
