scenario,candidate,reference,metric,nPairs,meanDelta,ciLo,ciHi,relativeDelta
n5-6dof-zero-loss,mission-guard-affine-clock,mission-guard-zero-clock,RMSE,30,2.06424717103156e-06,-5.57425945492676e-06,9.66505372358964e-06,7.3486046409244e-05
n5-6dof-zero-loss,mission-guard-affine-clock,mission-guard-zero-clock,MEAN_TRUE_AOI,30,2.43228302929786e-05,-5.5279159756871e-07,4.69872857932545e-05,0.000671960904092827
n5-6dof-zero-loss,mission-guard-affine-clock,mission-guard-zero-clock,OFFERED_UTIL,30,0,0,0,0
n5-6dof-zero-loss,mission-guard-affine-clock,mission-guard-zero-clock,CHANNEL_UTIL,30,0.000798641219037196,0.000673439561245722,0.000926977112742213,0.00215865780643795
n5-6dof-zero-loss,mission-guard-affine-clock,mission-guard-zero-clock,DATA_GOODPUT_HZ,30,0,0,0,0
n5-6dof-zero-loss,mission-guard-zero-clock,short-guard-zero-clock,RMSE,30,0.00227470047897169,0.00226625950613565,0.00228343800918232,0.0881133123095468
n5-6dof-zero-loss,mission-guard-zero-clock,short-guard-zero-clock,MEAN_TRUE_AOI,30,0.00555140961857377,0.00551437258153673,0.00559038142620229,0.181149943630213
n5-6dof-zero-loss,mission-guard-zero-clock,short-guard-zero-clock,OFFERED_UTIL,30,-0.0977749333333442,-0.0989269333333442,-0.0967509333333442,-0.202922164172516
n5-6dof-zero-loss,mission-guard-zero-clock,short-guard-zero-clock,CHANNEL_UTIL,30,-0.0957695999999975,-0.0961535999999974,-0.0954197333333309,-0.205628538448854
n5-6dof-zero-loss,mission-guard-zero-clock,short-guard-zero-clock,DATA_GOODPUT_HZ,30,-28.0888888888889,-28.1305555555555,-28.0472222222222,-0.207510773650729
n10-ring2-zero-loss,mission-guard-affine-clock,mission-guard-zero-clock,RMSE,30,1.14618374541052e-05,-3.66020593036083e-06,2.71029425907377e-05,0.000317760444732582
n10-ring2-zero-loss,mission-guard-affine-clock,mission-guard-zero-clock,MEAN_TRUE_AOI,30,4.71998979461721e-05,2.16864395968928e-05,7.24582217119583e-05,0.0011093787479013
n10-ring2-zero-loss,mission-guard-affine-clock,mission-guard-zero-clock,OFFERED_UTIL,30,0,0,0,0
n10-ring2-zero-loss,mission-guard-affine-clock,mission-guard-zero-clock,CHANNEL_UTIL,30,0.014326627807055,0.0125175416245242,0.0161639633270533,0.0300216672234912
n10-ring2-zero-loss,mission-guard-affine-clock,mission-guard-zero-clock,DATA_GOODPUT_HZ,30,0,0,0,0
n10-ring2-zero-loss,mission-guard-zero-clock,short-guard-zero-clock,RMSE,30,0.00343800580938732,0.00325381093805968,0.00366547155979005,0.105354684733243
n10-ring2-zero-loss,mission-guard-zero-clock,short-guard-zero-clock,MEAN_TRUE_AOI,30,0.00557188416889915,0.00530220053578274,0.00588149955351452,0.150695896384928
n10-ring2-zero-loss,mission-guard-zero-clock,short-guard-zero-clock,OFFERED_UTIL,30,-0.188032000000015,-0.193211733333347,-0.18289493333335,-0.200801931926924
n10-ring2-zero-loss,mission-guard-zero-clock,short-guard-zero-clock,CHANNEL_UTIL,30,-0.12470613333333,-0.12585813333333,-0.123571199999997,-0.207182046301941
n10-ring2-zero-loss,mission-guard-zero-clock,short-guard-zero-clock,DATA_GOODPUT_HZ,30,-43.45,-44.3277777777778,-42.5721527777778,-0.208124326410048
