gate,passed,detail
registry_frozen,1,"hash 46360353 over 49 leaves"
matrix_complete_unique,1,"180/180 unique rows"
exact_seed_cell_arm_coverage,1,"30 seeds, two cells and three arms exact"
paired_absolute_shared_traces,1,"channel, clock and estimator hashes match within seed/cell"
paired_dstr_kernel_traces,1,"native and oracle-warm derive from the same D-STR realization"
causal_information_contract,1,"zero future-random and receiver-truth decision reads"
exact_common_data_airtime,1,"all arms use 96 B / 250 kbit/s exact DATA airtime"
all_dstr_opportunities_served,1,"0 skipped D-STR opportunities"
data_collision_witness_match,0,"event-engine collision frames equal translated kernel witnesses"
management_accounting_closes,1,"recipient partition and attempt-times-airtime close"
cross_plane_nonoverlap,1,"0 DATA/control overlaps"
native_kernel_status_retained,1,"2 unresolved, 2 physically invalid, 0 disagreeing retained"
warm_reference_has_no_management,1,"oracle-warm removes attempts and begins valid at t=0"
recipient_and_airtime_accounting,1,"terminal DATA partition and fully charged utilization close"
protocol_invariants,1,"0 invariant violations"
all_failures_retained,1,"7 unsafe retained"
integration_scope_only,1,"no superiority threshold, policy promotion or submission claim"
