scenario,candidate,reference,metric,nPairs,meanDelta,ciLo,ciHi,relativeDelta
n5-6dof-zero-loss,dstr-native,periodic-static-tdma-p8p333,RMSE,30,0.0671780273103594,0.000685289169598533,0.15582757356088,1.25127942619383
n5-6dof-zero-loss,dstr-native,periodic-static-tdma-p8p333,OFFERED_UTIL,30,0.377395200000009,0.374007466666675,0.380936746666677,2.94840000000009
n5-6dof-zero-loss,dstr-native,periodic-static-tdma-p8p333,MEAN_TRUE_AOI,30,0.2004399216041,0.0192603648424543,0.442003618272273,2.79357455034459
n5-6dof-zero-loss,dstr-native,dstr-oracle-warm,RMSE,30,0.0886688331258789,0.0221758569569076,0.177319521902268,2.75397572792951
n5-6dof-zero-loss,dstr-native,dstr-oracle-warm,OFFERED_UTIL,30,0.0804351999999993,0.0768938666666658,0.0840191999999995,0.189277108433729
n5-6dof-zero-loss,dstr-native,dstr-oracle-warm,MEAN_TRUE_AOI,30,0.241615860093471,0.0604368988391374,0.483180762852403,7.90255424063113
n10-ring2-zero-loss,dstr-native,periodic-static-tdma-p8p333,RMSE,30,0.164022579108629,0.0655661517847831,0.272485124083231,1.8162608289904
n10-ring2-zero-loss,dstr-native,periodic-static-tdma-p8p333,OFFERED_UTIL,30,0.740454400000037,0.719461760000037,0.761233280000037,2.89240000000017
n10-ring2-zero-loss,dstr-native,periodic-static-tdma-p8p333,MEAN_TRUE_AOI,30,0.325723988751885,0.111457624918878,0.584317928473566,4.02583146187563
n10-ring2-zero-loss,dstr-native,dstr-oracle-warm,RMSE,30,-0.653721930416594,-0.751065583463371,-0.546279641445188,-0.719916573096291
n10-ring2-zero-loss,dstr-native,dstr-oracle-warm,OFFERED_UTIL,30,0.0518144000000373,0.0307534933333703,0.0726532266667028,0.0548509485095247
n10-ring2-zero-loss,dstr-native,dstr-oracle-warm,MEAN_TRUE_AOI,30,-0.923283149470027,-1.13746652606531,-0.651350223520068,-0.694241891935852
