stage,seed,scenario,scenarioLabel,family,arm,pointIndex,parameterValue,method,methodLabel,feedbackMode,N,topology,plant,macType,pAccess,configuredPAccess,backgroundLoad,carrierSenseDensity,interferenceDensity,stationaryMeanDataLoss,stationaryMeanAckLoss,meanBadDurationDataSec,meanBadDurationAckSec,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLL_PEAK_DEG,PITCH_PEAK_DEG,SATURATION,CONTROL_EFFORT,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MAX_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_ACTIVE_FRAMES,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,historySize,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,ADAPTIVE_ACK_PERMITTED,ADAPTIVE_ACK_DEFERRED,ADAPTIVE_ACK_FORCED,MEAN_LOCAL_BUSY,MAX_LOCAL_BUSY,LOAD_GUARD_BLOCKED,LOAD_GUARD_BLOCKED_BUSY,LOAD_GUARD_BLOCKED_QUEUE,LOAD_GUARD_BRANCH3,LOAD_GUARD_BRANCH4,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,DATA_CHANNEL_ATTEMPTS,ACK_CHANNEL_ATTEMPTS,DATA_BAD_ATTEMPT_FRACTION,ACK_BAD_ATTEMPT_FRACTION,TRACE_DATA_BAD_FRACTION,TRACE_ACK_BAD_FRACTION,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CHANNEL_MODEL_SIGNATURE,ESTIMATOR_HASH_EXACT,CONFIG_HASH,originalMacType,armKind,route,accessDesign,ackDesign,schedulerMode,oracleFlag,PERIODIC_RATE_HZ,TARGET_RATE_HZ,MEAN_NODE_GOODPUT_HZ,MIN_NODE_GOODPUT_HZ,MEAN_GOODPUT_MARGIN_HZ,MIN_GOODPUT_MARGIN_HZ,SERVICE_ADMISSIONS,SERVICE_COMPLETIONS,SERVICE_REPLACEMENTS,VIRTUAL_DEFICIT_MAX,VIRTUAL_DEFICIT_TERMINAL,MAX_STARVATION_SEC,SERVICE_DECISIONS,FIFO_COMPARABLE_DECISIONS,PRIORITY_DIFFERS_FIFO,PRIORITY_DIFFERS_FIFO_FRACTION,RECEIVER_TRUTH_READS,FUTURE_RANDOM_READS,SERVICE_DECISION_LOG_VALID,ENDOGENOUS_COLLISION_FRAMES,PROJECTION_FLAG,DTSA_DECISIONS,DTSA_DISAGREEMENTS,DTSA_DISAGREEMENT_FRACTION,AGE_GAIN_ELIGIBLE,ZMAC_OWNER_ATTEMPTS,ZMAC_CONTENTION_ATTEMPTS,DELTA_FINAL_PHASE,PUBLIC_FEEDBACK_COUNT,PUBLIC_FEEDBACK_AIRTIME,CHARGED_OFFERED_UTIL,MECHANISM_ACTIVATIONS,cellRole,controlReach,DISTRIBUTED_FLAG,IDEAL_FLAG,EXP21_TRACE_HASH_EXACT,RESERVATION_EPOCHS,CONTROL_FRAMES,CONTROL_REQUEST_FRAMES,CONTROL_RESPONSE_FRAMES,CONTROL_COMMIT_FRAMES,CONTROL_RECIPIENT_ATTEMPTS,CONTROL_RECIPIENT_SUCCESS,CONTROL_RECIPIENT_LOSS,CONTROL_ACCOUNTING_CLOSE,CONTROL_AIRTIME,CONTROL_OVERHEAD_FRACTION,RESERVATION_NACKS,RESERVATION_MIGRATIONS,RESERVATION_SCHEDULE_CHANGES,SCHEDULE_CONFLICT_FRACTION,FIRST_CONVERGENCE_SEC,CONVERGED_BY_2SEC,CHURN_APPLIED,CHURN_RECOVERY_SEC,RECOVERED_BY_2SEC,FINAL_ASSIGNED_NODES,FINAL_FULL_UNIQUE,MAX_ABS_CLOCK_OFFSET_SEC,MAX_ABS_CLOCK_DRIFT_PPM,LOCAL_SCHEDULE_ONLY,EXP21C_TRACE_HASH_EXACT,CONTINUOUS_START_OPPORTUNITIES,CONTINUOUS_START_ATTEMPTS,CONTINUOUS_GUARD_SEC,CONTINUOUS_SLOT_SEC,CONTINUOUS_SYNC_SEC,CONTINUOUS_MAX_CLOCK_RESIDUAL,CONTINUOUS_MAX_OFFSET_BOUND_SEC,CONTINUOUS_MAX_DRIFT_BOUND_PPM,CONTINUOUS_REALIZED_MAX_DRIFT_PPM,CONTINUOUS_EXACT_AIRTIME,DSTR_NATIVE_FLAG,DSTR_WARM_FLAG,DSTR_SCHEDULE_HASH_EXACT,DSTR_KERNEL_TRACE_HASH_EXACT,DSTR_KERNEL_CONFIG_HASH,DSTR_SCHEDULED_DATA_ATTEMPTS,DSTR_EXPECTED_DATA_COLLISION_FRAMES,DSTR_DATA_OPPORTUNITIES,DSTR_DATA_ATTEMPTS,DSTR_DATA_SKIPPED_NO_QUEUE,DSTR_DATA_COLLISION_WITNESS_MATCH,DSTR_MANAGEMENT_BUSY_SLOTS,DSTR_MANAGEMENT_ATTEMPTS,DSTR_MANAGEMENT_AIRTIME,DSTR_MANAGEMENT_RECIPIENT_ATTEMPTS,DSTR_MANAGEMENT_RECIPIENT_SUCCESS,DSTR_MANAGEMENT_RECIPIENT_ERASURE,DSTR_MANAGEMENT_RECIPIENT_COLLISION,DSTR_MANAGEMENT_COLLISION_SLOTS,DSTR_MANAGEMENT_ACCOUNTING_CLOSE,DSTR_CROSS_PLANE_OVERLAPS,DSTR_FIRST_CONVERGENCE_SEC,DSTR_KERNEL_FIRST_RESOLUTION_FRAME,DSTR_KERNEL_FIRST_CONVERGENCE_FRAME,DSTR_KERNEL_FINAL_RESOLVED,DSTR_KERNEL_FINAL_COLLISION_FREE,DSTR_KERNEL_FINAL_FRAME_AGREEMENT,DSTR_KERNEL_FINAL_DATA_SLOTS,DSTR_LAST_DATA_TIME,DSTR_LAST_CONTROL_TIME
prior-art-integration-falsification,16036101,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP21D D-STR closed-loop integration,periodic-static-tdma-p8p333,1,8.33333333333333,periodic,Periodic static TDMA 8.333 Hz,none,5,ring2,6dof,tdma,1,1,0,1,0.4,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0536874705234332,0.531556505636584,0,0,9.72916024182561,12.4579860119934,0,1.03664397070012,0.0717503392130257,0.120000000000001,0.139999999999999,0.140000000000001,NaN,NaN,500,500,500,0,0,1100,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.127999999999983,0,0,0,0.131528688003486,0.161384120484903,0,0,0,0,0,0.127999999999999,1.53599999999999,0,0,0,0,0.307199999999998,41.6666666666667,91.6666666666667,0,0.00918017770310867,0.0172404738749555,NaN,NaN,1,1100,0,0,0,0,0,1.6629057,0,547570,0,110997400,0,259531346,tdma,ideal-service-reference,none,continuous-local-static-tdma,none,continuous-local-static-tdma,NaN,8.33333333333333,NaN,8.33333333333333,8.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,500,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.127999999999999,500,nominal,full,0,1,503280634559,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,5,1,0,0,1,188603354042,3322,500,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
prior-art-integration-falsification,16036101,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP21D D-STR closed-loop integration,dstr-native,2,50,periodic,D-STR native acquisition,none,5,ring2,6dof,tdma,1,1,0,1,0.4,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0320459486696031,0.558404773215972,0,0,9.88000262480035,13.3261295602999,0,1.03714568128637,0.0305924920850294,0.0400000000000009,0.0400000000000009,0.0400000000000009,NaN,NaN,3000,1532,1525,0,0,3354,3326,28,0,0,0,0,0,0,28,0.0182767624020888,0,1464,0,0,1,32,32,0,0,0,0,0,0,0,0.452607999999989,0,0,0,0,0,0,0,0,0,0,0.491520000000004,4.70630400000005,0,0,0,0,1.17964800000001,127.083333333333,277.166666666667,0,0.00997626245898084,0.018881571966924,NaN,NaN,0.999922607441294,3354,0,0,0,0,0,0.6862787,0,547570,0,110997400,0,173650272210,tdma,prior-art-native,none,continuous-dstr-replay,none,continuous-dstr-replay,NaN,50,NaN,25.4166666666667,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1532,NaN,NaN,NaN,0,0,1,28,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.491520000000004,1532,nominal,full,1,0,503280634559,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.26834956534261,0,0,NaN,NaN,5,1,0,0,1,188603354042,1532,1532,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,1,0,2849089476,100829540550,1222249,1532,28,1532,1532,0,1,258,388,1.191936,1188,700,0,488,83,1,0,2.26834956534261,20,39,1,1,1,5,11.9810756500661,11.8871630884436
prior-art-integration-falsification,16036101,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP21D D-STR closed-loop integration,dstr-oracle-warm,3,50,periodic,D-STR oracle-warm,none,5,ring2,6dof,tdma,1,1,0,1,0.4,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0321966647079137,0.558399947610365,0,0,9.54298937568909,12.2428743144334,0,1.0367593915747,0.0305744007236545,0.0400000000000009,0.0400000000000009,0.0400000000000009,NaN,NaN,3000,1660,1660,0,0,3652,3652,0,0,0,0,0,0,0,0,0,0,1338,0,0,1,32,32,0,0,0,0,0,0,0,0.424959999999989,0,0,0,0,0,0,0,0,0,0,0.424960000000009,5.09952000000011,0,0,0,0,1.01990400000002,138.333333333333,304.333333333333,0,0.010011225937231,0.0190049246129848,NaN,NaN,1,3652,0,0,0,0,0,0.6370279,0,547570,0,110997400,0,173413233576,tdma,oracle-cost-decomposition,none,continuous-dstr-replay,none,continuous-dstr-replay,NaN,50,NaN,27.6666666666667,27.6666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1660,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.424960000000009,1660,nominal,full,0,1,503280634559,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NaN,NaN,5,1,0,0,1,188603354042,1660,1660,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,0,1,2139752432,100829540550,1222249,1660,0,1660,1660,0,1,0,0,0,0,0,0,0,0,1,0,0,20,39,1,1,1,5,11.9882996932677,-Inf
prior-art-integration-falsification,16036101,n10-ring2-zero-loss,N10 ring2 zero-loss,EXP21D D-STR closed-loop integration,periodic-static-tdma-p8p333,1,8.33333333333333,periodic,Periodic static TDMA 8.333 Hz,none,10,ring2,di,tdma,1,1,0,1,0.2,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0903078327135447,0.510195890352446,0,0,NaN,NaN,NaN,NaN,0.0809085009733941,0.140000000000001,0.140000000000001,0.140000000000001,NaN,NaN,1000,1000,1000,0,0,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.255999999999968,0,0,0,0.256035114032822,0.299738183979355,0,0,0,0,0,0.255999999999998,3.07199999999997,0,0,0,0,0.614399999999994,83.3333333333333,191.666666666667,0,0.0182102317052688,0.0344806706828283,NaN,NaN,1,2300,0,0,0,0,0,1.7571827,0,1529943,0,410907079,0,269851163,tdma,ideal-service-reference,none,continuous-local-static-tdma,none,continuous-local-static-tdma,NaN,8.33333333333333,NaN,8.33333333333333,8.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1000,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.255999999999998,1000,nominal,full,0,1,1950816735282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,10,1,0,0,1,692143790159,3322,1000,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
prior-art-integration-falsification,16036101,n10-ring2-zero-loss,N10 ring2 zero-loss,EXP21D D-STR closed-loop integration,dstr-native,2,50,periodic,D-STR native acquisition,none,10,ring2,di,tdma,1,1,0,1,0.2,0.097,0.097,0.0277777777777778,0.0277777777777778,0.64909022349839,0.400074411010955,0,0,NaN,NaN,NaN,NaN,0.88434349989182,9.51799999999999,11.36,11.82,NaN,NaN,6000,2889,2887,0,0,6644,6066,574,0,0,0,2,4,0,288,0.0996884735202492,0,3105,0,0,1,32,32,0,0,0,0,0,0,0,0.552008020160792,0,0,0,0,0,0,0,0,0,0,1.08774400000003,8.87500800000035,0,0,0,0,2.61058560000007,240.583333333333,505.5,0,0.0101130183398836,0.0189961577343109,NaN,NaN,0.999968686375454,6640,0,0,0,0,0,1.0258191,0,1529943,0,410907079,0,179829002136,tdma,prior-art-native,none,continuous-dstr-replay,none,continuous-dstr-replay,NaN,50,NaN,24.0583333333333,23.8333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2889,NaN,NaN,NaN,0,0,1,288,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,1.08774400000003,2889,nominal,full,1,0,1950816735282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.28279765174607,0,0,NaN,NaN,10,0,0,0,1,692143790159,2889,2889,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,1,0,5243040237,390441791159,1591289,2889,0,2889,2889,0,0,423,1360,4.17792,6014,1530,0,4484,253,1,0,2.28279765174607,9,47,1,1,1,6,11.9991357580703,11.9919117148686
prior-art-integration-falsification,16036101,n10-ring2-zero-loss,N10 ring2 zero-loss,EXP21D D-STR closed-loop integration,dstr-oracle-warm,3,50,periodic,D-STR oracle-warm,none,10,ring2,di,tdma,1,1,0,1,0.2,0.097,0.097,0.0277777777777778,0.0277777777777778,0.908052342238767,0.419277404043477,0,0,NaN,NaN,NaN,NaN,1.32991563919531,10.46,11.7,12,NaN,NaN,6000,3690,3690,0,0,8118,7380,738,0,0,0,0,0,0,369,0.1,0,2310,0,0,1,32,32,0,0,0,0,0,0,0,0.377855999999991,0,0,0,0,0,0,0,0,0,0,0.944639999999997,11.33568,0,0,0,0,2.26713599999999,307.5,615,0,0.00998360576920608,0.0189870248889956,NaN,NaN,1,8118,0,0,0,0,0,1.1094357,0,1529943,0,410907079,0,179624223793,tdma,oracle-cost-decomposition,none,continuous-dstr-replay,none,continuous-dstr-replay,NaN,50,NaN,30.75,30.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3690,NaN,NaN,NaN,0,0,1,369,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.944639999999997,3690,nominal,full,0,1,1950816735282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NaN,NaN,10,0,0,0,1,692143790159,3690,3690,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,0,1,4473637973,390441791159,1591289,3690,0,3690,3690,0,0,0,0,0,0,0,0,0,0,1,0,0,9,47,1,1,1,6,11.9919117148686,-Inf
prior-art-integration-falsification,16036102,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP21D D-STR closed-loop integration,periodic-static-tdma-p8p333,1,8.33333333333333,periodic,Periodic static TDMA 8.333 Hz,none,5,ring2,6dof,tdma,1,1,0,1,0.4,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0536874705234332,0.531556505636584,0,0,9.72916024182561,12.4579860119934,0,1.03664397070012,0.0717503392130257,0.120000000000001,0.139999999999999,0.140000000000001,NaN,NaN,500,500,500,0,0,1100,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.127999999999983,0,0,0,0.131528688003486,0.161384120484903,0,0,0,0,0,0.127999999999999,1.53599999999999,0,0,0,0,0.307199999999998,41.6666666666667,91.6666666666667,0,0.00918017770310867,0.0172404738749555,NaN,NaN,1,1100,0,0,0,0,0,1.4637409,0,1216129,0,110997400,0,259531348,tdma,ideal-service-reference,none,continuous-local-static-tdma,none,continuous-local-static-tdma,NaN,8.33333333333333,NaN,8.33333333333333,8.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,500,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.127999999999999,500,nominal,full,0,1,503088493720,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,5,1,0,0,1,188868030851,3322,500,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
prior-art-integration-falsification,16036102,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP21D D-STR closed-loop integration,dstr-native,2,50,periodic,D-STR native acquisition,none,5,ring2,6dof,tdma,1,1,0,1,0.4,0.29,0.29,0.0476190476190476,0.0476190476190476,0.697096087428583,0.50507555997893,0,0,9.99849404745428,12.3436762713262,0,1.02233663474717,1.84246947082767,10.9,11.78,12,NaN,NaN,3000,1806,1805,0,0,3251,3243,6,0,0,0,1,2,0,6,0.00332225913621262,0,1191,0,0,1,32,32,0,0,0,0,0,0,0,0.414024020160791,0,0,0,0,0,0,0,0,0,0,0.516864000000014,5.54803200000017,0,0,0,0,1.24047360000003,150.416666666667,270.25,0,0.00996153357470748,0.0188998583943363,NaN,NaN,0.999990792052313,3249,0,0,0,0,0,0.6573907,0,1216129,0,110997400,0,173828229468,tdma,prior-art-native,none,continuous-dstr-replay,none,continuous-dstr-replay,NaN,50,NaN,30.0833333333333,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1806,NaN,NaN,NaN,0,0,1,6,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.516864000000014,1806,nominal,full,1,0,503088493720,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.664611974558982,1,0,NaN,NaN,5,0,0,0,1,188868030851,1806,1806,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,1,0,2889920015,100746914668,1222249,1806,4,1806,1806,0,0,176,213,0.654336,756,596,0,160,27,1,0,0.664611974558982,7,14,1,1,1,4,11.9991357580704,11.9232833044522
prior-art-integration-falsification,16036102,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP21D D-STR closed-loop integration,dstr-oracle-warm,3,50,periodic,D-STR oracle-warm,none,5,ring2,6dof,tdma,1,1,0,1,0.4,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0321966647079137,0.558399947610365,0,0,9.54298937568909,12.2428743144334,0,1.0367593915747,0.0305744007236545,0.0400000000000009,0.0400000000000009,0.0400000000000009,NaN,NaN,3000,1660,1660,0,0,3652,3652,0,0,0,0,0,0,0,0,0,0,1338,0,0,1,32,32,0,0,0,0,0,0,0,0.424959999999989,0,0,0,0,0,0,0,0,0,0,0.424960000000009,5.09952000000011,0,0,0,0,1.01990400000002,138.333333333333,304.333333333333,0,0.010011225937231,0.0190049246129848,NaN,NaN,1,3652,0,0,0,0,0,0.6150228,0,1216129,0,110997400,0,173380240228,tdma,oracle-cost-decomposition,none,continuous-dstr-replay,none,continuous-dstr-replay,NaN,50,NaN,27.6666666666667,27.6666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1660,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.424960000000009,1660,nominal,full,0,1,503088493720,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NaN,NaN,5,1,0,0,1,188868030851,1660,1660,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,0,1,2139811302,100746914668,1222249,1660,0,1660,1660,0,1,0,0,0,0,0,0,0,0,1,0,0,7,14,1,1,1,4,11.9882996932677,-Inf
prior-art-integration-falsification,16036102,n10-ring2-zero-loss,N10 ring2 zero-loss,EXP21D D-STR closed-loop integration,periodic-static-tdma-p8p333,1,8.33333333333333,periodic,Periodic static TDMA 8.333 Hz,none,10,ring2,di,tdma,1,1,0,1,0.2,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0903078327135447,0.510195890352446,0,0,NaN,NaN,NaN,NaN,0.0809085009733941,0.140000000000001,0.140000000000001,0.140000000000001,NaN,NaN,1000,1000,1000,0,0,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.255999999999968,0,0,0,0.256035114032822,0.299738183979355,0,0,0,0,0,0.255999999999998,3.07199999999997,0,0,0,0,0.614399999999994,83.3333333333333,191.666666666667,0,0.0182102317052688,0.0344806706828283,NaN,NaN,1,2300,0,0,0,0,0,1.8192224,0,1350355,0,410907079,0,269851165,tdma,ideal-service-reference,none,continuous-local-static-tdma,none,continuous-local-static-tdma,NaN,8.33333333333333,NaN,8.33333333333333,8.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1000,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.255999999999998,1000,nominal,full,0,1,1949611634436,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,10,1,0,0,1,691647328587,3322,1000,0.000540021600864035,0.00361202160086403,Inf,0,0,0,0,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
