seed,N,condition,conditionLabel,scope,topology,maxFrames,dataErasureProbability,managementErasureProbability,churnEnabled,firstResolutionFrame,firstConvergenceFrame,recoveryFrame,finalAllResolved,finalCollisionFree,finalFrameAgreement,finalConverged,finalDataSlots,finalResolvedNodes,finalAssignedNodes,maxFrameDisagreement,maxAssignedSlot,conflictFrameFraction,falseResolvedNodeFrames,dataAttempts,dataRecipientAttempts,dataRecipientSuccess,dataRecipientErasure,dataRecipientCollision,dataCollisionFrames,managementAttempts,managementRecipientAttempts,managementRecipientSuccess,managementRecipientErasure,managementRecipientCollision,managementCollisionSlots,growRequests,growNacks,growthEvents,shrinkRequests,shrinkObjects,shrinkNacks,shrinkEvents,elapsedSec,offeredAirtimeSec,busyAirtimeSec,offeredUtilization,channelUtilization,accountingCloses,deliveryWitnessValid,futureRandomReads,receiverTruthDecisionReads,traceHash,configHash,realizationHash
16033001,5,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,7,21,NaN,0,1,1,0,6,4,5,0,10,0.055,4,983,2742,2559,153,30,22,331,1088,708,0,380,64,11,0,11,115,154,51,15,10.157524202,5.382144,4.968448,0.529867701318424,0.489139666437784,1,1,0,0,16756862361,2013457,90483439
16033001,5,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,6,12,3,1,1,1,1,5,5,5,0,10,0.01,1,992,2775,2767,0,8,4,337,996,496,0,500,84,1,0,1,152,73,111,6,9.508481122,5.443584,4.907008,0.572497744924271,0.516066439743624,1,1,0,0,16756862361,1080161,80071640
16033001,5,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,6,12,NaN,1,1,1,1,5,5,5,0,10,0.01,1,994,2783,2775,0,8,4,348,1044,536,0,508,85,0,0,0,153,78,117,5,9.48066499,5.496832,4.960256,0.579793928569139,0.523197054766936,1,1,0,0,16756862361,1080144,80849620
16033001,5,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,6,NaN,NaN,1,1,0,0,6,5,5,6,10,0.26,73,973,2681,2495,0,186,130,241,562,438,0,124,53,21,3,18,73,138,6,51,11.274805504,4.972544,4.472832,0.441031465973925,0.396710346658588,1,1,0,0,16756862361,1079808,94713645
16033001,10,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,16,NaN,NaN,0,1,1,0,10,9,10,0,13,0.1,8,1979,6713,6261,362,90,56,1674,7600,990,0,6610,345,1,0,1,425,288,960,3,15.20615216,14.962688,8.384512,0.983989101421697,0.551389458146787,1,1,0,0,65036632138,2363393,320745459
16033001,10,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,8,28,2,1,1,1,1,7,10,10,0,10,0.02,0,1979,6722,6694,0,28,18,1069,4721,1098,0,3623,194,0,0,0,316,120,633,3,11.585418978,12.484608,7.184384,1.07761385442404,0.620122933287325,1,1,0,0,65036632138,1430097,286777696
16033001,10,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,8,28,NaN,1,1,1,1,8,10,10,0,10,0.02,0,1980,6726,6698,0,28,18,1091,4755,1188,0,3567,194,0,0,0,313,119,659,2,12.21591797,12.578816,7.80288,1.02970697993317,0.63874692177554,1,1,0,0,65036632138,1430080,317392299
16033001,10,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,8,NaN,NaN,0,0,0,0,19,8,9,16,15,0.38,152,1960,6542,6105,0,437,271,627,1859,1102,0,757,162,20,2,19,271,209,125,55,16.077724296,10.596352,7.08608,0.659070388626846,0.440738992007902,1,1,0,0,65036632138,1420522,269077004
16033002,5,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,12,44,NaN,1,1,1,0,6,5,5,0,10,0.065,0,984,2722,2541,134,47,29,406,1174,596,0,578,99,10,6,8,147,162,81,20,11.21917324,5.69344,4.980736,0.507474114019475,0.443948577444375,1,1,0,0,16754167408,2013457,108788046
16033002,5,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,4,12,3,1,1,1,1,5,5,5,0,10,0,0,992,2775,2775,0,0,0,316,992,592,0,400,67,1,0,1,144,80,91,6,9.471392946,5.357568,4.943872,0.565657874247803,0.521979399248546,1,1,0,0,16754167408,1080161,78814796
16033002,5,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,4,12,NaN,1,1,1,1,5,5,5,0,10,0,0,994,2783,2783,0,0,0,290,924,592,0,332,56,0,0,0,140,79,71,5,9.448212836,5.259264,4.907008,0.556641143810914,0.519358325767504,1,1,0,0,16754167408,1080144,78465912
16033002,5,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,4,NaN,NaN,1,1,0,0,11,5,5,9,10,0.245,99,972,2580,2351,0,229,155,208,523,405,0,118,33,22,0,22,65,116,5,53,12.248370124,4.83328,4.337664,0.394605972147221,0.354142139410091,1,1,0,0,16754167408,1079808,99935851
16033002,10,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,16,NaN,NaN,0,1,1,0,9,7,9,0,15,0.17,9,1976,6675,6234,325,116,82,1463,6817,990,0,5827,306,2,0,2,341,325,795,7,15.335960776,14.086144,8.35584,0.918504174974423,0.544852723741734,1,1,0,0,64907481701,2363393,262486190
16033002,10,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,11,76,2,1,1,1,1,8,10,10,0,12,0.03,5,1977,6710,6674,0,36,22,1045,4637,1080,0,3557,186,1,0,1,311,92,641,5,12.902049226,12.378112,7.929856,0.959391162068722,0.614619884104913,1,1,0,0,64907481701,1430097,293707923
16033002,10,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,11,74,NaN,1,1,1,1,9,10,10,0,12,0.03,5,1978,6714,6678,0,36,22,1043,4491,972,0,3519,188,1,0,1,292,86,664,4,13.518640152,12.374016,8.466432,0.915329934140553,0.626278375990905,1,1,0,0,64907481701,1430080,231846644
16033002,10,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,11,NaN,NaN,1,1,0,0,15,10,10,12,13,0.36,110,1961,6511,6186,0,325,235,610,1837,1183,0,654,156,18,1,17,257,233,101,56,14.617377366,10.530816,7.29088,0.720431287796856,0.498781677276703,1,1,0,0,64907481701,1420522,245305834
16033003,5,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,7,37,NaN,0,1,1,0,6,4,5,0,9,0.06,0,984,2733,2561,140,32,24,381,1238,732,0,506,85,10,3,9,129,178,61,15,10.375417236,5.59104,5.07904,0.538873750599691,0.489526337541111,1,1,0,0,16791096212,2013457,93239045
16033003,5,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,4,24,3,1,1,1,1,5,5,5,0,9,0,0,992,2775,2775,0,0,0,350,1048,528,0,520,87,1,0,1,159,72,118,6,9.545569298,5.496832,4.960256,0.575851667762938,0.519639619717525,1,1,0,0,16791096212,1080161,80485206
16033003,5,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,4,24,NaN,1,1,1,1,5,5,5,0,9,0,0,994,2783,2783,0,0,0,358,1084,584,0,500,84,0,0,0,169,78,111,5,9.499209078,5.537792,5.013504,0.58297400915466,0.527781203554219,1,1,0,0,16791096212,1080144,80726739
16033003,5,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,4,NaN,NaN,1,1,0,0,6,5,5,7,9,0.255,80,976,2640,2454,0,186,134,285,645,455,0,190,61,18,1,17,126,104,36,52,11.31189368,5.165056,4.509696,0.456604008675584,0.398668527796842,1,1,0,0,16791096212,1079808,113054051
16033003,10,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,18,NaN,NaN,1,1,1,0,10,10,10,0,15,0.15,4,1976,6688,6251,328,109,67,1201,5975,1224,0,4751,254,4,0,4,278,311,608,12,15.771746844,13.012992,8.433664,0.825082480001287,0.53473239733165,1,1,0,0,65115872628,2363393,273528146
16033003,10,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,6,21,3,1,1,1,1,8,10,10,0,9,0.01,0,1978,6722,6718,0,4,4,1104,4996,1116,0,3880,199,1,0,1,337,89,677,3,12.211281948,12.623872,7.806976,1.03378761163299,0.639324850023519,1,1,0,0,65115872628,1430097,310745522
16033003,10,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,6,21,NaN,1,1,1,1,8,10,10,0,8,0.01,0,1980,6730,6726,0,4,4,1081,4867,1305,0,3562,189,0,0,0,321,96,664,2,12.174193772,12.537856,7.860224,1.02987156560925,0.645646368639055,1,1,0,0,65115872628,1430080,310935389
