seed,N,condition,conditionLabel,scope,topology,maxFrames,dataErasureProbability,managementErasureProbability,churnEnabled,firstResolutionFrame,firstConvergenceFrame,recoveryFrame,finalAllResolved,finalCollisionFree,finalFrameAgreement,finalConverged,finalDataSlots,finalResolvedNodes,finalAssignedNodes,maxFrameDisagreement,maxAssignedSlot,conflictFrameFraction,falseResolvedNodeFrames,dataAttempts,dataRecipientAttempts,dataRecipientSuccess,dataRecipientErasure,dataRecipientCollision,dataCollisionFrames,managementAttempts,managementRecipientAttempts,managementRecipientSuccess,managementRecipientErasure,managementRecipientCollision,managementCollisionSlots,growRequests,growNacks,growthEvents,shrinkRequests,shrinkObjects,shrinkNacks,shrinkEvents,elapsedSec,offeredAirtimeSec,busyAirtimeSec,offeredUtilization,channelUtilization,accountingCloses,deliveryWitnessValid,futureRandomReads,receiverTruthDecisionReads,traceHash,configHash,realizationHash
16034001,5,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,4,12,NaN,1,1,1,1,5,5,5,0,10,0,0,994,2783,2783,0,0,0,258,848,580,0,268,45,0,0,0,119,78,61,5,9.466756924,5.128192,4.849664,0.541705257795209,0.512283566477258,1,1,0,0,16741414370,1081016,78682887
16034001,5,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,18,68,NaN,1,1,1,0,6,5,5,0,13,0.02,3,983,2752,2605,131,16,8,385,1220,708,0,512,86,11,6,9,145,148,75,19,11.376797988,5.603328,5.087232,0.492522413240551,0.447158506757868,1,1,0,0,16741414370,2014329,111578271
16034001,5,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,4,NaN,NaN,1,0,0,0,7,5,5,6,10,0.24,58,975,2627,2499,0,128,128,240,528,390,0,138,54,19,6,15,69,140,6,46,11.08009258,4.97664,4.415488,0.449151481728865,0.398506417533923,1,1,0,0,16741414370,1080674,97493029
16034001,5,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,4,12,3,1,1,1,1,5,5,5,0,10,0,0,992,2775,2775,0,0,0,320,1024,648,0,376,63,1,0,1,148,87,84,6,9.489937034,5.373952,4.984832,0.566278994343852,0.525275561064381,1,1,0,0,16741414370,1081034,79081163
16034001,10,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,17,NaN,NaN,1,1,1,0,11,10,10,0,16,0.065,6,1977,6690,6627,0,63,48,957,4439,1305,0,3134,168,2,0,2,266,165,524,5,15.034619346,12.017664,8.47872,0.799332774806655,0.563946436213284,1,1,0,0,65160139984,1432637,297788089
16034001,10,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,16,NaN,NaN,1,1,1,0,21,10,10,0,19,0.15,10,1971,6644,6196,318,130,91,1078,5276,1044,0,4232,222,8,0,8,249,353,468,13,17.357266368,12.488704,8.21248,0.719508690782339,0.473143629064805,1,1,0,0,65160139984,2365950,262691888
16034001,10,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,15,NaN,NaN,0,1,0,0,11,9,10,11,16,0.145,38,1968,6612,6457,0,155,116,618,1788,1100,0,688,161,11,2,10,291,183,131,53,17.139373334,10.592256,7.348224,0.618007192771031,0.428733528163662,1,1,0,0,65160139984,1423023,271061308
16034001,10,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,17,NaN,2,1,1,1,0,10,10,10,0,16,0.065,6,1976,6686,6623,0,63,48,973,4329,1107,0,3222,172,2,0,2,266,145,560,6,14.566381124,12.079104,8.400896,0.829245362809992,0.576731854568767,1,1,0,0,65160139984,1432655,286241714
16034002,5,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,5,11,NaN,1,1,1,1,5,5,5,0,10,0.01,0,993,2776,2768,0,8,4,283,914,604,0,310,52,0,0,0,132,85,66,5,9.45748488,5.226496,4.890624,0.552630648244822,0.517116766461064,1,1,0,0,16797827868,1081016,79312513
16034002,5,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,6,114,NaN,1,1,1,1,5,5,5,0,12,0.1,1,982,2711,2519,125,67,41,396,1204,556,0,648,108,10,0,10,120,184,82,21,11.998024936,5.644288,4.947968,0.470434761563493,0.41239854279296,1,1,0,0,16797827868,2014329,122507619
16034002,5,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,5,NaN,NaN,0,0,0,0,6,4,5,5,10,0.31,85,974,2608,2382,0,226,164,312,683,445,0,238,80,19,2,17,112,148,31,52,11.256261416,5.267456,4.493312,0.467957859659573,0.399183337516759,1,1,0,0,16797827868,1080674,108413271
16034002,5,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,5,11,3,1,1,1,1,5,5,5,0,10,0.01,0,991,2768,2760,0,8,4,291,938,616,0,322,54,1,0,1,130,87,73,6,9.494573056,5.251072,4.902912,0.553060360800704,0.516390992104869,1,1,0,0,16797827868,1081034,79288611
16034002,10,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,10,NaN,NaN,1,1,1,0,10,10,10,0,13,0.03,3,1978,6711,6677,0,34,19,1170,5078,1161,0,3917,207,2,8,1,335,113,712,3,14.654465542,12.894208,8.626176,0.879882515199543,0.588638048605539,1,1,0,0,65038322182,1432637,275841753
16034002,10,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,25,NaN,NaN,0,1,1,0,20,8,10,0,24,0.08,4,1971,6660,6274,330,56,45,735,3789,927,0,2862,160,9,16,7,124,314,272,11,24.320571412,11.083776,8.810496,0.455736660633358,0.362265172587714,1,1,0,0,65038322182,2365950,280839741
16034002,10,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,10,NaN,NaN,0,0,0,0,13,9,10,11,13,0.26,88,1964,6574,6328,0,246,181,613,1819,1152,0,667,149,16,2,15,274,198,123,55,15.057799456,10.555392,7.081984,0.700991670850952,0.470319984051725,1,1,0,0,65038322182,1423023,259071931
16034002,10,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,10,97,2,1,1,1,1,9,10,10,0,13,0.03,3,1977,6707,6673,0,34,19,1179,5129,1044,0,4085,212,2,8,1,339,108,722,4,13.972970308,12.926976,8.589312,0.925141592306889,0.614709099831288,1,1,0,0,65038322182,1432655,239221670
16034003,5,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,10,30,NaN,1,1,1,1,5,5,5,0,11,0.02,2,993,2772,2758,0,14,10,265,846,604,0,242,41,1,0,1,116,100,48,8,9.958175256,5.152768,4.841472,0.517440983667701,0.486180638072514,1,1,0,0,16739316276,1081016,85975802
16034003,5,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,14,57,NaN,0,1,1,0,5,4,4,0,13,0.07,3,985,2725,2533,148,44,32,392,1120,592,0,528,90,9,3,8,128,173,79,15,10.954919986,5.640192,4.960256,0.514854696082488,0.452787971645528,1,1,0,0,16739316276,2014329,102980738
16034003,5,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,10,NaN,NaN,1,0,0,0,3,5,5,7,11,0.365,194,981,2586,2174,0,412,246,221,457,309,0,148,50,13,3,10,72,117,16,41,11.03373236,4.923392,4.096,0.446212744641923,0.371225245126392,1,1,0,0,16739316276,1080674,157600499
16034003,5,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,10,30,3,1,1,1,1,5,5,5,0,11,0.02,2,991,2764,2750,0,14,10,239,782,600,0,182,31,2,0,2,103,100,34,9,9.981355366,5.03808,4.788224,0.504749086197398,0.479716814442893,1,1,0,0,16739316276,1081034,86244978
16034003,10,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,12,58,NaN,1,1,1,1,8,10,10,0,12,0.035,1,1979,6715,6661,0,54,32,1137,5079,1143,0,3936,204,1,0,1,335,127,674,5,12.698064258,12.763136,7.80288,1.00512454029826,0.61449366151097,1,1,0,0,65003449160,1432637,312522997
16034003,10,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,19,NaN,NaN,1,1,1,0,18,10,10,0,20,0.055,4,1974,6684,6281,339,64,40,987,4755,1296,0,3459,193,6,0,6,220,263,498,10,19.411024114,12.128256,8.568832,0.624812783126297,0.441441520533675,1,1,0,0,65003449160,2365950,265163890
16034003,10,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,11,NaN,NaN,1,1,0,0,13,10,10,11,12,0.235,95,1966,6591,6353,0,238,185,681,1963,1158,0,805,185,14,1,13,335,172,159,42,15.470405414,10.842112,7.479296,0.700829209697917,0.48345830634998,1,1,0,0,65003449160,1423023,273043134
16034003,10,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,12,58,3,1,1,1,1,8,10,10,0,12,0.035,1,1977,6707,6653,0,54,32,1137,4903,891,0,4012,209,2,0,2,323,112,700,6,12.72588039,12.754944,7.70048,1.00228381920223,0.605103911400192,1,1,0,0,65003449160,1432655,313964113
