gate,passed,detail
registry_frozen,1,"hash 85258916 over 48 leaves"
source_snapshot_frozen,1,"13 files, hash 8171592"
matrix_complete_unique,1,"800/800 unique rows"
exact_declared_seeds,1,"all and only 100 registered seeds"
exact_factor_coverage,1,"N={5,10} and four registered conditions exact"
paired_absolute_draws,1,"four conditions share one absolute trace per seed/N"
source_mapped_transition_contracts,1,"16 contract checks passed"
deterministic_replay,1,"trace, configuration and realization hashes repeat exactly"
named_management_paths,1,"TG 8, TGn 12, TS 211, TSo 163, TSn 2803, shrink 3"
native_resolves_physically,1,"200/200 final physically valid by deadline 200"
native_converges_without_unused_slots,1,"200/200 converged by frame 1000"
native_frame_agreement,1,"maximum native disagreement 0 slots"
delivery_witnesses_valid,1,"every success/collision has its physical witness"
terminal_accounting_closes,1,"DATA and management recipient outcomes close in every row"
causal_information_only,1,"zero future-random and receiver-truth decision reads"
all_boundary_outcomes_retained,1,"600 boundary rows retained; 201 nonresolved final rows"
conformance_scope_only,1,"no performance promotion or paper decision in kernel study"
