seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,REALIZATION_HASH,SCHEDULE_STATE_HASH,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_OWNER_LOCK_EXPIRY,BLACKOUT_CLIENT_GRANT_EXPIRY,BLACKOUT_CLIENT_FINAL_ACTIVE,FINAL_ALL_CERTIFIED,FINAL_SCHEDULED_COLLISION_FREE,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,OWNER_LOCK_VIOLATIONS,STALE_GRANT_ACCEPTS,FUTURE_GRANT_ACCEPTS,RECONFIGURATION_APPLIED_FRAME,RECONFIGURATION_RELEASE_FENCE,RECOVERY_FRAME,AUTOMATIC_RECOLOR_COUNT,STATUS_ATTEMPTS,GRANT_ATTEMPTS,GRANT_ENTRIES_ATTEMPTED,CONTROL_ATTEMPTS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,OFFERED_UTILIZATION,CHANNEL_UTILIZATION,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS
16041001,n5-6dof,N5 6-DOF graph,zero,Zero loss,native,5,30310130719,30310130719,1062397,556681,177409333,NaN,NaN,NaN,NaN,NaN,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,996,798,1987,1794,7176,7176,0,0,1990,4,4777,4777,0,0,8,6,0,2,0,2,0.486423159472949,0.48623549621698,1,0,0
16041001,n5-6dof,N5 6-DOF graph,data-erasure-5,DATA erasure 5%,data-separation,5,30310130719,30310130719,1718267,556681,177409333,NaN,NaN,NaN,NaN,NaN,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,996,798,1987,1794,7176,7176,0,0,1990,4,4777,4525,252,0,8,6,0,2,0,2,0.486423159472949,0.48623549621698,1,0,0
16041001,n5-6dof,N5 6-DOF graph,management-erasure-5,Management erasure 5%,control-loss,5,30310130719,30310130719,1386763,554289,177381633,NaN,NaN,NaN,NaN,NaN,1,1,6,0.9945,0,0,0,0,NaN,NaN,NaN,0,997,793,1886,1790,7160,6768,392,0,1989,4,4775,4775,0,0,8,6,0,2,0,2,0.485985278542354,0.485797615286384,1,0,0
16041001,n5-6dof,N5 6-DOF graph,local-management,Local management reach,visibility-boundary,5,30310130719,30310130719,1061943,590699,137695735,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0.3995,0,0,0,0,NaN,NaN,NaN,0,400,200,200,600,1600,1600,0,0,799,480,1998,1998,0,0,979,867,0,112,0,112,0.277553955578893,0.260476599285669,1,0,0
16041001,n5-6dof,N5 6-DOF graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,5,30310130719,20698640614,1160338,1042576,175959056,1,2,421,0,0,0,1,NaN,0.7955,0,0,0,0,NaN,NaN,NaN,0,1195,996,2186,2191,8764,8365,399,0,1591,153,3979,3979,0,0,304,302,0,2,0,2,0.464341449687204,0.463966123175265,1,0,0
16041001,n5-6dof,N5 6-DOF graph,state-loss,Local client state loss,rejoin-boundary,5,30310130719,30310130719,1062516,556679,177394327,NaN,NaN,NaN,NaN,NaN,1,1,5,0.994,0,0,0,0,NaN,NaN,2,0,996,799,1987,1795,7180,7180,0,0,1988,5,4773,4773,0,0,10,8,0,2,0,2,0.486298050635636,0.486110387379667,1,0,0
16041001,n5-6dof,N5 6-DOF graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,5,30310130719,30310130719,1062519,555363,177068691,NaN,NaN,NaN,NaN,NaN,1,1,5,0.976,0,0,0,0,222,221,NaN,1,994,799,1942,1793,7172,7172,0,0,1952,22,4697,4697,0,0,43,37,0,6,0,6,0.482607339934903,0.482044350166994,1,0,0
16041001,n10-ring2,N10 ring2 graph,zero,Zero loss,native,10,113405409523,113405409523,1759940,4137674,504292279,NaN,NaN,NaN,NaN,NaN,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,1980,1794,5921,3774,33966,33966,0,0,3955,9,10295,10295,0,0,19,17,0,2,0,2,0.537422123163717,0.374919340230835,1,0,0
16041001,n10-ring2,N10 ring2 graph,data-erasure-5,DATA erasure 5%,data-separation,10,113405409523,113405409523,2415810,4137674,504292279,NaN,NaN,NaN,NaN,NaN,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,1980,1794,5921,3774,33966,33966,0,0,3955,9,10295,9770,525,0,19,17,0,2,0,2,0.537422123163717,0.374919340230835,1,0,0
16041001,n10-ring2,N10 ring2 graph,management-erasure-5,Management erasure 5%,control-loss,10,113405409523,113405409523,2084306,4126422,504225401,NaN,NaN,NaN,NaN,NaN,1,1,12,0.98725,0,0,0,0,NaN,NaN,NaN,0,1981,1781,5640,3762,33858,32123,1735,0,3949,9,10281,10281,0,0,19,17,0,2,0,2,0.536392973176809,0.374198935239999,1,0,0
