seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,REALIZATION_HASH,SCHEDULE_STATE_HASH,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_OWNER_LOCK_EXPIRY,BLACKOUT_CLIENT_GRANT_EXPIRY,BLACKOUT_CLIENT_FINAL_ACTIVE,RECONFIGURATION_TARGET_CLIENT,RECONFIGURATION_TARGET_SLOT,FINAL_ALL_CERTIFIED,FINAL_SCHEDULED_COLLISION_FREE,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,OWNER_LOCK_VIOLATIONS,STALE_GRANT_ACCEPTS,FUTURE_GRANT_ACCEPTS,RECONFIGURATION_APPLIED_FRAME,RECONFIGURATION_RELEASE_FENCE,RECOVERY_FRAME,AUTOMATIC_RECOLOR_COUNT,STATUS_ATTEMPTS,GRANT_ATTEMPTS,GRANT_ENTRIES_ATTEMPTED,CONTROL_ATTEMPTS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,OFFERED_UTILIZATION,CHANNEL_UTILIZATION,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS
16042001,n5-6dof,N5 6-DOF graph,zero,Zero loss,native,5,30544610157,30544610157,1062147,556611,177409333,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,996,798,1987,1794,7176,7176,0,0,1990,3,4777,4777,0,0,6,6,0,0,0,0,0.48623549621698,0.48623549621698,1,0,0
16042001,n5-6dof,N5 6-DOF graph,data-erasure-5,DATA erasure 5%,data-separation,5,30544610157,30544610157,1718017,556611,177409333,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,996,798,1987,1794,7176,7176,0,0,1990,3,4777,4551,226,0,6,5,1,0,0,0,0.48623549621698,0.48623549621698,1,0,0
16042001,n5-6dof,N5 6-DOF graph,management-erasure-5,Management erasure 5%,control-loss,5,30544610157,30544610157,1386513,553452,177148813,NaN,NaN,NaN,NaN,NaN,3,3,1,1,7,0.991,0,0,0,0,NaN,NaN,NaN,0,992,785,1886,1777,7108,6779,329,0,1982,5,4759,4759,0,0,10,8,0,2,0,2,0.484046091564002,0.483858428308033,1,0,0
16042001,n5-6dof,N5 6-DOF graph,local-management,Local management reach,visibility-boundary,5,30544610157,30544610157,1061693,591027,137695735,NaN,NaN,NaN,NaN,NaN,3,3,0,1,NaN,0.3995,0,0,0,0,NaN,NaN,NaN,0,400,200,200,600,1600,1600,0,0,799,484,1998,1998,0,0,993,871,0,122,0,122,0.278304608602771,0.262540895101333,1,0,0
16042001,n5-6dof,N5 6-DOF graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,5,30544610157,20797308043,1160088,1042884,175959056,1,2,421,0,0,3,3,0,1,NaN,0.7955,0,0,0,0,NaN,NaN,NaN,0,1195,996,2186,2191,8764,8365,399,0,1591,167,3979,3979,0,0,334,332,0,2,0,2,0.466968735270777,0.466781072014808,1,0,0
16042001,n5-6dof,N5 6-DOF graph,state-loss,Local client state loss,rejoin-boundary,5,30544610157,30544610157,1062266,556609,177394327,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.994,0,0,0,0,NaN,NaN,2,0,996,799,1987,1795,7180,7180,0,0,1988,4,4773,4773,0,0,8,8,0,0,0,0,0.486110387379667,0.486110387379667,1,0,0
16042001,n5-6dof,N5 6-DOF graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,5,30544610157,30544610157,1062269,556259,177307126,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.972,0,0,0,0,222,221,NaN,1,1006,813,1970,1819,7276,7276,0,0,1944,20,4677,4677,0,0,40,34,0,6,0,6,0.482357122260277,0.481794132492368,1,0,0
16042001,n10-ring2,N10 ring2 graph,zero,Zero loss,native,10,113050051512,113050051512,1756965,4137711,504292279,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,1980,1794,5921,3774,33966,33966,0,0,3955,10,10295,10295,0,0,22,18,0,4,0,2,0.537525038162408,0.374919340230835,1,0,0
16042001,n10-ring2,N10 ring2 graph,data-erasure-5,DATA erasure 5%,data-separation,10,113050051512,113050051512,2412835,4137711,504292279,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,1980,1794,5921,3774,33966,33966,0,0,3955,10,10295,9772,523,0,22,18,0,4,0,2,0.537525038162408,0.374919340230835,1,0,0
16042001,n10-ring2,N10 ring2 graph,management-erasure-5,Management erasure 5%,control-loss,10,113050051512,113050051512,2081331,4126225,504251134,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98775,0,0,0,0,NaN,NaN,NaN,0,1981,1779,5642,3760,33840,32107,1733,0,3951,10,10284,10284,0,0,22,18,0,4,0,2,0.536633108173754,0.374233240239563,1,0,0
