seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,REALIZATION_HASH,SCHEDULE_STATE_HASH,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_OWNER_LOCK_EXPIRY,BLACKOUT_CLIENT_GRANT_EXPIRY,BLACKOUT_CLIENT_FINAL_ACTIVE,RECONFIGURATION_TARGET_CLIENT,RECONFIGURATION_TARGET_SLOT,FINAL_ALL_CERTIFIED,FINAL_SCHEDULED_COLLISION_FREE,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,OWNER_LOCK_VIOLATIONS,STALE_GRANT_ACCEPTS,FUTURE_GRANT_ACCEPTS,RECONFIGURATION_APPLIED_FRAME,RECONFIGURATION_RELEASE_FENCE,RECOVERY_FRAME,AUTOMATIC_RECOLOR_COUNT,STATUS_ATTEMPTS,GRANT_ATTEMPTS,GRANT_ENTRIES_ATTEMPTED,CONTROL_ATTEMPTS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,MAX_FALLBACK_ATTEMPTS_PER_NODE_FRAME,OFFERED_UTILIZATION,CHANNEL_UTILIZATION,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS
16045001,n5-6dof,N5 6-DOF graph,zero,Zero loss,native,5,30428074766,30428074766,1062147,556589,177409333,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,996,798,1987,1794,7176,7176,0,0,1990,2,4777,4777,0,0,4,4,0,0,0,0,1,0.48604783296101,0.48604783296101,1,0,0
16045001,n5-6dof,N5 6-DOF graph,data-erasure-5,DATA erasure 5%,data-separation,5,30428074766,30428074766,1718017,556589,177409333,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,996,798,1987,1794,7176,7176,0,0,1990,2,4777,4533,244,0,4,4,0,0,0,0,1,0.48604783296101,0.48604783296101,1,0,0
16045001,n5-6dof,N5 6-DOF graph,management-erasure-5,Management erasure 5%,control-loss,5,30428074766,30428074766,1386513,554214,177345515,NaN,NaN,NaN,NaN,NaN,3,3,1,1,6,0.9945,0,0,0,0,NaN,NaN,NaN,0,997,793,1899,1790,7160,6813,347,0,1989,2,4775,4775,0,0,4,4,0,0,0,0,1,0.485609952030415,0.485609952030415,1,0,0
16045001,n5-6dof,N5 6-DOF graph,local-management,Local management reach,visibility-boundary,5,30428074766,30428074766,1061693,588453,137695735,NaN,NaN,NaN,NaN,NaN,3,3,0,1,NaN,0.3995,0,0,0,0,NaN,NaN,NaN,0,400,200,200,600,1600,1600,0,0,799,415,1998,1998,0,0,881,803,0,78,0,78,1,0.265355843940876,0.253908385326736,1,0,0
16045001,n5-6dof,N5 6-DOF graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,5,30428074766,20732740265,1160088,1042264,175959056,1,2,421,0,0,3,3,0,1,NaN,0.7955,0,0,0,0,NaN,NaN,NaN,0,1195,996,2186,2191,8764,8365,399,0,1591,141,3979,3979,0,0,282,282,0,0,0,0,1,0.46208949061557,0.46208949061557,1,0,0
16045001,n5-6dof,N5 6-DOF graph,state-loss,Local client state loss,rejoin-boundary,5,30428074766,30428074766,1062266,556609,177394327,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.994,0,0,0,0,NaN,NaN,2,0,996,799,1987,1795,7180,7180,0,0,1988,4,4773,4773,0,0,8,8,0,0,0,0,1,0.486110387379667,0.486110387379667,1,0,0
16045001,n5-6dof,N5 6-DOF graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,5,30428074766,30428074766,1062269,556053,177307126,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.972,0,0,0,0,222,221,NaN,1,1006,813,1970,1819,7276,7276,0,0,1944,15,4677,4677,0,0,32,30,0,2,0,2,1,0.481418805980429,0.48123114272446,1,0,0
16045001,n10-ring2,N10 ring2 graph,zero,Zero loss,native,10,113158008217,113158008217,1756965,4137600,504292279,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,1980,1794,5921,3774,33966,33966,0,0,3955,7,10295,10295,0,0,16,14,0,2,0,2,1,0.537216293166335,0.374816425232144,1,0,0
16045001,n10-ring2,N10 ring2 graph,data-erasure-5,DATA erasure 5%,data-separation,10,113158008217,113158008217,2412835,4137600,504292279,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,1980,1794,5921,3774,33966,33966,0,0,3955,7,10295,9788,507,0,16,12,2,2,0,2,1,0.537216293166335,0.374816425232144,1,0,0
16045001,n10-ring2,N10 ring2 graph,management-erasure-5,Management erasure 5%,control-loss,10,113158008217,113158008217,2081331,4126936,504227507,NaN,NaN,NaN,NaN,NaN,3,3,1,1,12,0.987,0,0,0,0,NaN,NaN,NaN,0,1982,1786,5635,3768,33912,32213,1699,0,3948,8,10279,10279,0,0,18,16,0,2,0,2,1,0.536392973176809,0.37430185023869,1,0,0
