seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,REALIZATION_HASH,SCHEDULE_STATE_HASH,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_OWNER_LOCK_EXPIRY,BLACKOUT_CLIENT_GRANT_EXPIRY,BLACKOUT_CLIENT_FINAL_ACTIVE,RECONFIGURATION_TARGET_CLIENT,RECONFIGURATION_TARGET_SLOT,FINAL_ALL_CERTIFIED,FINAL_SCHEDULED_COLLISION_FREE,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,OWNER_LOCK_VIOLATIONS,STALE_GRANT_ACCEPTS,FUTURE_GRANT_ACCEPTS,RECONFIGURATION_APPLIED_FRAME,RECONFIGURATION_RELEASE_FENCE,RECOVERY_FRAME,AUTOMATIC_RECOLOR_COUNT,STATUS_ATTEMPTS,GRANT_ATTEMPTS,DISCOVERY_STATUS_ATTEMPTS,REQUEST_STATUS_ATTEMPTS,GRANT_WITHOUT_DECODED_REQUEST,CONTROL_ATTEMPT_BOUND,CONTROL_BOUND_RATIO,GRANT_ENTRIES_ATTEMPTED,CONTROL_ATTEMPTS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,MAX_FALLBACK_ATTEMPTS_PER_NODE_FRAME,OFFERED_UTILIZATION,CHANNEL_UTILIZATION,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS
16050001,n5-6dof,N5 6-DOF graph,zero,Zero loss,native,5,30406091854,30406091854,1062327,491162,176806773,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,213,310,89,124,0,534,0.97940074906367,310,523,2092,2092,0,0,1990,3,4777,4777,0,0,6,4,0,2,0,2,1,0.406728830104567,0.406541166848598,1,0,0
16050001,n5-6dof,N5 6-DOF graph,data-erasure-5,DATA erasure 5%,data-separation,5,30406091854,30406091854,1718197,491162,176806773,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,213,310,89,124,0,534,0.97940074906367,310,523,2092,2092,0,0,1990,3,4777,4538,239,0,6,4,0,2,0,2,1,0.406728830104567,0.406541166848598,1,0,0
16050001,n5-6dof,N5 6-DOF graph,management-erasure-5,Management erasure 5%,control-loss,5,30406091854,30406091854,1386693,487264,175316743,NaN,NaN,NaN,NaN,NaN,3,3,1,1,18,0.9755,0,0,0,0,NaN,NaN,NaN,0,238,279,88,150,0,534,0.968164794007491,354,517,2068,1957,111,0,1951,12,4686,4686,0,0,23,19,0,4,0,4,1,0.400723605913543,0.400160616145635,1,0,0
16050001,n5-6dof,N5 6-DOF graph,local-management,Local management reach,visibility-boundary,5,30406091854,30406091854,1061873,574373,137611490,NaN,NaN,NaN,NaN,NaN,3,3,0,1,NaN,0.3995,0,0,0,0,NaN,NaN,NaN,0,68,31,37,31,0,534,0.185393258426966,31,99,249,249,0,0,799,411,1998,1998,0,0,860,776,0,84,0,84,1,0.233265427170091,0.220504325764165,1,0,0
16050001,n5-6dof,N5 6-DOF graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,5,30406091854,20692473922,1160268,985515,175440741,1,2,421,0,0,3,3,0,1,NaN,0.7955,0,0,0,0,NaN,NaN,NaN,0,564,585,72,492,0,534,2.15168539325843,678,1149,4596,4197,399,0,1591,139,3979,3979,0,0,278,274,0,4,0,4,1,0.396532459863558,0.396157133351619,1,0,0
16050001,n5-6dof,N5 6-DOF graph,state-loss,Local client state loss,rejoin-boundary,5,30406091854,30406091854,1062446,492141,176900190,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.994,0,0,0,0,NaN,NaN,2,0,213,314,87,126,0,534,0.98689138576779,314,527,2108,2108,0,0,1988,4,4773,4773,0,0,8,6,0,2,0,2,1,0.406791384523224,0.406603721267254,1,0,0
16050001,n5-6dof,N5 6-DOF graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,5,30406091854,30406091854,1062449,499250,177265338,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.9645,0,0,0,0,222,221,NaN,1,261,319,79,182,0,534,1.08614232209738,440,580,2320,2320,0,0,1929,23,4647,4647,0,0,45,43,0,2,0,2,1,0.402600238473238,0.402224911961299,1,0,0
16050001,n10-ring2,N10 ring2 graph,zero,Zero loss,native,10,113322849706,113322849706,1757145,3860018,504027300,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,455,930,176,279,0,1409,0.982966643009226,930,1385,12465,12465,0,0,3955,9,10295,10295,0,0,22,18,0,4,0,2,1,0.455467479206222,0.29296469627334,1,0,0
16050001,n10-ring2,N10 ring2 graph,data-erasure-5,DATA erasure 5%,data-separation,10,113322849706,113322849706,2413015,3860018,504027300,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,455,930,176,279,0,1409,0.982966643009226,930,1385,12465,12465,0,0,3955,9,10295,9762,533,0,22,18,0,4,0,2,1,0.455467479206222,0.29296469627334,1,0,0
16050001,n10-ring2,N10 ring2 graph,management-erasure-5,Management erasure 5%,control-loss,10,113322849706,113322849706,2081511,3853856,503010973,NaN,NaN,NaN,NaN,NaN,3,3,1,1,23,0.97425,0,0,0,0,NaN,NaN,NaN,0,524,994,175,349,0,1409,1.07735982966643,1146,1518,13662,12979,683,0,3897,20,10159,10159,0,0,48,44,0,4,0,2,1,0.455193039209713,0.296292281231011,1,0,0
16050001,n10-ring2,N10 ring2 graph,local-management,Local management reach,visibility-boundary,10,113322849706,113322849706,1746229,707120,382845946,NaN,NaN,NaN,NaN,NaN,3,3,0,1,NaN,0.19975,0,0,0,0,NaN,NaN,NaN,0,68,31,37,31,0,1409,0.0702625975869411,31,99,351,351,0,0,799,578,2798,2798,0,0,1273,1127,0,146,0,110,1,0.145110148154125,0.128643748363586,1,0,0
16050001,n10-ring2,N10 ring2 graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,10,113322849706,74583791439,1855086,4229651,501371854,1,2,421,0,0,3,3,0,1,NaN,0.889,0,0,0,0,NaN,NaN,NaN,0,806,1050,159,647,0,1409,1.31724627395316,1298,1856,16704,16305,399,0,3556,92,9497,9497,0,0,188,184,0,4,0,2,1,0.439103994414374,0.317252635964385,1,0,0
16050001,n10-ring2,N10 ring2 graph,state-loss,Local client state loss,rejoin-boundary,10,113322849706,113322849706,1757564,3860447,504021139,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98825,0,0,0,0,NaN,NaN,2,0,455,915,175,280,0,1409,0.972320794889993,931,1370,12330,12330,0,0,3953,10,10291,10291,0,0,24,20,0,4,0,2,1,0.454849989214077,0.292553036278577,1,0,0
16050001,n10-ring2,N10 ring2 graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,10,113322849706,113322849706,1757567,3863669,503321724,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.92975,0,0,0,0,222,221,NaN,5,619,1035,156,463,0,1409,1.17388218594748,1479,1654,14886,14886,0,0,3719,48,9717,9717,0,0,111,101,0,10,0,6,1,0.444421269346735,0.298487801203083,1,0,0
16050002,n5-6dof,N5 6-DOF graph,zero,Zero loss,native,5,30425066404,30425066404,1062327,491114,176806773,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,213,310,89,124,0,534,0.97940074906367,310,523,2092,2092,0,0,1990,3,4777,4777,0,0,7,7,0,0,0,0,1,0.406728830104567,0.406728830104567,1,0,0
16050002,n5-6dof,N5 6-DOF graph,data-erasure-5,DATA erasure 5%,data-separation,5,30425066404,30425066404,1718197,491114,176806773,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,213,310,89,124,0,534,0.97940074906367,310,523,2092,2092,0,0,1990,3,4777,4542,235,0,7,7,0,0,0,0,1,0.406728830104567,0.406728830104567,1,0,0
16050002,n5-6dof,N5 6-DOF graph,management-erasure-5,Management erasure 5%,control-loss,5,30425066404,30425066404,1386693,494509,176929614,NaN,NaN,NaN,NaN,NaN,3,3,1,1,6,0.9945,0,0,0,0,NaN,NaN,NaN,0,237,336,89,148,0,534,1.07303370786517,380,573,2292,2182,110,0,1989,3,4775,4775,0,0,7,7,0,0,0,0,1,0.409668887781423,0.409668887781423,1,0,0
16050002,n5-6dof,N5 6-DOF graph,local-management,Local management reach,visibility-boundary,5,30425066404,30425066404,1061873,575653,137611490,NaN,NaN,NaN,NaN,NaN,3,3,0,1,NaN,0.3995,0,0,0,0,NaN,NaN,NaN,0,68,31,37,31,0,534,0.185393258426966,31,99,249,249,0,0,799,443,1998,1998,0,0,912,804,0,108,0,108,1,0.239270651361115,0.223131611347738,1,0,0
16050002,n5-6dof,N5 6-DOF graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,5,30425066404,20696489216,1160268,985353,175440741,1,2,421,0,0,3,3,0,1,NaN,0.7955,0,0,0,0,NaN,NaN,NaN,0,564,585,72,492,0,534,2.15168539325843,678,1149,4596,4197,399,0,1591,136,3979,3979,0,0,273,273,0,0,0,0,1,0.395969470095649,0.395969470095649,1,0,0
16050002,n5-6dof,N5 6-DOF graph,state-loss,Local client state loss,rejoin-boundary,5,30425066404,30425066404,1062446,492071,176900190,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.994,0,0,0,0,NaN,NaN,2,0,213,314,87,126,0,534,0.98689138576779,314,527,2108,2108,0,0,1988,3,4773,4773,0,0,7,7,0,0,0,0,1,0.406603721267254,0.406603721267254,1,0,0
16050002,n5-6dof,N5 6-DOF graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,5,30425066404,30425066404,1062449,499302,177265338,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.9645,0,0,0,0,222,221,NaN,1,261,319,79,182,0,534,1.08614232209738,440,580,2320,2320,0,0,1929,21,4647,4647,0,0,41,32,0,9,0,6,1,0.402224911961299,0.401286595681452,1,0,0
16050002,n10-ring2,N10 ring2 graph,zero,Zero loss,native,10,113279911086,113279911086,1757145,3859944,504027300,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,455,930,176,279,0,1409,0.982966643009226,930,1385,12465,12465,0,0,3955,7,10295,10295,0,0,16,14,0,2,0,2,1,0.45526164920884,0.292861781274649,1,0,0
