gate,passed,detail
registry_frozen,1,"hash 44430535 over 39 leaves"
matrix_complete_unique,1,"120/120 unique rows"
exact_seed_cell_arm_coverage,1,"30 fresh seeds, two cells and two arms exact"
paired_absolute_realizations,1,"channel, estimator, ELCS kernel and logical opportunities paired"
clock_impairment_declared,1,"only affine arm consumes the paired bounded clock realization"
affine_clock_and_guard_certificate,1,"max residual 2.22e-16 s; min gap 0.000306 s"
elcs_kernel_safety,1,"0 false-valid, 0 lock and 0 scheduled-collision witnesses"
causal_information_contract,1,"zero future-random and receiver-truth decision reads"
all_elcs_opportunities_served,1,"0 skipped opportunities"
exact_data_outcome_replay,1,"scheduled/fallback success, erasure and collision masks match"
data_collision_witness_match,1,"event collision frames equal completed ELCS witnesses"
management_accounting_closes,1,"STATUS/GRANT recipient partitions and 32-byte attempt-airtime close"
cross_plane_nonoverlap,1,"0 overlap witnesses"
recipient_and_airtime_accounting,1,"recipient partition and fully charged offered/busy utilization close"
protocol_invariants,1,"0 invariant violations"
event_driven_request_discipline,1,"0 grant-without-request; STATUS residual 0"
event_driven_control_bound,1,"maximum observed/bound ratio 0.982967"
event_driven_acquisition_deadline,1,"maximum first-certification excess 0 frames"
all_failures_retained,1,"0 unsafe, 0 divergent and 0 uncertified retained"
integration_scope_only,1,"no tuning, promotion, robustness claim or submission decision"
