stage,seed,scenario,scenarioLabel,family,arm,pointIndex,parameterValue,method,methodLabel,feedbackMode,N,topology,plant,macType,pAccess,configuredPAccess,backgroundLoad,carrierSenseDensity,interferenceDensity,stationaryMeanDataLoss,stationaryMeanAckLoss,meanBadDurationDataSec,meanBadDurationAckSec,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLL_PEAK_DEG,PITCH_PEAK_DEG,SATURATION,CONTROL_EFFORT,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MAX_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_ACTIVE_FRAMES,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,historySize,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,ADAPTIVE_ACK_PERMITTED,ADAPTIVE_ACK_DEFERRED,ADAPTIVE_ACK_FORCED,MEAN_LOCAL_BUSY,MAX_LOCAL_BUSY,LOAD_GUARD_BLOCKED,LOAD_GUARD_BLOCKED_BUSY,LOAD_GUARD_BLOCKED_QUEUE,LOAD_GUARD_BRANCH3,LOAD_GUARD_BRANCH4,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,DATA_CHANNEL_ATTEMPTS,ACK_CHANNEL_ATTEMPTS,DATA_BAD_ATTEMPT_FRACTION,ACK_BAD_ATTEMPT_FRACTION,TRACE_DATA_BAD_FRACTION,TRACE_ACK_BAD_FRACTION,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CHANNEL_MODEL_SIGNATURE,ESTIMATOR_HASH_EXACT,CONFIG_HASH,originalMacType,armKind,route,accessDesign,ackDesign,schedulerMode,oracleFlag,PERIODIC_RATE_HZ,TARGET_RATE_HZ,MEAN_NODE_GOODPUT_HZ,MIN_NODE_GOODPUT_HZ,MEAN_GOODPUT_MARGIN_HZ,MIN_GOODPUT_MARGIN_HZ,SERVICE_ADMISSIONS,SERVICE_COMPLETIONS,SERVICE_REPLACEMENTS,VIRTUAL_DEFICIT_MAX,VIRTUAL_DEFICIT_TERMINAL,MAX_STARVATION_SEC,SERVICE_DECISIONS,FIFO_COMPARABLE_DECISIONS,PRIORITY_DIFFERS_FIFO,PRIORITY_DIFFERS_FIFO_FRACTION,RECEIVER_TRUTH_READS,FUTURE_RANDOM_READS,SERVICE_DECISION_LOG_VALID,ENDOGENOUS_COLLISION_FRAMES,PROJECTION_FLAG,DTSA_DECISIONS,DTSA_DISAGREEMENTS,DTSA_DISAGREEMENT_FRACTION,AGE_GAIN_ELIGIBLE,ZMAC_OWNER_ATTEMPTS,ZMAC_CONTENTION_ATTEMPTS,DELTA_FINAL_PHASE,PUBLIC_FEEDBACK_COUNT,PUBLIC_FEEDBACK_AIRTIME,CHARGED_OFFERED_UTIL,MECHANISM_ACTIVATIONS,cellRole,controlReach,DISTRIBUTED_FLAG,IDEAL_FLAG,EXP21_TRACE_HASH_EXACT,RESERVATION_EPOCHS,CONTROL_FRAMES,CONTROL_REQUEST_FRAMES,CONTROL_RESPONSE_FRAMES,CONTROL_COMMIT_FRAMES,CONTROL_RECIPIENT_ATTEMPTS,CONTROL_RECIPIENT_SUCCESS,CONTROL_RECIPIENT_LOSS,CONTROL_ACCOUNTING_CLOSE,CONTROL_AIRTIME,CONTROL_OVERHEAD_FRACTION,RESERVATION_NACKS,RESERVATION_MIGRATIONS,RESERVATION_SCHEDULE_CHANGES,SCHEDULE_CONFLICT_FRACTION,FIRST_CONVERGENCE_SEC,CONVERGED_BY_2SEC,CHURN_APPLIED,CHURN_RECOVERY_SEC,RECOVERED_BY_2SEC,FINAL_ASSIGNED_NODES,FINAL_FULL_UNIQUE,MAX_ABS_CLOCK_OFFSET_SEC,MAX_ABS_CLOCK_DRIFT_PPM,LOCAL_SCHEDULE_ONLY,EXP21C_TRACE_HASH_EXACT,CONTINUOUS_START_OPPORTUNITIES,CONTINUOUS_START_ATTEMPTS,CONTINUOUS_GUARD_SEC,CONTINUOUS_SLOT_SEC,CONTINUOUS_SYNC_SEC,CONTINUOUS_MAX_CLOCK_RESIDUAL,CONTINUOUS_MAX_OFFSET_BOUND_SEC,CONTINUOUS_MAX_DRIFT_BOUND_PPM,CONTINUOUS_REALIZED_MAX_DRIFT_PPM,CONTINUOUS_EXACT_AIRTIME,ENGINE_FAMILY,TOTAL_MANAGEMENT_ATTEMPTS,TOTAL_MANAGEMENT_AIRTIME,TOTAL_MANAGEMENT_UTIL,TOTAL_OFFERED_UTIL,REPLAY_FLAG,REPLAY_SCHEDULE_HASH_EXACT,REPLAY_KERNEL_TRACE_HASH_EXACT,REPLAY_KERNEL_CONFIG_HASH,REPLAY_LOGICAL_OPPORTUNITY_HASH_EXACT,REPLAY_DATA_OPPORTUNITIES,REPLAY_DATA_ATTEMPTS,REPLAY_DATA_SKIPPED_NO_QUEUE,REPLAY_DATA_OUTCOME_MISMATCHES,REPLAY_EXPECTED_COLLISION_FRAMES,REPLAY_COLLISION_WITNESS_MATCH,REPLAY_EXPECTED_RECIPIENT_SUCCESS,REPLAY_EXPECTED_RECIPIENT_ERASURE,REPLAY_EXPECTED_RECIPIENT_COLLISION,REPLAY_OBSERVED_RECIPIENT_SUCCESS,REPLAY_OBSERVED_RECIPIENT_ERASURE,REPLAY_OBSERVED_RECIPIENT_COLLISION,REPLAY_MANAGEMENT_ACCOUNTING_CLOSE,REPLAY_CROSS_PLANE_OVERLAPS,REPLAY_CLOCK_TIMING_SAFE,REPLAY_CLOCK_MIN_GAP_SEC,REPLAY_CLOCK_RESIDUAL_SEC,ELCS_FINAL_ALL_CERTIFIED,ELCS_FALSE_VALID_EDGE_FRAMES,ELCS_OWNER_LOCK_VIOLATIONS,ELCS_SCHEDULED_COLLISION_FRAMES,ELCS_FIRST_ALL_CERTIFIED_FRAME,ELCS_STATUS_ATTEMPTS,ELCS_DISCOVERY_STATUS_ATTEMPTS,ELCS_REQUEST_STATUS_ATTEMPTS,ELCS_GRANT_ATTEMPTS,ELCS_GRANT_WITHOUT_DECODED_REQUEST,ELCS_CONTROL_ATTEMPT_BOUND,ELCS_CONTROL_BOUND_RATIO,DSTR_FINAL_RESOLVED,DSTR_FINAL_COLLISION_FREE
event-driven-candidate-targeted-frontier-falsification,16052001,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP22G targeted frontier,periodic-cost-match,1,19.1122222222221,periodic,Periodic static TDMA / ELCS cost match,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0303246986804736,0.558835561976844,0,0,10.1677525658531,12.2998475019298,0,1.03682052689559,0.0419485903814262,0.0799999999999983,0.0800000000000001,0.0800000000000018,NaN,NaN,1145,1145,1145,0,0,2748,2748,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.293119999999963,0,0,0,0.289671752308301,0.319818135002156,0,0,0,0,0,0.293119999999997,3.51743999999997,0,0,0,0,0.703487999999993,95.4166666666667,229,0,0.0113376864410943,0.0214227090863112,NaN,NaN,1,2748,0,0,0,0,0,1.5775958,0,1006434,0,110997400,0,258418601,tdma,periodic-frontier,none,full-mission-static-tdma,none,continuous-local-static-tdma,NaN,19.1122222222221,NaN,19.0833333333333,19.0833333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1145,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.293119999999997,1145,nominal,full,0,0,503313752189,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,5,1,0,0,1,188863499872,2647,1145,0.00146005840233609,0.00453205840233609,Inf,0,0.00025,40,38.6872480848296,1,periodic-static,0,0,0,0.293119999999997,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
event-driven-candidate-targeted-frontier-falsification,16052001,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP22G targeted frontier,periodic-cost-minus2pct,2,18.7299777777776,periodic,Periodic static TDMA / 2% below ELCS cost,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0307675985171325,0.558483582692833,0,0,10.1432779715412,12.2867169667293,0,1.03681651977772,0.0424792703150912,0.0800000000000001,0.0800000000000001,0.0800000000000018,NaN,NaN,1125,1125,1125,0,0,2700,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.287999999999963,0,0,0,0.287480496981925,0.315897218727096,0,0,0,0,0,0.287999999999997,3.45599999999997,0,0,0,0,0.691199999999993,93.75,225,0,0.0113017325181179,0.0214974104706494,NaN,NaN,1,2700,0,0,0,0,0,1.5038338,0,1006434,0,110997400,0,258466864,tdma,periodic-frontier,none,full-mission-static-tdma,none,continuous-local-static-tdma,NaN,18.7299777777776,NaN,18.75,18.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1125,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.287999999999997,1125,nominal,full,0,0,503313752189,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,5,1,0,0,1,188863499872,2647,1125,0.00146005840233609,0.00453205840233609,Inf,0,0.00025,40,38.6872480848296,1,periodic-static,0,0,0,0.287999999999997,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
event-driven-candidate-targeted-frontier-falsification,16052001,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP22G targeted frontier,elcs-f-mission-affine,3,50,periodic,ELCS-F / mission affine clock,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0301205433107197,0.559332852856328,0,0,10.1625979490666,12.3392211000772,0,1.03685949434811,0.0409452736318409,0.0600000000000005,0.0600000000000005,0.0600000000000005,NaN,NaN,3000,1055,1052,0,0,2529,2525,4,0,0,0,0,0,0,3,0.0028436018957346,0,1942,0,0,1,32,32,0,0,0,0,0,0,0,0.293489765191239,0,0,0,0,0,0,0,0,0,0,0.293973333333331,3.24095999999997,0,0,0,0,0.705535999999994,87.6666666666667,210.416666666667,0,0.0100012091583502,0.018936502497273,NaN,NaN,0.999976507368554,2529,0,0,0,0,0,0.4071899,0,1006434,0,110997400,0,16644720162,tdma,candidate-elcs,none,edge-leased-certified-scheduling,none,continuous-elcs-replay,NaN,50,NaN,17.5333333333333,17.4166666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1055,NaN,NaN,NaN,0,0,1,3,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.293973333333331,1055,nominal,full,1,0,503313752189,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.283554993399736,1,0,NaN,NaN,5,1,0,0,1,188863499872,1055,1055,0.00146005840233609,0.00453205840233609,Inf,2.22044604925031e-16,0.00025,40,38.6872480848296,1,candidate-elcs,280,0.28672,0.0238933333333334,0.293973333333331,1,3736035143,30417893418,1103131,948111016,1055,1055,0,0,3,1,2525,0,4,2525,0,4,1,0,1,0.000836872174836856,2.22044604925031e-16,1,0,0,0,5,213,89,124,310,0,534,0.97940074906367,NaN,NaN
event-driven-candidate-targeted-frontier-falsification,16052001,n10-ring2-zero-loss,N10 ring2 zero-loss,EXP22G targeted frontier,periodic-cost-match,1,10.3799999999999,periodic,Periodic static TDMA / ELCS cost match,none,10,ring2,di,tdma,1,1,0,1,0.26,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0556798577872149,0.536927311603758,0,0,NaN,NaN,NaN,NaN,0.0747646383467278,0.120000000000001,0.140000000000001,0.140000000000001,NaN,NaN,1250,1248,1248,0,0,3245,3245,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.319487999999958,0,0,0,0.318232573766032,0.366952273719896,0,0,0,0,0,0.319487999999997,3.83385599999996,0,0,0,0,0.766771199999992,104,270.416666666667,0,0.0224826614700908,0.0426482497540585,NaN,NaN,0.999989727258719,3245,0,0,0,0,0,1.4851636,0,1320900,0,410907079,0,268691746,tdma,periodic-frontier,none,full-mission-static-tdma,none,continuous-local-static-tdma,NaN,10.3799999999999,NaN,10.4,10.3333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1248,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.319487999999997,1248,nominal,full,0,0,1951067451695,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,10,1,0,0,1,691855022475,2647,1248,0.00146005840233609,0.00453205840233609,Inf,0,0.00025,40,39.8879567832446,1,periodic-static,0,0,0,0.319487999999997,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
event-driven-candidate-targeted-frontier-falsification,16052001,n10-ring2-zero-loss,N10 ring2 zero-loss,EXP22G targeted frontier,periodic-cost-minus2pct,2,10.1723999999999,periodic,Periodic static TDMA / 2% below ELCS cost,none,10,ring2,di,tdma,1,1,0,1,0.26,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0561300804762293,0.536627085942852,0,0,NaN,NaN,NaN,NaN,0.0756907768848068,0.120000000000001,0.140000000000001,0.140000000000001,NaN,NaN,1220,1220,1220,0,0,3172,3172,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.31231999999996,0,0,0,0.31165582322181,0.364133513787405,0,0,0,0,0,0.312319999999997,3.74783999999996,0,0,0,0,0.749567999999993,101.666666666667,264.333333333333,0,0.0227236033259057,0.0432707745708577,NaN,NaN,1,3172,0,0,0,0,0,1.2750227,0,1320900,0,410907079,0,268439457,tdma,periodic-frontier,none,full-mission-static-tdma,none,continuous-local-static-tdma,NaN,10.1723999999999,NaN,10.1666666666667,10.1666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1220,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.312319999999997,1220,nominal,full,0,0,1951067451695,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,10,1,0,0,1,691855022475,2647,1220,0.00146005840233609,0.00453205840233609,Inf,0,0.00025,40,39.8879567832446,1,periodic-static,0,0,0,0.312319999999997,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
event-driven-candidate-targeted-frontier-falsification,16052001,n10-ring2-zero-loss,N10 ring2 zero-loss,EXP22G targeted frontier,elcs-f-mission-affine,3,50,periodic,ELCS-F / mission affine clock,none,10,ring2,di,tdma,1,1,0,1,0.26,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0508884356058291,0.542575497365323,0,0,NaN,NaN,NaN,NaN,0.0652583237657863,0.119999999999999,0.120000000000001,0.120000000000001,NaN,NaN,6000,1114,1114,0,0,2903,2901,2,0,0,0,0,0,0,2,0.00179533213644524,0,4876,0,0,1,32,32,0,0,0,0,0,0,0,0.218291244460142,0,0,0,0,0,0,0,0,0,0,0.319061333333331,3.42220799999997,0,0,0,0,0.765747199999994,92.8333333333333,241.75,0,0.0100056973183478,0.019025811516652,NaN,NaN,0.999545732787783,2903,0,0,0,0,0,0.4691799,0,1320900,0,410907079,0,39133467595,tdma,candidate-elcs,none,edge-leased-certified-scheduling,none,continuous-elcs-replay,NaN,50,NaN,9.28333333333333,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1114,NaN,NaN,NaN,0,0,1,2,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.319061333333331,1114,nominal,full,1,0,1951067451695,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.04138871794872,1,0,NaN,NaN,10,0,0,0,1,691855022475,1114,1114,0.00146005840233609,0.00453205840233609,Inf,1.11022302462516e-16,0.00025,40,39.8879567832446,1,candidate-elcs,397,0.406528000000003,0.0338773333333336,0.319061333333331,1,4728169291,113307537540,1800674,1572019455,1114,1114,0,0,2,1,2901,0,2,2901,0,2,1,0,1,0.00047852223489997,1.11022302462516e-16,1,0,0,0,10,455,176,279,930,0,1409,0.982966643009226,NaN,NaN
event-driven-candidate-targeted-frontier-falsification,16052002,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP22G targeted frontier,periodic-cost-match,1,19.1122222222221,periodic,Periodic static TDMA / ELCS cost match,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0303030954681067,0.558806707246715,0,0,10.1677525658531,12.2998475019298,0,1.0368205988892,0.0418905472636816,0.0799999999999983,0.0800000000000001,0.0800000000000018,NaN,NaN,1145,1145,1145,0,0,2748,2748,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.293119999999962,0,0,0,0.291856976781337,0.323281269238968,0,0,0,0,0,0.293119999999997,3.51743999999997,0,0,0,0,0.703487999999993,95.4166666666667,229,0,0.0112885017837564,0.0213966471497596,NaN,NaN,1,2748,0,0,0,0,0,1.1817836,0,1182538,0,110997400,0,258418603,tdma,periodic-frontier,none,full-mission-static-tdma,none,continuous-local-static-tdma,NaN,19.1122222222221,NaN,19.0833333333333,19.0833333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1145,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.293119999999997,1145,nominal,full,0,0,502930583463,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,5,1,0,0,1,188495543699,2647,1145,0.00146005840233609,0.00453205840233609,Inf,0,0.00025,40,19.2361222919517,1,periodic-static,0,0,0,0.293119999999997,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
event-driven-candidate-targeted-frontier-falsification,16052002,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP22G targeted frontier,periodic-cost-minus2pct,2,18.7299777777776,periodic,Periodic static TDMA / 2% below ELCS cost,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0308268926704894,0.558386179147983,0,0,10.1432779715412,12.2867169667293,0,1.03681570161277,0.0425704809286899,0.0800000000000001,0.0800000000000001,0.0800000000000018,NaN,NaN,1125,1125,1125,0,0,2700,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.287999999999963,0,0,0,0.28578138789196,0.317544461579752,0,0,0,0,0,0.287999999999997,3.45599999999997,0,0,0,0,0.691199999999993,93.75,225,0,0.0113289776177971,0.0215155267841689,NaN,NaN,1,2700,0,0,0,0,0,1.2176912,0,1182538,0,110997400,0,258466866,tdma,periodic-frontier,none,full-mission-static-tdma,none,continuous-local-static-tdma,NaN,18.7299777777776,NaN,18.75,18.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1125,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.287999999999997,1125,nominal,full,0,0,502930583463,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,5,1,0,0,1,188495543699,2647,1125,0.00146005840233609,0.00453205840233609,Inf,0,0.00025,40,19.2361222919517,1,periodic-static,0,0,0,0.287999999999997,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
event-driven-candidate-targeted-frontier-falsification,16052002,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP22G targeted frontier,elcs-f-mission-affine,3,50,periodic,ELCS-F / mission affine clock,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0300997841588115,0.559384149968908,0,0,10.0644047135589,12.2982482704824,0,1.03683553153883,0.0410447761194031,0.0600000000000005,0.0600000000000005,0.0600000000000005,NaN,NaN,3000,1055,1054,0,0,2531,2529,2,0,0,0,0,0,0,2,0.0018957345971564,0,1942,0,0,1,32,32,0,0,0,0,0,0,0,0.293724565200158,0,0,0,0,0,0,0,0,0,0,0.293973333333331,3.24095999999997,0,0,0,0,0.705535999999994,87.8333333333333,210.75,0,0.0099935219420775,0.0189803380799503,NaN,NaN,0.999969395562357,2531,0,0,0,0,0,0.4177567,0,1182538,0,110997400,0,16619026968,tdma,candidate-elcs,none,edge-leased-certified-scheduling,none,continuous-elcs-replay,NaN,50,NaN,17.5666666666667,17.4166666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1055,NaN,NaN,NaN,0,0,1,2,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.293973333333331,1055,nominal,full,1,0,502930583463,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.283554993399736,1,0,NaN,NaN,5,1,0,0,1,188495543699,1055,1055,0.00146005840233609,0.00453205840233609,Inf,2.71050543121376e-20,0.00025,40,19.2361222919517,1,candidate-elcs,280,0.28672,0.0238933333333334,0.293973333333331,1,3746669796,30477558584,1103131,948117260,1055,1055,0,0,2,1,2529,0,2,2529,0,2,1,0,1,0.00102599354547156,2.71050543121376e-20,1,0,0,0,5,213,89,124,310,0,534,0.97940074906367,NaN,NaN
event-driven-candidate-targeted-frontier-falsification,16052002,n10-ring2-zero-loss,N10 ring2 zero-loss,EXP22G targeted frontier,periodic-cost-match,1,10.3799999999999,periodic,Periodic static TDMA / ELCS cost match,none,10,ring2,di,tdma,1,1,0,1,0.26,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0557231071039341,0.536528535947018,0,0,NaN,NaN,NaN,NaN,0.0748832759280519,0.120000000000001,0.140000000000001,0.140000000000001,NaN,NaN,1250,1249,1249,0,0,3248,3248,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.319743999999958,0,0,0,0.318143242726321,0.366369704526788,0,0,0,0,0,0.319743999999997,3.83692799999996,0,0,0,0,0.767385599999992,104.083333333333,270.666666666667,0,0.0224464235039367,0.0426753979140605,NaN,NaN,0.999994230806213,3248,0,0,0,0,0,1.3512156,0,326653,0,410907079,0,268691748,tdma,periodic-frontier,none,full-mission-static-tdma,none,continuous-local-static-tdma,NaN,10.3799999999999,NaN,10.4083333333333,10.3333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1249,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.319743999999997,1249,nominal,full,0,0,1950597593066,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,10,1,0,0,1,692218306814,2648,1249,0.00146005840233609,0.00453205840233609,Inf,2.77555756156289e-17,0.00025,40,32.1621239494831,1,periodic-static,0,0,0,0.319743999999997,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
