seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,SCHEDULE_STATE_HASH,WITNESS_HASH_EXACT,CONFLICT_EDGES,HIDDEN_CONFLICT_EDGES,MAX_WITNESS_LOAD,FINAL_ALL_CERTIFIED,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,CLAIM_ATTEMPTS,CERTIFICATE_ATTEMPTS,CONTROL_ATTEMPTS,CONTROL_ATTEMPT_BOUND,CONTROL_ATTEMPT_BOUND_RATIO,CLAIM_BYTES,CERTIFICATE_BYTES,CONTROL_BYTES,CONTROL_BYTE_BOUND,CONTROL_BYTE_BOUND_RATIO,CERTIFICATE_ENTRIES_ATTEMPTED,LOCAL_CERTIFICATE_ENTRIES,CERTIFICATE_WITHOUT_FRESH_CLAIMS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,MAX_FALLBACK_ATTEMPTS_PER_NODE_FRAME,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_WITNESS,BLACKOUT_CLIENT_FINAL_ACTIVE,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS
16057001,n5-6dof,N5 6-DOF graph,zero,Zero loss,nominal,5,30336272071,30336272071,17164123,17231828,44314,10,4,3,1,1,1,0,0,0,155,124,279,279,1,3720,3472,7192,7192,1,186,124,0,682,682,0,0,2000,0,4800,4800,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0
16057001,n5-6dof,N5 6-DOF graph,claim-erasure-5,CLAIM erasure 5%,claim-loss,5,30336272071,30336272071,17549688,17003837,44314,10,4,3,0,1,0.9245,0,0,3,155,124,279,279,1,3720,3472,7192,7192,1,186,124,0,682,664,18,0,1849,55,4456,4456,0,0,121,113,0,8,1,NaN,NaN,NaN,NaN,1,0,0
16057001,n5-6dof,N5 6-DOF graph,certificate-erasure-5,CERT erasure 5%,certificate-loss,5,30336272071,30336272071,17549688,17142850,44314,10,4,3,1,14,0.9655,0,0,0,155,124,279,279,1,3720,3472,7192,7192,1,186,124,0,682,667,15,0,1931,24,4634,4634,0,0,56,56,0,0,1,NaN,NaN,NaN,NaN,1,0,0
16057001,n5-6dof,N5 6-DOF graph,data-erasure-5,DATA erasure 5%,data-separation,5,30336272071,30336272071,17549688,17231828,44314,10,4,3,1,1,1,0,0,0,155,124,279,279,1,3720,3472,7192,7192,1,186,124,0,682,682,0,0,2000,0,4800,4550,250,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0
16057001,n5-6dof,N5 6-DOF graph,directed-certificate-blackout,Directed transmitted-CERT blackout,fail-silent-boundary,5,30336272071,25468591819,17874054,16945726,44314,10,4,3,0,NaN,0.8,0,0,0,155,124,279,279,1,3720,3472,7192,7192,1,186,124,0,682,651,31,0,1600,136,4000,4000,0,0,272,272,0,0,1,1,2,1,0,1,0,0
16057001,n10-ring2,N10 ring2 graph,zero,Zero loss,nominal,10,113443632177,113443632177,17581776,71538525,681878,30,17,8,1,1,1,0,0,0,310,310,620,620,1,7440,10168,17608,17608,1,651,279,0,1612,1612,0,0,4000,0,10400,10400,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0
16057001,n10-ring2,N10 ring2 graph,claim-erasure-5,CLAIM erasure 5%,claim-loss,10,113443632177,113443632177,17967341,70709149,681878,30,17,8,0,14,0.921,0,0,1,310,310,620,620,1,7440,10136,17576,17608,0.998182644252612,647,279,0,1612,1579,33,0,3684,59,9639,9639,0,0,140,136,0,4,1,NaN,NaN,NaN,NaN,1,0,0
16057001,n10-ring2,N10 ring2 graph,certificate-erasure-5,CERT erasure 5%,certificate-loss,10,113443632177,113443632177,17967341,71130986,681878,30,17,8,1,14,0.9585,0,0,0,310,310,620,620,1,7440,10168,17608,17608,1,651,279,0,1612,1572,40,0,3834,36,9999,9999,0,0,86,86,0,0,1,NaN,NaN,NaN,NaN,1,0,0
16057001,n10-ring2,N10 ring2 graph,data-erasure-5,DATA erasure 5%,data-separation,10,113443632177,113443632177,17967341,71538525,681878,30,17,8,1,1,1,0,0,0,310,310,620,620,1,7440,10168,17608,17608,1,651,279,0,1612,1612,0,0,4000,0,10400,9861,539,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0
16057001,n10-ring2,N10 ring2 graph,directed-certificate-blackout,Directed transmitted-CERT blackout,fail-silent-boundary,10,113443632177,93992564147,18291707,71171243,681878,30,17,8,0,NaN,0.9,0,0,0,310,310,620,620,1,7440,10168,17608,17608,1,651,279,0,1612,1581,31,0,3600,81,9600,9600,0,0,162,162,0,0,1,1,2,1,0,1,0,0
