seed,arm,kind,condition,dataLoss,controlLoss,traceHash,geometryHash,selectorHash,scheduleHash,kernelTraceHash,kernelStateHash,interferenceEventHash,RMSE,MINSEP,SAFEFAIL,DIVERGED,TOTAL_COST,DATA_AIRTIME,MANAGEMENT_AIRTIME,DATA_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,COLLISION_FRAMES,BACKGROUND_COLLISION_FRAMES,graphAdmissible,graphLocalOnly,graphAddedEdges,graphRemovedEdges,oldSlot,newSlot,eventFrame,eligibleFrame,reacquired,firstReacquiredFrame,finalSuppressed,controlAttempts,controlBytes,controlAirtime,expectedControlAttempts,expectedControlAirtime,expectedDataSuccess,expectedDataErasure,expectedDataCollision,observedDataSuccess,observedDataErasure,observedDataCollision,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,suppressionHash,reacquisitionHash,revokeBlackout,responseBlackout,geometryCoupledToPlant,emergencyEnabled,emergencySlot,emergencyOpportunities,emergencyExpectedSuccess,emergencyExpectedErasure,emergencyExpectedCollision,claimBackoffEnabled,claimDenseRetryFrames,claimMaxBackoffFrames,claimRetryAttemptLimit,claimOpportunityCount,claimScheduleHash,claimAttempts,lockProofAttempts,responseAttempts,retryBudgetExhausted,retryEntryFailureBound,retryUnionFailureBound
16088001,periodic-iid20,periodic,iid20,0.2,0,681336,2364930,565053,NaN,NaN,NaN,593702,0.0826849480150668,0.495788537232602,0,0,0.255999999999998,3.07199999999997,0,1000,2093,507,0,0,NaN,NaN,NaN,NaN,NaN,NaN,45,48,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16088001,migration-dense-iid20-emergency,migration,iid20,0.2,0.2,681336,2364930,565053,1143374895,18682023350,144261981,593702,0.0818363710753853,0.506966878355543,0,0,0.237061333333331,2.67263999999998,0.172096,870,1813,449,0,0,1,1,1,0,7,9,45,48,1,49,0,191,5378,0.172096,191,0.172096,1813,449,0,1813,449,0,0,0,0,1,0,0,0,27595,27455,0,0,0,1,10,4,8,0,0,0,NaN,1,Inf,40,30145,2,180,8,0,1.04889763931541e-14,9.44007875383873e-14
16088001,migration-backoff-iid20-emergency,migration,iid20,0.2,0.2,681336,2364930,565053,1143646714,18682023350,144485437,593702,0.0818363710753853,0.506966878355543,0,0,0.237061333333331,2.67263999999998,0.172096,870,1813,449,0,0,1,1,1,0,7,9,45,48,1,49,0,191,5378,0.172096,191,0.172096,1813,449,0,1813,449,0,0,0,0,1,0,0,0,27595,27455,0,0,0,1,10,4,8,0,0,1,6,8,10,10,27974,2,180,8,0,6.50276694672842e-05,0.000585249025205558
16088001,migration-dense-iid20-emergency-response-blackout,migration,iid20,0.2,0.2,681336,2364930,565053,1143727664,18487443386,172062298,593702,0.0833268767175286,0.50693140013109,0,0,0.253402666666665,2.67263999999998,0.368192,870,1805,457,0,0,1,1,1,0,7,9,45,48,0,NaN,1,388,11506,0.368192,388,0.368192,1805,457,0,1805,457,0,0,0,0,1,0,0,0,30286,27405,0,1,0,1,10,43,63,23,0,0,NaN,1,Inf,40,30145,40,180,167,0,1.04889763931541e-14,9.44007875383873e-14
16088001,migration-backoff-iid20-emergency-response-blackout,migration,iid20,0.2,0.2,681336,2364930,565053,1143011468,18487443386,150486183,593702,0.0833268767175286,0.50693140013109,0,0,0.240783999999998,2.67263999999998,0.216768,870,1805,457,0,0,1,1,1,0,7,9,45,48,0,NaN,1,236,6774,0.216768,236,0.216768,1805,457,0,1805,457,0,0,0,0,1,0,0,0,30286,27405,0,1,0,1,10,43,63,23,0,1,6,8,10,10,27974,10,180,45,1,6.50276694672842e-05,0.000585249025205558
16088001,migration-backoff-iid20-emergency-revoke-blackout,migration,iid20,0.2,0.2,681336,2364930,565053,1143733456,18675795508,144485437,593702,0.0818363710753853,0.506966878355543,0,0,0.237061333333331,2.67263999999998,0.172096,870,1813,449,0,0,1,1,1,0,7,9,45,48,1,49,0,191,5378,0.172096,191,0.172096,1813,449,0,1813,449,0,0,0,0,1,0,0,0,27595,27455,1,0,0,1,10,4,8,0,0,1,6,8,10,10,27974,2,180,8,0,6.50276694672842e-05,0.000585249025205558
16088002,periodic-iid20,periodic,iid20,0.2,0,640406,2364930,565053,NaN,NaN,NaN,593702,0.0824737340024363,0.498998041879832,0,0,0.255999999999998,3.07199999999997,0,1000,2096,504,0,0,NaN,NaN,NaN,NaN,NaN,NaN,45,48,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16088002,migration-dense-iid20-emergency,migration,iid20,0.2,0.2,640406,2364930,565053,1143005732,18779889502,144685279,593702,0.084117990278623,0.505396359797757,0,0,0.237194666666665,2.67263999999998,0.173696,870,1840,422,0,0,1,1,1,0,7,9,45,48,1,50,0,194,5428,0.173696,194,0.173696,1840,422,0,1840,422,0,0,0,0,1,0,0,0,27645,27456,0,0,0,1,10,5,7,3,0,0,NaN,1,Inf,40,30145,3,180,10,0,1.04889763931541e-14,9.44007875383873e-14
16088002,migration-backoff-iid20-emergency,migration,iid20,0.2,0.2,640406,2364930,565053,1142763637,18779889502,144908735,593702,0.084117990278623,0.505396359797757,0,0,0.237194666666665,2.67263999999998,0.173696,870,1840,422,0,0,1,1,1,0,7,9,45,48,1,50,0,194,5428,0.173696,194,0.173696,1840,422,0,1840,422,0,0,0,0,1,0,0,0,27645,27456,0,0,0,1,10,5,7,3,0,1,6,8,10,10,27974,3,180,10,0,6.50276694672842e-05,0.000585249025205558
16088002,migration-dense-iid20-emergency-response-blackout,migration,iid20,0.2,0.2,640406,2364930,565053,1143379101,18581828215,171817473,593702,0.083166530680196,0.505406450057961,0,0,0.252863999999998,2.67263999999998,0.361728,870,1848,414,0,0,1,1,1,0,7,9,45,48,0,NaN,1,381,11304,0.361728,381,0.361728,1848,414,0,1848,414,0,0,0,0,1,0,0,0,30286,27405,0,1,0,1,10,43,73,13,0,0,NaN,1,Inf,40,30145,40,180,160,0,1.04889763931541e-14,9.44007875383873e-14
