horizon,radius,accelBound,eventTime,added,removed,oldSlot,newSlot,slotChanged,admissible,reason
0.5,0.45,0.5,6,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,6.02,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,6.04,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,6.06,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,6.7,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,6.72,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,6.74,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,6.76,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,6.78,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,6.8,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,6.82,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,6.84,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,6.86,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,6.88,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,6.9,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,6.92,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,6.94,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,6.96,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,7.02,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,7.04,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,7.06,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,7.08,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,7.1,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,7.12,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,7.14,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,7.16,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,7.18,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,7.2,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,7.22,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,7.24,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,7.26,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,7.28,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,8.02,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,8.04,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,8.06,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,8.08,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,8.1,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,8.12,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,8.14,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,8.16,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,8.18,2,0,7,7,0,0,nonlocal_graph_change
0.5,0.45,0.5,8.2,2,0,7,7,0,0,nonlocal_graph_change
