seed,N,condition,traceHash,selectorHash,stateHash,physicalChangeCount,senderChangeCount,nonincidentSenderChangeCount,initiatorIsChangedEndpoint,affectedCount,affectedHash,changedSlotCount,outsideUnchanged,candidateProper,prepareBytes,maxResponseBytes,barrierClosed,barrierFrame,motionAuthorized,activationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,edgeReceipts,requiredEdgeReceipts,actualSubsetUnion,collisionFrames,collisionEdges,controlAttempts,controlBytes,controlAirtime,attemptBound,byteBound,attemptBoundRatio,byteBoundRatio,recipientAttempts,recipientSuccess,recipientErasure,prepareAttempts,quietAttempts,claimAttempts,proofAttempts,responseAttempts,commitAttempts,revokeAttempts,futureRandomReads,receiverTruthReads
16091001,5,nominal-zero,975633406,46437,12576772,1,1,1,0,3,91,1,1,1,44,26,1,5,1,6,1,1,3,0,0,0,2,2,1,0,0,12,460,0.01472,83,3656,0.144578313253012,0.12582056892779,48,48,0,1,2,3,0,2,1,3,0,0
16091001,5,iid20,6110564210,46437,12387789,1,1,1,0,3,91,1,1,1,44,26,1,5,1,6,1,1,3,0,0,0,2,2,1,0,0,20,948,0.030336,83,3656,0.240963855421687,0.259299781181619,80,62,18,1,2,9,0,2,3,3,0,0
16091001,5,prepare-blackout,975559516,46437,12335571,1,1,1,0,3,91,1,1,1,44,26,0,NaN,0,NaN,0,0,0,2,1,0,0,2,1,0,0,18,592,0.018944,83,3656,0.216867469879518,0.161925601750547,72,64,8,8,8,0,0,0,0,2,0,0
16091001,5,quiescent-blackout,975527116,46437,11748240,1,1,1,0,3,91,1,1,1,44,26,0,NaN,0,NaN,0,0,0,3,1,0,0,2,1,0,0,27,808,0.025856,83,3656,0.325301204819277,0.221006564551422,108,100,8,8,16,0,0,0,0,3,0,0
16091001,5,response-blackout,824640562,46437,12459415,1,1,1,0,3,91,1,1,1,44,26,1,5,1,6,0,0,0,3,0,0,0,2,1,0,0,56,2844,0.091008,83,3656,0.674698795180723,0.777899343544858,224,224,0,1,2,30,0,20,0,3,0,0
16091001,5,commit-blackout,974582026,46437,11775894,1,1,1,0,3,91,1,1,1,44,26,1,5,1,6,1,0,1,2,0,1,2,2,1,0,0,17,600,0.0192,83,3656,0.204819277108434,0.164113785557987,68,56,12,1,2,3,0,2,6,3,0,0
16091001,5,revoke-blackout,966271900,46437,12576772,1,1,1,0,3,91,1,1,1,44,26,1,5,1,6,1,1,3,0,0,0,2,2,1,0,0,12,460,0.01472,83,3656,0.144578313253012,0.12582056892779,48,36,12,1,2,3,0,2,1,3,0,0
16091001,5,incomplete-union,975743626,46437,12576772,1,1,1,0,3,91,1,1,1,44,26,1,5,1,6,1,1,3,0,0,0,2,2,0,53,53,12,460,0.01472,83,3656,0.144578313253012,0.12582056892779,48,48,0,1,2,3,0,2,1,3,0,0
16091002,5,nominal-zero,973354745,49231,12849189,2,2,2,0,4,143,2,1,1,48,26,1,5,1,6,1,1,4,0,0,0,3,3,1,0,0,16,610,0.01952,112,4884,0.142857142857143,0.124897624897625,64,64,0,1,3,4,0,3,1,4,0,0
16091002,5,iid20,6078647365,49231,12948869,2,2,2,0,4,143,2,1,1,48,26,1,5,1,6,1,1,4,0,0,0,3,3,1,0,0,26,1240,0.03968,112,4884,0.232142857142857,0.253890253890254,104,82,22,1,3,12,0,4,2,4,0,0
