N,condition,nRuns,meanAffectedCount,meanChangedSlots,barrierRate,motionAuthorizationRate,reactivationRate,meanCollisionFrames,meanControlAttempts,meanControlBytes,actualSubsetRate
5,nominal-zero,100,3.99,1.99,1,1,1,0,15.96,608.5,1
5,iid20,100,3.99,1.99,1,1,1,0,26.41,1163.5,1
5,prepare-blackout,100,3.99,1.99,0,0,0,0,26.91,837.52,1
5,quiescent-blackout,100,3.99,1.99,0,0,0,0,35.91,1053.52,1
5,response-blackout,100,3.99,1.99,1,1,0,0,77.78,3865.68,1
5,commit-blackout,100,3.99,1.99,1,1,0,0,20.96,748.5,1
5,revoke-blackout,100,3.99,1.99,1,1,1,0,15.96,608.5,1
5,incomplete-union,100,3.99,1.99,1,1,1,53,15.96,608.5,0
10,nominal-zero,100,4.5,2.5,1,1,1,0,18,685,1
10,iid20,100,4.5,2.5,1,1,1,0,31.87,1399.04,1
10,prepare-blackout,100,4.5,2.5,0,0,0,0,31.5,964,1
10,quiescent-blackout,100,4.5,2.5,0,0,0,0,40.5,1180,1
10,response-blackout,100,4.5,2.5,1,1,0,0,89,4392,1
10,commit-blackout,100,4.5,2.5,1,1,0,0,23,825,1
10,revoke-blackout,100,4.5,2.5,1,1,1,0,18,685,1
10,incomplete-union,100,4.5,2.5,1,1,1,53,18,685,0
20,nominal-zero,100,4.5,2.5,1,1,1,0,18,685,1
20,iid20,100,4.5,2.5,1,1,1,0,31.76,1401.34,1
20,prepare-blackout,100,4.5,2.5,0,0,0,0,31.5,964,1
20,quiescent-blackout,100,4.5,2.5,0,0,0,0,40.5,1180,1
20,response-blackout,100,4.5,2.5,1,1,0,0,89,4392,1
20,commit-blackout,100,4.5,2.5,1,1,0,0,23,825,1
20,revoke-blackout,100,4.5,2.5,1,1,1,0,18,685,1
20,incomplete-union,100,4.5,2.5,1,1,1,53,18,685,0
