condition,clockArm,seed,N,clockImpaired,selectorHash,traceHash,kernelStateHash,nativeScheduleHash,scheduleHash,logicalHash,selectorAdmissible,physicalChangeCount,senderChangeCount,nonincidentSenderChangeCount,affectedCount,changedSlotCount,candidateProper,actualSubsetUnion,barrierClosed,motionAuthorized,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,dataStateSlotExact,kernelControlAttempts,physicalControlAttempts,kernelControlBytes,physicalControlBytes,kernelControlAirtime,physicalControlAirtime,kernelRecipientAttempts,physicalRecipientAttempts,kernelRecipientSuccess,physicalRecipientSuccess,kernelRecipientErasure,physicalRecipientErasure,prepareMapped,quietMapped,claimMapped,proofMapped,responseMapped,commitMapped,revokeMapped,kernelPrepareAttempts,kernelQuietAttempts,kernelClaimAttempts,kernelProofAttempts,kernelResponseAttempts,kernelCommitAttempts,kernelRevokeAttempts,piggybackRevoke,maxControlPacketBytes,nativeDataAttempts,physicalDataAttempts,dataRecipientAttempts,dataRecipientSuccess,dataRecipientCollision,dataRecipientPartitionExact,kernelCollisionFrames,physicalCollisionAttempts,physicalCollisionFrames,clockTimingConflictFree,clockEquationResidual,clockMinIntergroupGap,clockMaxIntragroupSkew,nativeControlAttempts,physicalFrameDuration,horizonSec,attemptBoundRatio,byteBoundRatio,futureRandomReads,receiverTruthReads
nominal-zero,zero-clock,16092001,5,0,49231,973354745,13717466,30517326,529780105,99063004,1,2,2,2,4,2,1,1,1,1,1,1,4,0,0,0,1,12,12,514,514,0.016448,0.016448,48,48,48,48,0,0,1,3,4,0,3,1,0,1,3,4,0,3,1,0,1,72,288,288,57,57,0,1,0,0,0,1,0,0.00290011600464002,0,12,0.095553856074243,5.83323136445458,0.111111111111111,0.107351712614871,0,0
nominal-zero,affine-clock,16092001,5,1,49231,973354745,13717466,30517326,537061216,99063004,1,2,2,2,4,2,1,1,1,1,1,1,4,0,0,0,1,12,12,514,514,0.016448,0.016448,48,48,48,48,0,0,1,3,4,0,3,1,0,1,3,4,0,3,1,0,1,72,288,288,57,57,0,1,0,0,0,1,0,0.00223030008969083,0.000463305088626409,12,0.095553856074243,5.83323136445458,0.111111111111111,0.107351712614871,0,0
iid20,zero-clock,16092001,5,0,49231,6093610615,13817266,29431722,554840047,94989803,1,2,2,2,4,2,1,1,1,1,1,1,4,0,0,0,1,22,22,1144,1144,0.036608,0.036608,88,88,62,62,26,26,1,3,12,0,4,2,0,1,3,12,0,4,2,0,1,72,279,279,55,55,0,1,0,0,0,1,0,0.00290011600464002,0,22,0.095553856074243,5.83323136445458,0.203703703703704,0.238930659983292,0,0
iid20,affine-clock,16092001,5,1,49231,6093610615,13817266,29431722,559683282,94989803,1,2,2,2,4,2,1,1,1,1,1,1,4,0,0,0,1,22,22,1144,1144,0.036608,0.036608,88,88,62,62,26,26,1,3,12,0,4,2,0,1,3,12,0,4,2,0,1,72,279,279,55,55,0,1,0,0,0,1,0,0.00223030008969083,0.000463305088626409,22,0.095553856074243,5.83323136445458,0.203703703703704,0.238930659983292,0,0
prepare-blackout,zero-clock,16092001,5,0,49231,973280855,12548200,7041860,266146164,22767710,1,2,2,2,4,2,1,1,0,0,0,0,0,3,1,0,1,24,24,768,768,0.024576,0.024576,96,96,88,88,8,8,8,16,0,0,0,0,0,8,16,0,0,0,0,0,1,48,132,132,60,60,0,1,0,0,0,1,0,0.00290011600464019,0,24,0.095553856074243,5.83323136445458,0.222222222222222,0.160401002506266,0,0
prepare-blackout,affine-clock,16092001,5,1,49231,973280855,12548200,7041860,272354923,22767710,1,2,2,2,4,2,1,1,0,0,0,0,0,3,1,0,1,24,24,768,768,0.024576,0.024576,96,96,88,88,8,8,8,16,0,0,0,0,0,8,16,0,0,0,0,0,1,48,132,132,60,60,0,1,0,0,0,1,0,0.00266671264909579,0.000463305088626409,24,0.095553856074243,5.83323136445458,0.222222222222222,0.160401002506266,0,0
quiescent-blackout,zero-clock,16092001,5,0,49231,973248455,12977868,3450606,216274272,8611428,1,2,2,2,4,2,1,1,0,0,0,0,0,4,1,0,1,32,32,960,960,0.03072,0.03072,128,128,120,120,8,8,8,24,0,0,0,0,0,8,24,0,0,0,0,0,1,48,76,76,4,4,0,1,0,0,0,1,0,0.00290011600464019,0,32,0.095553856074243,5.83323136445458,0.296296296296296,0.200501253132832,0,0
quiescent-blackout,affine-clock,16092001,5,1,49231,973248455,12977868,3450606,231214168,8611428,1,2,2,2,4,2,1,1,0,0,0,0,0,4,1,0,1,32,32,960,960,0.03072,0.03072,128,128,120,120,8,8,8,24,0,0,0,0,0,8,24,0,0,0,0,0,1,48,76,76,4,4,0,1,0,0,0,1,0,0.00266671264909579,0.000463305088626409,32,0.095553856074243,5.83323136445458,0.296296296296296,0.200501253132832,0,0
response-blackout,zero-clock,16092001,5,0,49231,825072548,13159495,3608260,381861563,11435990,1,2,2,2,4,2,1,1,1,1,0,0,0,4,0,0,1,74,74,3780,3780,0.12096,0.12096,296,296,296,296,0,0,1,3,40,0,30,0,0,1,3,40,0,30,0,0,1,72,76,76,4,4,0,1,0,0,0,1,1.11022302462516e-16,0.00290011600464019,0,74,0.095553856074243,5.83323136445458,0.685185185185185,0.789473684210526,0,0
response-blackout,affine-clock,16092001,5,1,49231,825072548,13159495,3608260,395685666,11435990,1,2,2,2,4,2,1,1,1,1,0,0,0,4,0,0,1,74,74,3780,3780,0.12096,0.12096,296,296,296,296,0,0,1,3,40,0,30,0,0,1,3,40,0,30,0,0,1,72,76,76,4,4,0,1,0,0,0,1,0,0.00266671264909579,0.000463305088626409,74,0.095553856074243,5.83323136445458,0.685185185185185,0.789473684210526,0,0
