node,targetX,targetY,displacement,minimumSweepSeparation,nearestNode,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,oldColors,newColors,maxResponseBytes,geometryHash
2,0.75,0,0.15,0.45,6,3,1,5,2,6,6,46,1170249
7,0.45,0.6,0.15,0.45,3,4,2,6,4,6,6,56,1832410
9,-0.45,0.6,0.15,0.45,3,4,2,6,3,6,6,56,1286439
6,1.05,-0.0499999999999998,0.158113883008419,0.452769256906871,2,3,2,5,2,6,6,46,1642210
6,1.05,0.0499999999999998,0.158113883008419,0.452769256906871,2,3,2,5,2,6,6,46,2012322
3,-0.15,0.65,0.158113883008419,0.452769256906871,9,4,2,6,3,6,6,56,1617980
3,0.15,0.65,0.158113883008419,0.452769256906871,7,4,2,6,4,6,6,56,1525234
4,-0.65,0.15,0.158113883008419,0.452769256906871,9,2,2,4,2,6,6,46,1377872
3,-0.15,0.55,0.158113883008419,0.452769256906871,9,4,2,6,3,6,6,56,1731502
3,0.15,0.55,0.158113883008419,0.452769256906871,7,4,2,6,4,6,6,56,1661137
4,-0.55,0.15,0.158113883008419,0.452769256906871,9,2,2,4,2,6,6,46,1870243
2,0.75,-0.0499999999999998,0.158113883008419,0.452769256906871,6,3,1,5,2,6,6,46,1429185
2,0.75,0.0499999999999998,0.158113883008419,0.452769256906871,6,3,1,5,2,6,6,46,2114907
7,0.45,0.65,0.158113883008419,0.452769256906871,3,4,2,6,4,6,6,56,2069410
9,-0.45,0.65,0.158113883008419,0.452769256906871,3,4,2,6,3,6,6,56,2023192
7,0.45,0.55,0.158113883008419,0.452769256906871,3,4,2,6,4,6,6,56,2118054
9,-0.45,0.55,0.158113883008419,0.452769256906871,3,4,2,6,3,6,6,56,1624624
6,1.1,-0.15,0.180277563773199,0.522015325445528,2,3,2,5,2,6,6,46,1147995
6,1.1,0.15,0.180277563773199,0.522015325445528,2,3,2,5,2,6,6,46,1873395
6,1.05,-0.0999999999999999,0.180277563773199,0.460977222864644,2,3,2,5,2,6,6,46,1921068
6,1.05,0.0999999999999999,0.180277563773199,0.460977222864644,2,3,2,5,2,6,6,46,1990772
2,0.7,-0.15,0.180277563773199,0.522015325445527,6,3,1,5,2,6,6,46,1335195
2,0.7,0.15,0.180277563773199,0.460977222864644,7,4,2,5,2,6,6,56,1235390
3,-0.15,0.5,0.180277563773199,0.460977222864644,9,5,2,7,7,6,7,56,1954386
3,-0.15,0.7,0.180277563773199,0.460977222864644,9,6,2,7,4,6,7,56,2137045
3,0.15,0.5,0.180277563773199,0.460977222864644,7,5,2,7,5,6,7,56,1408218
3,0.15,0.7,0.180277563773199,0.460977222864644,7,6,2,7,5,6,7,56,2363721
4,-0.7,0.15,0.180277563773199,0.460977222864644,9,5,4,5,2,6,6,56,1553021
4,-0.5,0.15,0.180277563773199,0.460977222864644,9,2,2,4,2,6,6,46,1982169
2,0.75,-0.0999999999999999,0.180277563773199,0.460977222864644,6,3,1,5,2,6,6,46,1704093
2,0.75,0.0999999999999999,0.180277563773199,0.460977222864644,6,4,2,5,2,6,6,56,1254676
3,-0.0999999999999999,0.45,0.180277563773199,0.460977222864644,1,5,2,7,7,6,7,56,1760803
3,-0.0999999999999999,0.75,0.180277563773199,0.460977222864644,8,6,2,7,4,6,7,56,2256669
3,0.0999999999999999,0.45,0.180277563773199,0.460977222864644,1,5,2,7,5,6,7,56,2027222
3,0.0999999999999999,0.75,0.180277563773199,0.460977222864644,8,6,2,7,5,6,7,56,1873573
4,-0.75,0.0999999999999999,0.180277563773199,0.460977222864644,10,5,4,5,2,6,6,56,2146490
4,-0.45,0.0999999999999999,0.180277563773199,0.460977222864644,1,2,2,4,2,6,6,46,1572626
7,0.5,0.75,0.180277563773199,0.522015325445528,3,4,2,6,4,6,6,56,1633206
9,-0.5,0.75,0.180277563773199,0.522015325445528,3,4,2,6,3,6,6,56,2033007
7,0.45,0.5,0.180277563773199,0.460977222864644,3,5,2,6,5,6,7,56,1411270
7,0.45,0.7,0.180277563773199,0.460977222864644,3,4,2,6,4,6,6,56,1445066
7,0.5,0.45,0.180277563773199,0.460977222864644,2,5,2,6,5,6,7,56,1442860
9,-0.5,0.45,0.180277563773199,0.460977222864644,4,6,2,7,6,6,7,56,2055704
9,-0.45,0.5,0.180277563773199,0.460977222864644,3,6,2,7,6,6,7,56,2215441
9,-0.45,0.7,0.180277563773199,0.460977222864644,3,4,2,6,3,6,6,56,1714501
6,1.05,-0.15,0.212132034355964,0.474341649025257,2,3,2,5,2,6,6,46,1121365
6,1.05,0.15,0.212132034355964,0.474341649025257,2,3,2,5,2,6,6,46,1215235
2,0.75,-0.15,0.212132034355964,0.474341649025257,6,3,1,5,2,6,6,46,1796671
2,0.75,0.15,0.212132034355964,0.474341649025257,6,4,2,5,2,6,6,56,2150152
3,-0.15,0.45,0.212132034355964,0.474341649025257,1,5,2,7,7,6,7,56,1342966
3,-0.15,0.75,0.212132034355964,0.474341649025257,8,6,2,7,4,6,7,56,1397691
3,0.15,0.45,0.212132034355964,0.474341649025257,1,5,2,7,5,6,7,56,2345869
3,0.15,0.75,0.212132034355964,0.474341649025257,8,6,2,7,5,6,7,56,2365965
4,-0.75,0.15,0.212132034355964,0.474341649025257,10,5,4,5,2,6,6,56,1965648
4,-0.45,0.15,0.212132034355964,0.474341649025257,1,2,2,4,2,6,6,46,1924881
7,0.45,0.45,0.212132034355964,0.474341649025257,2,5,2,6,5,6,7,56,1559087
7,0.45,0.75,0.212132034355964,0.474341649025257,3,4,2,6,4,6,6,56,1248217
9,-0.45,0.45,0.212132034355964,0.474341649025257,3,6,2,7,6,6,7,56,1957452
9,-0.45,0.75,0.212132034355964,0.474341649025257,3,4,2,6,3,6,6,56,1231274
6,1.1,-0.2,0.223606797749979,0.53851648071345,2,3,2,5,2,6,6,46,1645663
6,1.1,0.2,0.223606797749979,0.53851648071345,2,3,2,5,2,6,6,46,1756855
2,0.7,-0.2,0.223606797749979,0.53851648071345,6,3,1,5,2,6,6,46,1357797
7,0.5,0.8,0.223606797749979,0.53851648071345,3,4,2,6,4,6,6,56,1266784
9,-0.5,0.8,0.223606797749979,0.53851648071345,3,4,2,6,3,6,6,56,1649517
6,1.05,-0.2,0.25,0.492442890089805,2,3,2,5,2,6,6,46,1207811
6,1.05,0.2,0.25,0.492442890089805,2,3,2,5,2,6,6,46,2121280
2,0.75,-0.2,0.25,0.492442890089805,6,3,1,5,2,6,6,46,1246705
7,0.45,0.8,0.25,0.492442890089805,3,4,2,6,4,6,6,56,1674774
9,-0.45,0.8,0.25,0.492442890089805,3,4,2,6,3,6,6,56,1260033
2,0.7,-0.25,0.269258240356725,0.557086014531156,6,3,1,5,2,6,6,46,1519560
6,1.1,-0.25,0.269258240356725,0.557086014531156,2,3,2,5,2,6,6,46,1809053
6,1.1,0.25,0.269258240356725,0.557086014531156,2,3,2,5,2,6,6,46,1191812
7,0.5,0.85,0.269258240356725,0.557086014531156,3,4,2,6,4,6,6,56,1926098
9,-0.5,0.85,0.269258240356725,0.557086014531156,3,4,2,6,3,6,6,56,1426616
2,0.8,-0.2,0.282842712474619,0.447213595499958,6,3,1,5,2,6,6,46,1105356
2,0.8,0.2,0.282842712474619,0.447213595499958,6,4,2,5,2,6,6,56,1737043
3,-0.2,0.8,0.282842712474619,0.447213595499958,8,6,2,7,4,6,7,56,1497148
3,0.2,0.8,0.282842712474619,0.447213595499958,7,6,2,7,5,6,7,56,2061426
4,-0.8,0.2,0.282842712474619,0.447213595499958,9,5,4,5,2,6,6,56,2173675
6,1,-0.2,0.282842712474619,0.447213595499958,2,3,2,5,2,6,6,46,2072933
6,1,0.2,0.282842712474619,0.447213595499958,2,3,2,5,2,6,6,46,2116552
