seed,contrast,deltaMissionRmse,deltaMinimumSeparation,deltaTotalCost,deltaDataAirtime
16094101,response_no_emergency_minus_protected,0.11528274872686,-0.366981584858517,-0.0228205714285711,-0.239615999999997
16094102,response_no_emergency_minus_protected,0.126372564905792,-0.383680581895361,-0.023405714285714,-0.245759999999997
16094103,response_no_emergency_minus_protected,0.118350970166681,-0.372773815439398,-0.0228205714285712,-0.239615999999997
16094104,response_no_emergency_minus_protected,0.120628131149561,-0.385960602692455,-0.0231131428571426,-0.242687999999997
16094105,response_no_emergency_minus_protected,0.130955673314616,-0.369438181315034,-0.023405714285714,-0.245759999999997
16094106,response_no_emergency_minus_protected,0.116374550904017,-0.372505231207823,-0.0228205714285712,-0.239615999999997
16094107,response_no_emergency_minus_protected,0.0985174567465805,-0.355059647030998,-0.0175542857142855,-0.184319999999998
16094108,response_no_emergency_minus_protected,0.117658129935408,-0.385197631201507,-0.0231131428571426,-0.242687999999997
16094109,response_no_emergency_minus_protected,0.125474894502281,-0.355167706288191,-0.023405714285714,-0.245759999999997
16094110,response_no_emergency_minus_protected,0.119167865848847,-0.356651181648749,-0.023405714285714,-0.245759999999997
16094111,response_no_emergency_minus_protected,0.127833064683978,-0.374350339659813,-0.023405714285714,-0.245759999999997
16094112,response_no_emergency_minus_protected,0.095848141757793,-0.348145941197152,-0.0175542857142855,-0.184319999999998
16094113,response_no_emergency_minus_protected,0.115165553668601,-0.345591598876217,-0.0231131428571426,-0.242687999999997
16094114,response_no_emergency_minus_protected,0.0966690600017383,-0.355816312042347,-0.0175542857142855,-0.184319999999998
16094115,response_no_emergency_minus_protected,0.0938844292843294,-0.338755545225735,-0.0175542857142855,-0.184319999999998
16094116,response_no_emergency_minus_protected,0.12019037336828,-0.363616988649737,-0.023405714285714,-0.245759999999997
16094117,response_no_emergency_minus_protected,0.119398471315095,-0.364585467014536,-0.0231131428571426,-0.242687999999997
16094118,response_no_emergency_minus_protected,0.120414984164213,-0.375919283198277,-0.023405714285714,-0.245759999999997
16094119,response_no_emergency_minus_protected,0.11325794457149,-0.386842052981322,-0.0225279999999997,-0.236543999999997
16094120,response_no_emergency_minus_protected,0.123559270997183,-0.372336600303853,-0.023405714285714,-0.245759999999997
16094101,normal_closure_minus_periodic,0.0483606467672403,-0.0177341695451434,-0.105276952380951,-1.22572799999999
16094102,normal_closure_minus_periodic,0.0422821897009743,-0.0392354793819178,-0.105392761904761,-1.22572799999999
16094103,normal_closure_minus_periodic,0.0458961698633817,-0.0370538117684993,-0.105679238095237,-1.22879999999999
16094104,normal_closure_minus_periodic,0.0446123598144715,-0.0142697679478319,-0.10434438095238,-1.22879999999999
16094105,normal_closure_minus_periodic,0.0408135234869055,-0.0230152441283229,-0.104777142857142,-1.22879999999999
16094106,normal_closure_minus_periodic,0.0428677376688882,-0.0502360318905222,-0.103948190476189,-1.22572799999999
16094107,normal_closure_minus_periodic,0.0446218854909235,-0.0196535130504898,-0.106538666666665,-1.22879999999999
16094108,normal_closure_minus_periodic,0.0491783925922388,-0.0169207891158258,-0.105020952380951,-1.22879999999999
16094109,normal_closure_minus_periodic,0.044882144904605,-0.0413335411722324,-0.105849904761903,-1.22572799999999
16094110,normal_closure_minus_periodic,0.047378109689577,-0.0478617680348115,-0.10498438095238,-1.22879999999999
16094111,normal_closure_minus_periodic,0.0422365122038169,-0.0327137015526096,-0.10498438095238,-1.22879999999999
16094112,normal_closure_minus_periodic,0.0473031986965084,-0.0292465119616374,-0.106898285714284,-1.22879999999999
16094113,normal_closure_minus_periodic,0.053918440522001,-0.0355245826396304,-0.10576457142857,-1.22879999999999
16094114,normal_closure_minus_periodic,0.0397272300867535,-0.006778804983127,-0.105971809523808,-1.22879999999999
16094115,normal_closure_minus_periodic,0.04368708572039,-0.0259502602642643,-0.105801142857142,-1.22879999999999
16094116,normal_closure_minus_periodic,0.0450326034080942,-0.0375875506697334,-0.104886857142856,-1.22572799999999
16094117,normal_closure_minus_periodic,0.0411897490285378,-0.020048245252227,-0.105959619047618,-1.22879999999999
16094118,normal_closure_minus_periodic,0.0497530817864373,-0.0228447897647825,-0.105983999999999,-1.22572799999999
16094119,normal_closure_minus_periodic,0.0496193196739331,-0.0158758433251263,-0.104582095238094,-1.22572799999999
16094120,normal_closure_minus_periodic,0.0413149648304938,-0.0327420180846194,-0.105069714285713,-1.22572799999999
