interferenceRadius,trackingRadius,nSeeds,validSeeds,meanAffected,maxPrepareBytes,maxResponseBytes
0.25,0.02,5,0,1,36,26
0.25,0.04,5,0,1,36,26
0.25,0.06,5,0,1,36,26
0.25,0.08,5,0,1,36,26
0.25,0.1,5,0,1,36,26
0.3,0.02,5,0,1,36,26
0.3,0.04,5,0,1,36,26
0.3,0.06,5,0,1,36,26
0.3,0.08,5,0,1,36,26
0.3,0.1,5,0,1,36,26
0.35,0.02,5,0,1,36,26
0.35,0.04,5,0,1,36,26
0.35,0.06,5,0,1,36,26
0.35,0.08,5,0,1,36,26
0.35,0.1,5,0,1,36,26
0.4,0.02,5,0,1,36,26
0.4,0.04,5,0,1,36,26
0.4,0.06,5,0,1,36,26
0.4,0.08,5,0,2.2,48,56
0.4,0.1,5,0,1,36,36
0.45,0.02,5,0,1,36,26
0.45,0.04,5,0,1,36,26
0.45,0.06,5,0,4,48,56
0.45,0.08,5,0,1,36,36
0.45,0.1,5,0,1,36,36
0.5,0.02,5,0,1,36,26
0.5,0.04,5,0,2.8,48,56
0.5,0.06,5,0,1,36,36
0.5,0.08,5,0,1,36,36
0.5,0.1,5,0,1,36,36
0.55,0.02,5,0,1,36,36
0.55,0.04,5,0,1,36,36
0.55,0.06,5,0,1,36,36
0.55,0.08,5,0,1,36,36
0.55,0.1,5,0,1,36,36
