seed,contrast,deltaMissionRmse,deltaMinimumSeparation,deltaTotalCost,deltaDataAirtime
16094201,response_no_emergency_minus_protected,0.111896299867488,-0.363706052683284,-0.0228205714285711,-0.239615999999997
16094202,response_no_emergency_minus_protected,0.127569305653745,-0.376897987712449,-0.023405714285714,-0.245759999999997
16094203,response_no_emergency_minus_protected,0.12226160005333,-0.37093568779195,-0.023405714285714,-0.245759999999997
16094204,response_no_emergency_minus_protected,0.11439971864804,-0.3724950662289,-0.0228205714285712,-0.239615999999997
16094205,response_no_emergency_minus_protected,0.122346679515227,-0.378265887434909,-0.023405714285714,-0.245759999999997
16094206,response_no_emergency_minus_protected,0.116880872765857,-0.371279903627647,-0.0228205714285712,-0.239615999999997
16094207,response_no_emergency_minus_protected,0.122712654368238,-0.373822570781106,-0.023405714285714,-0.245759999999997
16094208,response_no_emergency_minus_protected,0.124973752170728,-0.389914468777619,-0.023405714285714,-0.245759999999997
16094209,response_no_emergency_minus_protected,0.122552388498708,-0.350487489770739,-0.023405714285714,-0.245759999999997
16094210,response_no_emergency_minus_protected,0.10856077805866,-0.349685975581369,-0.0225279999999997,-0.236543999999997
16094211,response_no_emergency_minus_protected,0.125491918166991,-0.382100813160674,-0.023405714285714,-0.245759999999997
16094212,response_no_emergency_minus_protected,0.11947610571872,-0.373990983439571,-0.023405714285714,-0.245759999999997
16094213,response_no_emergency_minus_protected,0.118235529164171,-0.367239124989704,-0.023405714285714,-0.245759999999997
16094214,response_no_emergency_minus_protected,0.122640633332248,-0.396656035188326,-0.023405714285714,-0.245759999999997
16094215,response_no_emergency_minus_protected,0.121135265164092,-0.377518451172214,-0.0228205714285712,-0.239615999999997
16094216,response_no_emergency_minus_protected,0.0920321230694619,-0.331761403171239,-0.0175542857142855,-0.184319999999998
16094217,response_no_emergency_minus_protected,0.116832655627215,-0.370706659015271,-0.0231131428571426,-0.242687999999997
16094218,response_no_emergency_minus_protected,0.0906355527673749,-0.340111522069203,-0.0175542857142855,-0.184319999999998
16094219,response_no_emergency_minus_protected,0.124534224477961,-0.383643843568539,-0.023405714285714,-0.245759999999997
16094220,response_no_emergency_minus_protected,0.113019304328048,-0.354952315667053,-0.0228205714285712,-0.239615999999997
16094221,response_no_emergency_minus_protected,0.11817690804096,-0.367370859169391,-0.023405714285714,-0.245759999999997
16094222,response_no_emergency_minus_protected,0.0947369872114091,-0.324976291667934,-0.0175542857142855,-0.184319999999998
16094223,response_no_emergency_minus_protected,0.120060692097633,-0.389751663765752,-0.023405714285714,-0.245759999999997
16094224,response_no_emergency_minus_protected,0.123532644326441,-0.363435255712989,-0.023405714285714,-0.245759999999997
16094225,response_no_emergency_minus_protected,0.135708947688052,-0.366500096719139,-0.023405714285714,-0.245759999999997
16094226,response_no_emergency_minus_protected,0.111417897293601,-0.35345634098378,-0.0228205714285712,-0.239615999999997
16094227,response_no_emergency_minus_protected,0.121354050775758,-0.38150302759529,-0.0231131428571426,-0.242687999999997
16094228,response_no_emergency_minus_protected,0.127610208844093,-0.390306694992879,-0.0228205714285712,-0.239615999999997
16094229,response_no_emergency_minus_protected,0.117702197548643,-0.372711779680471,-0.0231131428571426,-0.242687999999997
16094230,response_no_emergency_minus_protected,0.121552281606395,-0.355461793387139,-0.023405714285714,-0.245759999999997
16094231,response_no_emergency_minus_protected,0.0965885944782237,-0.341501712698159,-0.0175542857142855,-0.184319999999998
16094232,response_no_emergency_minus_protected,0.114547260566432,-0.363486707574002,-0.0228205714285712,-0.239615999999997
16094233,response_no_emergency_minus_protected,0.0892711632584913,-0.342642143038623,-0.0175542857142855,-0.184319999999998
16094234,response_no_emergency_minus_protected,0.116884711556043,-0.366675107400069,-0.0231131428571426,-0.242687999999997
