arm,kind,fault,seed,traceHash,decisionStateHash,finalDecisionStateHash,decisionStateMaxDifference,geometryHash,selectorHash,kernelTraceHash,kernelStateHash,scheduleHash,prefixScheduleHash,probePrefixScheduleHash,prefixStateExact,graphAdmissible,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,candidateProper,prepareBytes,maxResponseBytes,protectedSlotFree,barrierClosed,motionAuthorized,graphActivationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,motionStartSec,motionLatencySec,motionGateExact,capsuleMaximumRatio,capsuleBoundSatisfied,criticalCapsuleMaximumRatio,criticalCapsuleBoundSatisfied,criticalCapsulePairChecks,criticalRadialMaximumRatio,criticalRadialBoundSatisfied,minimumOmittedEdgeMargin,radialConstructionPremise,radialTheoremCertified,maxCommandPairDeviation,maxLeaderPairDeviation,maxOtherPairDeviation,actualPhysicalSubset,actualSenderSubset,actualSubsetCheckSamples,emergencyEnabled,emergencyParallelMode,emergencyMappingExact,emergencySuppressedDemand,emergencyOpportunities,emergencyMinimumNodeOpportunities,emergencyMaximumNodeOpportunities,emergencyRecipientSuccess,emergencyRecipientErasure,emergencyRecipientCollision,kernelCollisionFrames,expectedCollisionRecipients,observedCollisionFrames,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,expectedDataSuccess,observedDataSuccess,expectedDataErasure,observedDataErasure,controlAttempts,expectedControlAttempts,controlBytes,controlAirtime,expectedControlAirtime,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,RMSE,MISSION_RMSE,MINSEP,SAFEFAIL,DIVERGED,DATA_AIRTIME,MANAGEMENT_AIRTIME,TOTAL_COST
periodic-iid20,periodic,none,16094201,1352252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.097883109834986,0.0948450188412682,1.05853072266199,0,0,2.70028799999998,0,0.257170285714283
closure-iid20-emergency,closure,none,16094201,1352252,13178680,13178680,0,1535797,610566,18781653755,50935325,657373770,303319646,303319646,1,1,3,1,4,1,1,48,56,1,1,1,35,1,1,4,0,0,0,7.30986998967959,1.30986998967959,1,0.905769995830578,1,0.905769995830578,1,9398,0.77198490222441,1,0.16235662059025,1,1,0.113676848322247,0.190211699124421,0.0856834521808106,1,1,226,1,1,1,38,38,8,10,59,17,0,0,0,0,0,0,0,992,992,256,256,116,116,3902,0.124864,0.124864,1,1.11022302462516e-16,0,0,0.144453408840419,0.146950843508274,1.03277534384793,0,0,1.47455999999999,0.124864,0.152326095238094
closure-response-blackout-emergency,closure,response-blackout,16094201,1352252,13178680,13178680,0,1535797,610566,18534257263,50100363,657283969,303319646,303319646,1,1,3,1,4,1,1,48,56,1,1,1,35,0,0,0,4,0,0,7.30986998967959,1.30986998967959,1,0.900301567780584,1,0.900301567780584,1,9398,0.777180689169081,1,0.163219405110464,1,1,0.112914447022643,0.189063329233923,0.0847367535105209,1,1,226,1,1,1,78,78,18,20,126,30,0,0,0,0,0,0,0,997,997,251,251,200,200,7864,0.251648,0.251648,1,1.11022302462516e-16,0,0,0.143756085628852,0.146184061994455,1.03176151925681,0,0,1.47455999999999,0.251648,0.164400761904761
closure-response-blackout-no-emergency,closure,response-blackout,16094201,1352252,13178680,13178680,0,1535797,610566,18534257263,50100363,487738093,303319646,303319646,1,1,3,1,4,1,1,48,56,1,1,1,35,0,0,0,4,0,0,7.30986998967959,1.30986998967959,1,4.49437390549783,0,4.49437390549783,0,9398,3.3081832878132,0,0.0802389194529665,1,0,0.296144600457917,0.539481576255569,0.494381129604761,1,1,226,0,0,1,78,0,0,0,0,0,0,0,0,0,0,0,0,871,871,221,221,200,200,7864,0.251648,0.251648,1,1.11022302462516e-16,0,0,0.247207460033813,0.258080361861943,0.668055466573529,0,0,1.23494399999999,0.251648,0.14158019047619
closure-prepare-blackout-emergency,closure,prepare-blackout,16094201,1352252,13178680,13178680,0,1535797,610566,18758631994,49668639,656943512,303319646,303319646,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.903558900031192,1,0.903558900031192,1,9718,0.777166394819823,1,0.138767016034396,1,1,0.0997848464549353,0.18974736900655,0.0847131672124632,1,1,226,1,1,1,60,60,0,20,97,23,0,0,0,0,0,0,0,998,998,250,250,21,21,696,0.022272,0.022272,1,1.11022302462516e-16,0,0,0.14042653936375,0.149260534245386,1.06747536967738,0,0,1.47455999999999,0.022272,0.142555428571428
closure-commit-blackout-emergency,closure,commit-blackout,16094201,1352252,13178680,13178680,0,1535797,610566,18713876504,51510930,657344756,303319646,303319646,1,1,3,1,4,1,1,48,56,1,1,1,35,1,0,1,3,0,1,7.30986998967959,1.30986998967959,1,0.900056909517559,1,0.900056909517559,1,9398,0.777177136222413,1,0.163219405110464,1,1,0.113566334472744,0.189011950998687,0.0847217124417309,1,1,226,1,1,1,68,68,10,20,110,26,0,0,0,0,0,0,0,997,997,251,251,121,121,4042,0.129344,0.129344,1,1.11022302462516e-16,0,0,0.143864633955046,0.146304801533439,1.03154744937923,0,0,1.47455999999999,0.129344,0.152752761904761
periodic-iid20,periodic,none,16094202,1157587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0999837063296133,0.0969369408104062,1.05501823333667,0,0,2.70028799999998,0,0.257170285714283
closure-iid20-emergency,closure,none,16094202,1157587,13293337,13293337,0,982222,610566,18747748322,51747648,656656739,303361646,303361646,1,1,3,1,4,1,1,48,56,1,1,1,32,1,1,4,0,0,0,6.66488146117845,0.664881461178446,1,0.957453005230441,1,0.957453005230441,1,9334,0.738223129404181,1,0.18759950754701,1,1,0.126435730217255,0.201065131098393,0.0972899367907771,1,1,226,1,1,1,37,37,9,10,56,18,0,0,0,0,0,0,0,1008,1008,240,240,121,121,4356,0.139392,0.139392,1,8.88178419700125e-16,0,0,0.137151615699311,0.13585819706283,1.04515388220123,0,0,1.47455999999999,0.139392,0.153709714285713
closure-response-blackout-emergency,closure,response-blackout,16094202,1157587,13293337,13293337,0,982222,610566,18500351830,50314272,656967515,303361646,303361646,1,1,3,1,4,1,1,48,56,1,1,1,32,0,0,0,4,0,0,6.66488146117845,0.664881461178446,1,0.955152960180246,1,0.955152960180246,1,9334,0.736633507921701,1,0.18759950754701,1,1,0.12440067040273,0.200582121637852,0.0968745587628848,1,1,226,1,1,1,80,80,20,20,130,30,0,0,0,0,0,0,0,1013,1013,235,235,194,194,7632,0.244224,0.244224,1,8.88178419700125e-16,0,0,0.137146703255783,0.135851409357763,1.04206886456794,0,0,1.47455999999999,0.244224,0.163693714285713
closure-response-blackout-no-emergency,closure,response-blackout,16094202,1157587,13293337,13293337,0,982222,610566,18500351830,50314272,483770351,303361646,303361646,1,1,3,1,4,1,1,48,56,1,1,1,32,0,0,0,4,0,0,6.66488146117845,0.664881461178446,1,4.86191673693602,0,4.86191673693602,0,9334,3.65653673984698,0,0.048424992724867,1,0,0.321979533458778,0.564256847401153,0.534810841062962,1,1,226,0,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0,883,883,205,205,194,194,7632,0.244224,0.244224,1,8.88178419700125e-16,0,0,0.254027449429164,0.263420715011508,0.665170876855495,0,0,1.22879999999999,0.244224,0.140287999999999
