arm,kind,fault,seed,traceHash,decisionStateHash,finalDecisionStateHash,decisionStateMaxDifference,geometryHash,selectorHash,kernelTraceHash,kernelStateHash,scheduleHash,prefixScheduleHash,probePrefixScheduleHash,prefixStateExact,graphAdmissible,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,candidateProper,prepareBytes,maxResponseBytes,protectedSlotFree,barrierClosed,motionAuthorized,graphActivationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,motionStartSec,motionLatencySec,motionGateExact,capsuleMaximumRatio,capsuleBoundSatisfied,criticalCapsuleMaximumRatio,criticalCapsuleBoundSatisfied,criticalCapsulePairChecks,criticalRadialMaximumRatio,criticalRadialBoundSatisfied,minimumOmittedEdgeMargin,radialConstructionPremise,radialTheoremCertified,reliabilityCertificateHash,transactionHorizonFeasible,transactionFailureUpperBound,completionProbabilityLowerBound,prepareFailureUpperBound,evidenceFailureUpperBound,responseFailureUpperBound,commitFailureUpperBound,maxCommandPairDeviation,maxLeaderPairDeviation,maxOtherPairDeviation,maxCommandPairRadialContraction,maxLeaderPairRadialContraction,maxOtherPairRadialContraction,actualPhysicalSubset,actualSenderSubset,actualSubsetCheckSamples,emergencyEnabled,emergencyParallelMode,emergencyMappingExact,emergencySuppressedDemand,emergencyOpportunities,emergencyMinimumNodeOpportunities,emergencyMaximumNodeOpportunities,emergencyRecipientSuccess,emergencyRecipientErasure,emergencyRecipientCollision,kernelCollisionFrames,expectedCollisionRecipients,observedCollisionFrames,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,expectedDataSuccess,observedDataSuccess,expectedDataErasure,observedDataErasure,controlAttempts,expectedControlAttempts,controlBytes,controlAirtime,expectedControlAirtime,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,RMSE,MISSION_RMSE,MINSEP,SAFEFAIL,DIVERGED,DATA_AIRTIME,MANAGEMENT_AIRTIME,TOTAL_COST
closure-iid20-emergency,closure,none,16094201,1352252,11235906,11235906,0,1200346,628428,18772723107,55217219,656949294,139573278,139573278,1,1,4,2,5,4,1,52,56,1,1,1,22,1,1,5,0,0,0,4.51491969950798,0.514919699507979,1,1.06766780486273,0,1.06766780486273,0,13744,0.962409163811782,1,0.0995704081786637,1,1,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.118629667394763,0.224210239021174,0.103497001242158,0.0828944470754926,0.202105924400474,0.0753102205798175,1,1,326,1,1,1,39,39,7,8,70,16,0,0,0,0,0,0,0,1001,1001,247,247,127,127,4768,0.152576,0.152576,1,1.11022302462516e-16,0,0,0.150981954624889,0.153947182563173,1.01833412426606,0,0,1.47455999999999,0.152576,0.154965333333332
closure-response-blackout-emergency,closure,response-blackout,16094201,1352252,11235906,11235906,0,1200346,628428,18531667405,52647738,656701801,139573278,139573278,1,1,4,2,5,4,1,52,56,1,1,1,22,0,0,0,5,0,0,4.51491969950798,0.514919699507979,1,1.07231907773891,0,1.07231907773891,0,13744,0.962962709828599,1,0.0979744166319976,1,1,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.118075959406758,0.225187006325172,0.103476935134399,0.0841880222979126,0.202222169064006,0.0604917099825415,1,1,326,1,1,1,144,144,28,29,252,65,0,0,0,0,0,0,0,992,992,256,256,304,304,13708,0.438655999999998,0.438656,1,1.11022302462516e-16,0,0,0.150357441564228,0.153286152042817,1.01638362362946,0,0,1.47455999999999,0.438655999999998,0.182211047619046
closure-response-blackout-no-emergency,closure,response-blackout,16094201,1352252,11235906,11235906,0,1200346,628428,18531667405,52647738,398603136,139573278,139573278,1,1,4,2,5,4,1,52,56,1,1,1,22,0,0,0,5,0,0,4.51491969950798,0.514919699507979,1,7.10992947970751,0,7.10992947970751,0,13744,6.22872743584181,0,-0.199012000689165,1,0,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.473119057930236,0.868056051972824,0.782092242767826,0.230587946592571,0.687058509926477,0.685160017942599,0,0,326,0,0,1,144,0,0,0,0,0,0,0,0,0,0,0,0,740,740,191,191,304,304,13708,0.438655999999998,0.438656,1,1.11022302462516e-16,0,0,0.40024941090671,0.414392392377787,0.770987999310835,0,0,1.032192,0.438655999999998,0.140080761904761
closure-prepare-blackout-emergency,closure,prepare-blackout,16094201,1352252,11235906,11235906,0,1200346,628428,18749701346,52475012,657394829,139573278,139573278,1,1,4,2,5,4,1,52,56,1,0,0,NaN,0,0,0,4,1,0,NaN,NaN,1,1.07246809101113,0,1.07246809101113,0,14344,0.962909678171101,1,0.0972611737595706,1,1,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.118592651977394,0.225218299112337,0.103572626605129,0.0841279302233637,0.202211032415931,0.0661907116223261,1,1,326,1,1,1,115,115,0,29,205,54,0,0,0,0,0,0,0,994,994,254,254,10,10,436,0.013952,0.013952,1,1.11022302462516e-16,0,0,0.146807178433504,0.161039203072601,1.06726117375957,0,0,1.47455999999999,0.013952,0.141763047619047
closure-commit-blackout-emergency,closure,commit-blackout,16094201,1352252,11235906,11235906,0,1200346,628428,18680699154,54833453,657650188,139573278,139573278,1,1,4,2,5,4,1,52,56,1,1,1,22,1,0,1,4,0,1,4.51491969950798,0.514919699507979,1,1.07121432657125,0,1.07121432657125,0,13744,0.962942517733469,1,0.101427967356537,1,1,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.117629265640371,0.224955008579963,0.103404278484465,0.0837990755831641,0.202217928724028,0.0621798847473367,1,1,326,1,1,1,123,123,8,29,218,57,0,0,0,0,0,0,0,994,994,254,254,132,132,4908,0.157056,0.157056,1,1.11022302462516e-16,0,0,0.149962328954214,0.152868756252879,1.01494362809701,0,0,1.47455999999999,0.157056,0.155391999999999
closure-iid20-emergency,closure,none,16094202,1157587,15932985,15932985,0,1346099,628428,18738817674,54625123,656562629,139601778,139601778,1,1,4,2,5,4,1,52,56,1,1,1,23,1,1,5,0,0,0,4.72991587567503,0.729915875675026,1,0.958182634282606,1,0.958182634282606,1,13766,0.90257945872283,1,0.102490295063857,1,1,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.113622657325063,0.201218353199347,0.088564429637319,0.0774194465242164,0.189541686331794,0.0544759074990564,1,1,326,1,1,1,33,33,5,7,53,20,0,0,0,0,0,0,0,999,999,249,249,116,116,4074,0.130368,0.130368,1,8.88178419700125e-16,0,0,0.146288646533212,0.149615742647625,1.02632855343583,0,0,1.47455999999999,0.130368,0.152850285714285
closure-response-blackout-emergency,closure,response-blackout,16094202,1157587,15932985,15932985,0,1346099,628428,18497761972,53286630,656651947,139601778,139601778,1,1,4,2,5,4,1,52,56,1,1,1,23,0,0,0,5,0,0,4.72991587567503,0.729915875675026,1,0.959259059112969,1,0.959259059112969,1,13766,0.90333924081739,1,0.10719742156191,1,1,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.114007549763354,0.201444402413723,0.0878335103834182,0.0761768130417251,0.189701240571652,0.051291805732735,1,1,326,1,1,1,143,143,27,29,237,78,0,0,0,0,0,0,0,988,988,260,260,309,309,13880,0.444159999999998,0.44416,1,8.88178419700125e-16,0,0,0.146582149344407,0.149932326849415,1.02603644337777,0,0,1.47455999999999,0.444159999999998,0.182735238095237
closure-response-blackout-no-emergency,closure,response-blackout,16094202,1157587,15932985,15932985,0,1346099,628428,18497761972,53286630,398933488,139601778,139601778,1,1,4,2,5,4,1,52,56,1,1,1,23,0,0,0,5,0,0,4.72991587567503,0.729915875675026,1,7.13241115809532,0,7.13241115809532,0,13766,6.18290734851974,0,-0.208192491744112,1,0,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.473148303293044,0.855880587072191,0.784565227390485,0.228322751943998,0.700291552929432,0.680119808337171,0,0,326,0,0,1,143,0,0,0,0,0,0,0,0,0,0,0,0,751,751,182,182,309,309,13880,0.444159999999998,0.44416,1,8.88178419700125e-16,0,0,0.39128190124775,0.405352066665733,0.761807508255888,0,0,1.035264,0.444159999999998,0.140897523809523
closure-prepare-blackout-emergency,closure,prepare-blackout,16094202,1157587,15932985,15932985,0,1346099,628428,18719120654,52560989,657155075,139601778,139601778,1,1,4,2,5,4,1,52,56,1,0,0,NaN,0,0,0,4,1,0,NaN,NaN,1,0.962141009492337,1,0.962141009492337,1,14344,0.903515047322618,1,0.103912730353552,1,1,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.115194354447047,0.202049611993391,0.0879440408113682,0.0750994903300148,0.18973815993775,0.0512101411465875,1,1,326,1,1,1,114,114,0,29,192,65,0,0,0,0,0,0,0,990,990,258,258,11,11,460,0.01472,0.01472,1,4.44089209850063e-16,0,0,0.142595771427912,0.157034248270866,1.07391273035355,0,0,1.47455999999999,0.01472,0.14183619047619
closure-commit-blackout-emergency,closure,commit-blackout,16094202,1157587,15932985,15932985,0,1346099,628428,18639930207,55296014,656435492,139601778,139601778,1,1,4,2,5,4,1,52,56,1,1,1,23,1,0,1,4,0,1,4.72991587567503,0.729915875675026,1,0.960106164169802,1,0.960106164169802,1,13766,0.903357599202127,1,0.102580789911054,1,1,4697041,1,0.000957440425984,0.999042559574016,0.00033792,8.1920425984e-05,0.0002816,0.000256,0.113478938633694,0.201622294475658,0.087897103305399,0.0760230021518693,0.189705095832447,0.0512533045773835,1,1,326,1,1,1,121,121,7,29,201,70,0,0,0,0,0,0,0,982,982,266,266,121,121,4214,0.134848,0.134848,1,8.88178419700125e-16,0,0,0.146885938259296,0.150250448390679,1.02593232914741,0,0,1.47455999999999,0.134848,0.153276952380951
