seed,contrast,deltaMissionRmse,deltaMinimumSeparation,deltaTotalCost,deltaDataAirtime
16094301,response_no_emergency_minus_protected,0.208043917909648,-0.258786571503571,-0.0333531428571424,-0.350207999999996
16094302,response_no_emergency_minus_protected,0.235459853754262,-0.241767361629542,-0.0339382857142853,-0.356351999999996
16094303,response_no_emergency_minus_protected,0.235470283979736,-0.265600271615378,-0.0339382857142853,-0.356351999999996
16094304,response_no_emergency_minus_protected,0.233312841646268,-0.260234845883027,-0.0336457142857139,-0.353279999999996
16094305,response_no_emergency_minus_protected,0.217776781521901,-0.258348384366014,-0.0333531428571425,-0.350207999999996
16094306,response_no_emergency_minus_protected,0.22304018736909,-0.25992382368232,-0.033060571428571,-0.347135999999996
16094307,response_no_emergency_minus_protected,0.229798657584511,-0.279848646777317,-0.0336457142857139,-0.353279999999996
16094308,response_no_emergency_minus_protected,0.232220578116974,-0.241301356384438,-0.0339382857142853,-0.356351999999996
16094309,response_no_emergency_minus_protected,0.209920612900432,-0.253800547703138,-0.033060571428571,-0.347135999999996
16094310,response_no_emergency_minus_protected,0.172488900193756,-0.28692363269189,-0.025453714285714,-0.267263999999997
16094311,response_no_emergency_minus_protected,0.227783348475118,-0.256945519995962,-0.0339382857142853,-0.356351999999996
16094312,response_no_emergency_minus_protected,0.224686994134281,-0.264293040522235,-0.0336457142857139,-0.353279999999996
16094313,response_no_emergency_minus_protected,0.222372888028313,-0.266130021126493,-0.0336457142857139,-0.353279999999996
16094314,response_no_emergency_minus_protected,0.219623146070062,-0.272778238649716,-0.0336457142857139,-0.353279999999996
16094315,response_no_emergency_minus_protected,0.230876394752054,-0.255080381227858,-0.0333531428571425,-0.350207999999996
16094316,response_no_emergency_minus_protected,0.223752858968599,-0.241134599801513,-0.0336457142857139,-0.353279999999996
16094317,response_no_emergency_minus_protected,0.216240560996,-0.276795844621166,-0.0333531428571424,-0.350207999999996
16094318,response_no_emergency_minus_protected,0.228955491834862,-0.249147725700902,-0.0339382857142853,-0.356351999999996
16094319,response_no_emergency_minus_protected,0.229329504911085,-0.246153303637358,-0.0339382857142853,-0.356351999999996
16094320,response_no_emergency_minus_protected,0.233141624490109,-0.257492717461985,-0.0336457142857139,-0.353279999999996
16094321,response_no_emergency_minus_protected,0.178733643281295,-0.282930337239371,-0.025453714285714,-0.267263999999997
16094322,response_no_emergency_minus_protected,0.21906634246284,-0.254097685860697,-0.0336457142857139,-0.353279999999996
16094323,response_no_emergency_minus_protected,0.197005518413774,-0.293772313488077,-0.0324754285714282,-0.340991999999996
16094324,response_no_emergency_minus_protected,0.22495920344922,-0.22971632809409,-0.0333531428571424,-0.350207999999996
