arm,kind,fault,seed,traceHash,decisionStateHash,finalDecisionStateHash,decisionStateMaxDifference,geometryHash,selectorHash,kernelTraceHash,kernelStateHash,kernelVersionHash,scheduleHash,prefixScheduleHash,probePrefixScheduleHash,prefixStateExact,graphAdmissible,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,candidateProper,prepareBytes,maxResponseBytes,protectedSlotFree,barrierClosed,motionAuthorized,graphActivationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,motionStartSec,motionLatencySec,motionGateExact,capsuleMaximumRatio,capsuleBoundSatisfied,criticalCapsuleMaximumRatio,criticalCapsuleBoundSatisfied,criticalCapsulePairChecks,criticalRadialMaximumRatio,criticalRadialBoundSatisfied,minimumOmittedEdgeMargin,radialConstructionPremise,radialTheoremCertified,reliabilityCertificateHash,transactionHorizonFeasible,transactionFailureUpperBound,completionProbabilityLowerBound,prepareFailureUpperBound,evidenceFailureUpperBound,responseFailureUpperBound,commitFailureUpperBound,kernelActualSubsetOld,kernelActualSubsetUnion,kernelFinalColoringProper,prematureActivationFrames,controlAttemptBoundRatio,controlByteBoundRatio,prepareAttempts,quietAttempts,claimAttempts,responseAttempts,commitAttempts,maxCommandPairDeviation,maxLeaderPairDeviation,maxOtherPairDeviation,maxCommandPairRadialContraction,maxLeaderPairRadialContraction,maxOtherPairRadialContraction,actualPhysicalSubset,actualSenderSubset,actualSubsetCheckSamples,emergencyEnabled,emergencyParallelMode,emergencyMappingExact,emergencySuppressedDemand,emergencyOpportunities,emergencyMinimumNodeOpportunities,emergencyMaximumNodeOpportunities,emergencyRecipientSuccess,emergencyRecipientErasure,emergencyRecipientCollision,kernelCollisionFrames,expectedCollisionRecipients,observedCollisionFrames,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,expectedDataSuccess,observedDataSuccess,expectedDataErasure,observedDataErasure,controlAttempts,expectedControlAttempts,controlBytes,controlAirtime,expectedControlAirtime,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,RMSE,MISSION_RMSE,MINSEP,SAFEFAIL,DIVERGED,DATA_AIRTIME,MANAGEMENT_AIRTIME,TOTAL_COST
periodic-iid20,periodic,none,16094301,1016107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.109282813491403,0.109845210845187,1.05603911522048,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094301,1016107,12532064,12532064,0,836423,610566,18696581453,52377292,46949,656777625,139615078,139615078,1,1,3,1,4,1,1,48,56,1,1,1,23,1,1,4,0,0,0,4.72991587567503,0.729915875675026,1,0.941134887548008,1,0.941134887548008,1,13440,0.844490126636561,1,0.166255144899372,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.413173652694611,0.356840414659074,3,4,20,20,1,0.133327717672512,0.216461024136042,0.100529909434672,0.0753115898645875,0.194232729126409,0.0624026679619321,1,1,326,1,1,1,34,34,7,9,49,19,0,0,0,0,0,0,0,989,989,259,259,138,138,4888,0.156416,0.156416,1,8.88178419700125e-16,0,0,0.149927552341837,0.151484850456888,1.02256722909349,0,0,1.47455999999999,0.156416,0.155331047619047
closure-response-blackout-emergency,closure,response-blackout,16094301,1016107,12532064,12532064,0,836423,610566,18449184961,50562142,46949,656758431,139615078,139615078,1,1,3,1,4,1,1,48,56,1,1,1,23,0,0,0,4,0,0,4.72991587567503,0.729915875675026,1,0.931697210521246,1,0.931697210521246,1,13440,0.845068406185964,1,0.166255144899372,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.913173652694611,0.932106876916338,3,4,60,148,0,0.129082470104463,0.214290358419887,0.10061591749814,0.0774210970811935,0.194365733422772,0.0624026679619321,1,1,326,1,1,1,114,114,27,29,176,52,0,0,0,0,0,0,0,990,990,258,258,305,305,12768,0.408575999999999,0.408576,1,8.88178419700125e-16,0,0,0.149846122281145,0.151398649953417,1.02285312157914,0,0,1.47455999999999,0.408575999999999,0.179346285714285
closure-response-blackout-no-emergency,closure,response-blackout,16094301,1016107,12532064,12532064,0,836423,610566,18449184961,50562142,46949,433258929,139615078,139615078,1,1,3,1,4,1,1,48,56,1,1,1,23,0,0,0,4,0,0,4.72991587567503,0.729915875675026,1,7.35333276796844,0,7.35333276796844,0,13440,6.39157938975295,0,-0.107762315603919,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.913173652694611,0.932106876916338,3,4,60,148,0,0.48744818136147,0.885499022759527,0.808866604476528,0.225984235578181,0.418854354580571,0.703073732872825,0,0,326,0,0,1,114,0,0,0,0,0,0,0,0,0,0,0,0,814,814,206,206,305,305,12768,0.408575999999999,0.408576,1,8.88178419700125e-16,0,0,0.34793315901344,0.359442567863065,0.76406655007557,0,0,1.12435199999999,0.408575999999999,0.145993142857142
closure-prepare-blackout-emergency,closure,prepare-blackout,16094301,1016107,12532064,12532064,0,836423,610566,18670616340,49743697,46949,657494361,139615078,139615078,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.933063655346712,1,0.933063655346712,1,14018,0.845160457327566,1,0.146169302834368,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.029940119760479,0.0297853701270258,7,3,0,0,0,0.132816449651286,0.214604640729744,0.0960257637690554,0.0781572035797267,0.19438690518534,0.0622951569068748,1,1,326,1,1,1,85,85,0,29,127,43,0,0,0,0,0,0,0,987,987,261,261,10,10,408,0.013056,0.013056,1,4.44089209850063e-16,0,0,0.146099517930838,0.15890945168669,1.05500177039726,0,0,1.47455999999999,0.013056,0.141677714285713
closure-commit-blackout-emergency,closure,commit-blackout,16094301,1016107,12532064,12532064,0,836423,610566,18620028322,51957199,46949,657665820,139615078,139615078,1,1,3,1,4,1,1,48,56,1,1,1,23,1,0,1,3,0,1,4.72991587567503,0.729915875675026,1,0.933341695703135,1,0.931542571946675,1,13440,0.845067106761436,1,0.166255144899372,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.42814371257485,0.367060884800701,3,4,20,20,6,0.130424878952779,0.214668590011721,0.100541541305865,0.0764347499250051,0.19436543455513,0.0624026679619321,1,1,326,1,1,1,94,94,9,29,145,43,0,0,0,0,0,0,0,991,991,257,257,143,143,5028,0.160896,0.160896,1,8.88178419700125e-16,0,0,0.14938497580955,0.150907068018418,1.0221334285744,0,0,1.47455999999999,0.160896,0.155757714285713
periodic-iid20,periodic,none,16094302,1173975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.109013361560172,0.109557330588321,1.06422652172088,0,0,2.70335999999998,0,0.257462857142855
closure-iid20-emergency,closure,none,16094302,1173975,14810000,14810000,0,2044134,610566,18731466267,51841555,46949,656214119,139596078,139596078,1,1,3,1,4,1,1,48,56,1,1,1,22,1,1,4,0,0,0,4.51491969950798,0.514919699507979,1,1.06340753064597,0,1.06340753064597,0,13418,0.909218920822575,1,0.181235505408947,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.398203592814371,0.344283837056505,2,4,20,16,1,0.14089422919548,0.244583732048574,0.107349312427055,0.0691728676336645,0.209120351789192,0.0605712106994423,1,1,326,1,1,1,32,32,8,8,50,14,0,0,0,0,0,0,0,1000,1000,248,248,133,133,4716,0.150912,0.150912,1,8.88178419700125e-16,0,0,0.151221168810084,0.152667506591752,1.01730098750236,0,0,1.47455999999999,0.150912,0.154806857142856
closure-response-blackout-emergency,closure,response-blackout,16094302,1173975,14810000,14810000,0,2044134,610566,18484069775,50534636,46949,656196834,139596078,139596078,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,1.05533768854599,0,1.05533768854599,0,13418,0.90595801205734,1,0.181235505408947,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.913173652694611,0.931230836618484,2,4,60,149,0,0.140390765865843,0.242727668365578,0.105172177555993,0.0688955309537227,0.208370342773188,0.0588465575571828,1,1,326,1,1,1,116,116,29,29,191,41,0,0,0,0,0,0,0,999,999,249,249,305,305,12756,0.408191999999999,0.408192,1,8.88178419700125e-16,0,0,0.150949636728195,0.152378456372737,1.01906896775271,0,0,1.47455999999999,0.408191999999999,0.179309714285713
closure-response-blackout-no-emergency,closure,response-blackout,16094302,1173975,14810000,14810000,0,2044134,610566,18484069775,50534636,46949,429932932,139596078,139596078,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,7.40777706115874,0,7.40777706115874,0,13418,6.56430053635905,0,-0.105720462979448,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.913173652694611,0.931230836618484,2,4,60,149,0,0.497933344557031,0.879396008107208,0.814855476727462,0.225293276215202,0.448191356913815,0.722073058999495,0,0,326,0,0,1,116,0,0,0,0,0,0,0,0,0,0,0,0,808,808,208,208,305,305,12756,0.408191999999999,0.408192,1,8.88178419700125e-16,0,0,0.375314411277031,0.387838310126999,0.777301606123166,0,0,1.11820799999999,0.408191999999999,0.145371428571428
