arm,kind,fault,seed,traceHash,decisionStateHash,finalDecisionStateHash,decisionStateMaxDifference,geometryHash,selectorHash,kernelTraceHash,kernelStateHash,kernelVersionHash,scheduleHash,prefixScheduleHash,probePrefixScheduleHash,prefixStateExact,graphAdmissible,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,candidateProper,prepareBytes,maxResponseBytes,protectedSlotFree,barrierClosed,motionAuthorized,graphActivationFrame,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,motionStartSec,motionLatencySec,motionGateExact,capsuleMaximumRatio,capsuleBoundSatisfied,criticalCapsuleMaximumRatio,criticalCapsuleBoundSatisfied,criticalCapsulePairChecks,criticalRadialMaximumRatio,criticalRadialBoundSatisfied,minimumOmittedEdgeMargin,radialConstructionPremise,radialTheoremCertified,reliabilityCertificateHash,transactionHorizonFeasible,transactionFailureUpperBound,completionProbabilityLowerBound,prepareFailureUpperBound,evidenceFailureUpperBound,responseFailureUpperBound,commitFailureUpperBound,kernelActualSubsetOld,kernelActualSubsetUnion,kernelFinalColoringProper,prematureActivationFrames,controlAttemptBoundRatio,controlByteBoundRatio,prepareAttempts,quietAttempts,claimAttempts,responseAttempts,commitAttempts,maxCommandPairDeviation,maxLeaderPairDeviation,maxOtherPairDeviation,maxCommandPairRadialContraction,maxLeaderPairRadialContraction,maxOtherPairRadialContraction,actualPhysicalSubset,actualSenderSubset,actualSubsetCheckSamples,emergencyEnabled,emergencyParallelMode,emergencyMappingExact,emergencySuppressedDemand,emergencyOpportunities,emergencyMinimumNodeOpportunities,emergencyMaximumNodeOpportunities,emergencyRecipientSuccess,emergencyRecipientErasure,emergencyRecipientCollision,kernelCollisionFrames,expectedCollisionRecipients,observedCollisionFrames,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,expectedDataSuccess,observedDataSuccess,expectedDataErasure,observedDataErasure,controlAttempts,expectedControlAttempts,controlBytes,observedControlBytes,expectedControlBytes,controlAirtime,expectedControlAirtime,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,RMSE,MISSION_RMSE,MINSEP,SAFEFAIL,DIVERGED,DATA_AIRTIME,MANAGEMENT_AIRTIME,TOTAL_COST
periodic-iid20,periodic,none,16094401,1453231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.109619423204357,0.110135963444857,1.05664598645227,0,0,2.70028799999998,0,0.257170285714283
closure-iid20-emergency,closure,none,16094401,1453231,15049100,15049100,0,1516673,610566,18744957469,52192614,46949,656614585,139586578,139586578,1,1,3,1,4,1,1,48,56,1,1,1,23,1,1,4,0,0,0,4.72991587567503,0.729915875675026,1,0.924461601205725,1,0.924461601205725,1,13440,0.920528637731419,1,0.184930637704348,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.401197604790419,0.331581252737626,3,5,16,17,3,0.157702358794676,0.212626168277317,0.100234101156405,0.0611707784899562,0.211721586678226,0.0666590344041476,1,1,326,1,1,1,35,35,8,10,52,18,0,0,0,0,0,0,0,993,993,255,255,134,134,4542,4542,4542,0.145344,0.145344,1,8.88178419700125e-16,0,0,0.144400577663458,0.146939078377826,1.02059403690929,0,0,1.47455999999999,0.145344,0.15427657142857
closure-response-blackout-emergency,closure,response-blackout,16094401,1453231,15049100,15049100,0,1516673,610566,18497560977,50683740,46949,656285989,139586578,139586578,1,1,3,1,4,1,1,48,56,1,1,1,23,0,0,0,4,0,0,4.72991587567503,0.729915875675026,1,0.90964512834867,1,0.90964512834867,1,13440,0.907125369022579,1,0.184715784140204,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.919161676646707,0.934296977660972,3,5,60,149,0,0.156428351819526,0.209218379520194,0.0940703356981745,0.058819572732657,0.208638834875193,0.065643996999365,1,1,326,1,1,1,116,116,29,29,190,42,0,0,0,0,0,0,0,1010,1010,238,238,307,307,12798,12798,12798,0.409536,0.409536,1,8.88178419700125e-16,0,0,0.142095527929686,0.144499781613045,1.0335719777654,0,0,1.47455999999999,0.409536,0.179437714285713
closure-response-blackout-no-emergency,closure,response-blackout,16094401,1453231,15049100,15049100,0,1516673,610566,18497560977,50683740,46949,429145548,139586578,139586578,1,1,3,1,4,1,1,48,56,1,1,1,23,0,0,0,4,0,0,4.72991587567503,0.729915875675026,1,7.31541230082314,0,7.31541230082314,0,13440,6.42811275429879,0,-0.129824025448888,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.919161676646707,0.934296977660972,3,5,60,149,0,0.491123593664876,0.874622613897765,0.804695353090545,0.228990638212482,0.419990669656065,0.707092402972867,0,0,326,0,0,1,116,0,0,0,0,0,0,0,0,0,0,0,0,820,820,196,196,307,307,12798,12798,12798,0.409536,0.409536,1,8.88178419700125e-16,0,0,0.362138172228225,0.374852682078304,0.780967516638088,0,0,1.11820799999999,0.409536,0.145499428571428
closure-prepare-blackout-emergency,closure,prepare-blackout,16094401,1453231,15049100,15049100,0,1516673,610566,18721172014,49840075,46949,656734426,139586578,139586578,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.909745070172092,1,0.909745070172092,1,14018,0.907216697597642,1,0.154303463522943,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.0329341317365269,0.0315374507227332,7,4,0,0,0,0.157782554157215,0.209241366139581,0.0940121428234223,0.0733809500345475,0.208659840447458,0.0655190810850557,1,1,326,1,1,1,87,87,0,29,144,30,0,0,0,0,0,0,0,1013,1013,235,235,11,11,432,432,432,0.013824,0.013824,1,1.11022302462516e-16,0,0,0.13842875405195,0.151809334037953,1.05121334016747,0,0,1.47455999999999,0.013824,0.141750857142856
closure-commit-blackout-emergency,closure,commit-blackout,16094401,1453231,15049100,15049100,0,1516673,610566,18680064542,52615953,46949,656737743,139586578,139586578,1,1,3,1,4,1,1,48,56,1,1,1,23,1,0,1,3,0,1,4.72991587567503,0.729915875675026,1,0.909638455392123,1,0.909638455392123,1,13440,0.907129902659768,1,0.185678234091706,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.410179640718563,0.337713534822602,3,5,16,17,6,0.156594527831747,0.209216844740188,0.0942287240308813,0.0604687688937902,0.208639877611747,0.0668357140697422,1,1,326,1,1,1,95,95,8,29,155,35,0,0,0,0,0,0,0,1007,1007,241,241,137,137,4626,4626,4626,0.148032,0.148032,1,8.88178419700125e-16,0,0,0.142594880122496,0.145028154169674,1.03467937815752,0,0,1.47455999999999,0.148032,0.15453257142857
periodic-iid20,periodic,none,16094402,407817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.110699232067822,0.111119161462404,1.05348359888768,0,0,2.70028799999998,0,0.257170285714283
closure-iid20-emergency,closure,none,16094402,407817,13112517,13112517,0,1015861,610566,18778423658,51877949,46949,656290042,139573278,139573278,1,1,3,1,4,1,1,48,56,1,1,1,22,1,1,4,0,0,0,4.51491969950798,0.514919699507979,1,0.911710393187176,1,0.911710393187176,1,13418,0.838658463537165,1,0.188917572217394,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.38622754491018,0.324134910205869,2,3,16,17,1,0.116146399915187,0.209693390433051,0.0950574002636009,0.0839044736193815,0.192891446613548,0.0562521371239055,1,1,326,1,1,1,27,27,6,7,50,4,0,0,0,0,0,0,0,1006,1006,242,242,129,129,4440,4440,4440,0.14208,0.14208,1,8.88178419700125e-16,0,0,0.143659970619858,0.146387522638457,1.02696403345732,0,0,1.47455999999999,0.14208,0.153965714285713
closure-response-blackout-emergency,closure,response-blackout,16094402,407817,13112517,13112517,0,1015861,610566,18531027166,50550327,46949,656047294,139573278,139573278,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,0.88951261509226,1,0.88951261509226,1,13418,0.83322541546938,1,0.188072157384876,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.910179640718563,0.931668856767411,2,3,60,149,0,0.113342334371192,0.20458790147122,0.0925678759641828,0.0869563430690485,0.191641845557957,0.0576017848250185,1,1,326,1,1,1,115,115,28,29,200,30,0,0,0,0,0,0,0,1029,1029,219,219,304,304,12762,12762,12762,0.408384,0.408384,1,8.88178419700125e-16,0,0,0.139634882136175,0.1421325731816,1.02838292873521,0,0,1.47455999999999,0.408384,0.179327999999999
closure-response-blackout-no-emergency,closure,response-blackout,16094402,407817,13112517,13112517,0,1015861,610566,18531027166,50550327,46949,430548150,139573278,139573278,1,1,3,1,4,1,1,48,56,1,1,1,22,0,0,0,4,0,0,4.51491969950798,0.514919699507979,1,7.80100340480444,0,7.80100340480444,0,13418,7.02279103635116,0,-0.177660377489729,1,0,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.910179640718563,0.931668856767411,2,3,60,149,0,0.531394288155766,0.927313691987783,0.858110374528488,0.241244842992026,0.418381516579657,0.772507013998627,0,0,326,0,0,1,115,0,0,0,0,0,0,0,0,0,0,0,0,829,829,189,189,304,304,12762,12762,12762,0.408384,0.408384,1,8.88178419700125e-16,0,0,0.370321877093246,0.38334055522215,0.792339622510271,0,0,1.12127999999999,0.408384,0.145682285714285
closure-prepare-blackout-emergency,closure,prepare-blackout,16094402,407817,13112517,13112517,0,1015861,610566,18753518281,49659928,46949,656809010,139573278,139573278,1,1,3,1,4,1,1,48,56,1,0,0,NaN,0,0,0,3,1,0,NaN,NaN,1,0.893417393584314,1,0.890776541948549,1,14018,0.833367804455748,1,0.161753745753162,1,1,2178498,1,0.000760320524288,0.999239679475712,0.00025344,7.1680524288e-05,0.0002432,0.000192,1,1,1,0,0.0269461077844311,0.0280332895313184,7,2,0,0,0,0.117339435714914,0.205486000524392,0.0955547520468932,0.0866615494564127,0.191674595024822,0.0574722462653985,1,1,326,1,1,1,86,86,0,29,149,23,0,0,0,0,0,0,0,1021,1021,227,227,9,9,384,384,384,0.012288,0.012288,1,4.44089209850063e-16,0,0,0.138141821577731,0.152828937860164,1.04894903645248,0,0,1.47455999999999,0.012288,0.14160457142857
