kind,sender,packetBytes,recipientCount,recipientHash,recipientContractExact,selfOnly,routeAdmissible,planHash,treeEdgeCount,maximumRecipientDepth,plannedTransmitterCount,baseReservedSlotCount,selectedRepetitions,minimumRepetitionExact,multicastFailureExact,maximumPhysicalAttempts,maximumPhysicalBytes,reservedSlotCount,reservedDurationSec,observedAttempts,observedBytes,observedAirtimeSec,allRecipientsDelivered,collisionRecipients,duplicateForwards,forbiddenReads,accountingExact,allNodeMaximumPhysicalAttempts,allNodeReservedSlotCount,savedPhysicalAttempts,savedReservedSlots,semanticNoWorseThanAllNodes,logicalCliqueAttemptUndercountFactor
prepare,2,48,3,473,1,0,1,754077,6,3,4,3,6,1,0.000383938565242326,24,1152,18,0.0798500880835234,24,1152,0.036864,1,0,0,0,0,30,18,6,0,1,24
claim,2,72,6,490,1,0,1,752810,6,3,3,3,6,1,0.000383938565242326,18,1296,18,0.0936740880835233,18,1296,0.041472,1,0,0,0,1,30,18,12,0,1,18
quiescent,3,24,1,458,1,0,1,747840,1,1,1,1,5,1,0.000319999999999987,5,120,5,0.0183405800232009,5,120,0.00384,1,0,0,0,1,36,24,31,19,1,5
claim,3,72,6,498,1,0,1,762025,7,4,5,4,6,1,0.000447913993174121,30,2160,24,0.124898784111364,30,2160,0.06912,1,0,0,0,1,36,24,6,0,1,30
quiescent,5,24,1,458,1,0,1,754139,3,3,3,3,5,1,0.000959692832767978,15,360,15,0.0550217400696028,15,360,0.01152,1,0,0,0,0,30,24,15,9,1,15
claim,5,72,5,484,1,0,1,761697,7,3,4,3,6,1,0.000447913993174121,24,1728,18,0.0936740880835233,24,1728,0.055296,1,0,0,0,0,30,24,6,6,1,24
quiescent,7,24,1,458,1,0,1,755623,3,3,3,3,5,1,0.000959692832767978,15,360,15,0.0550217400696028,15,360,0.01152,1,0,0,0,0,30,24,15,9,1,15
claim,7,72,7,504,1,0,1,765558,8,4,5,4,6,1,0.000511885326678563,30,2160,24,0.124898784111364,30,2160,0.06912,1,0,0,0,1,30,24,0,0,1,30
lock-proof,1,28,3,470,1,0,1,745637,3,1,1,1,5,1,0.000959692832767978,5,140,5,0.0189805800232009,5,140,0.00448,1,0,0,0,1,30,18,25,13,1,5
lock-proof,4,28,3,469,1,0,1,752927,4,3,3,3,6,1,0.000255975425048405,18,504,18,0.0683300880835233,18,504,0.016128,1,0,0,0,0,24,18,6,0,1,18
lock-proof,6,28,3,477,1,0,1,757572,6,3,4,3,6,1,0.000383938565242326,24,672,18,0.0683300880835233,24,672,0.021504,1,0,0,0,0,24,18,0,0,1,24
lock-proof,8,28,3,466,1,0,1,755419,4,3,3,3,6,1,0.000255975425048405,18,504,18,0.0683300880835233,18,504,0.016128,1,0,0,0,0,24,18,6,0,1,18
lock-proof,9,28,1,459,1,0,1,760133,4,4,4,4,6,1,0.000255975425048405,24,672,24,0.0911067841113645,24,672,0.021504,1,0,0,0,1,30,24,6,0,1,24
lock-proof,10,28,2,465,1,0,1,753518,3,2,2,2,5,1,0.000959692832767978,10,280,10,0.0379611600464019,10,280,0.00896,1,0,0,0,1,30,24,20,14,1,10
response,1,46,1,458,1,0,1,743510,1,1,1,1,5,1,0.000319999999999987,5,230,5,0.0218605800232009,5,230,0.00736,1,0,0,0,1,30,18,25,13,1,5
response,2,56,0,455,1,1,1,NaN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,NaN,NaN,NaN,NaN,1,0
response,3,46,1,458,1,0,1,747840,1,1,1,1,5,1,0.000319999999999987,5,230,5,0.0218605800232009,5,230,0.00736,1,0,0,0,1,36,24,31,19,1,5
response,4,36,1,458,1,0,1,749578,2,2,2,2,5,1,0.000639897599999939,10,360,10,0.0405211600464019,10,360,0.01152,1,0,0,0,1,24,18,14,8,1,10
response,5,26,1,458,1,0,1,754139,3,3,3,3,5,1,0.000959692832767978,15,390,15,0.0559817400696028,15,390,0.01248,1,0,0,0,0,30,24,15,9,1,15
response,6,36,1,458,1,0,1,749747,2,2,2,2,5,1,0.000639897599999939,10,360,10,0.0405211600464019,10,360,0.01152,1,0,0,0,1,24,18,14,8,1,10
response,7,36,1,458,1,0,1,755623,3,3,3,3,5,1,0.000959692832767978,15,540,15,0.0607817400696028,15,540,0.01728,1,0,0,0,1,30,24,15,9,1,15
response,8,36,1,458,1,0,1,751442,2,2,2,2,5,1,0.000639897599999939,10,360,10,0.0405211600464019,10,360,0.01152,1,0,0,0,1,24,18,14,8,1,10
response,9,36,1,458,1,0,1,757519,3,3,3,3,5,1,0.000959692832767978,15,540,15,0.0607817400696028,15,540,0.01728,1,0,0,0,1,30,24,15,9,1,15
response,10,36,1,458,1,0,1,752822,2,2,2,2,5,1,0.000639897599999939,10,360,10,0.0405211600464019,10,360,0.01152,1,0,0,0,1,30,24,20,14,1,10
commit,2,28,3,473,1,0,1,754077,6,3,4,3,6,1,0.000383938565242326,24,672,18,0.0683300880835233,24,672,0.021504,1,0,0,0,0,30,18,6,0,1,24
