N,interferenceMode,source,linkErasureProbability,parentPlanHash,currentPlanHash,planHashExact,repetitionExact,reliabilityExact,boundExact,durationExact,simulatorVersionHash,attempts,physicalBytes,offeredAirtimeSec,reservedDurationSec,attemptExact,byteExact,airtimeExact,deliveryExact,collisionRecipients,duplicateForwards,forbiddenReads
5,spatial-reuse-lower-bound,1,0.05,63027,63027,1,1,1,1,1,64297,6,576,0.018432,0.0358326960278411,1,1,1,1,0,0,0
5,spatial-reuse-lower-bound,1,0.2,63027,63027,1,1,1,1,1,64297,12,1152,0.036864,0.0716653920556822,1,1,1,1,0,0,0
5,spatial-reuse-lower-bound,1,0.3,63027,63027,1,1,1,1,1,64297,14,1344,0.043008,0.0836096240649626,1,1,1,1,0,0,0
5,spatial-reuse-lower-bound,2,0.05,63207,63207,1,1,1,1,1,64297,6,576,0.018432,0.0358326960278411,1,1,1,1,0,0,0
5,spatial-reuse-lower-bound,2,0.2,63207,63207,1,1,1,1,1,64297,12,1152,0.036864,0.0716653920556822,1,1,1,1,0,0,0
5,spatial-reuse-lower-bound,2,0.3,63207,63207,1,1,1,1,1,64297,14,1344,0.043008,0.0836096240649626,1,1,1,1,0,0,0
5,spatial-reuse-lower-bound,3,0.05,63921,63921,1,1,1,1,1,64297,9,864,0.027648,0.0358326960278411,1,1,1,1,0,0,0
5,spatial-reuse-lower-bound,3,0.2,63921,63921,1,1,1,1,1,64297,18,1728,0.055296,0.0716653920556822,1,1,1,1,0,0,0
5,spatial-reuse-lower-bound,3,0.3,63921,63921,1,1,1,1,1,64297,21,2016,0.064512,0.0836096240649626,1,1,1,1,0,0,0
5,spatial-reuse-lower-bound,4,0.05,63769,63769,1,1,1,1,1,64297,6,576,0.018432,0.0358326960278411,1,1,1,1,0,0,0
5,spatial-reuse-lower-bound,4,0.2,63769,63769,1,1,1,1,1,64297,12,1152,0.036864,0.0716653920556822,1,1,1,1,0,0,0
5,spatial-reuse-lower-bound,4,0.3,63769,63769,1,1,1,1,1,64297,14,1344,0.043008,0.0836096240649626,1,1,1,1,0,0,0
5,spatial-reuse-lower-bound,5,0.05,64227,64227,1,1,1,1,1,64297,9,864,0.027648,0.0358326960278411,1,1,1,1,0,0,0
