kind,sender,packetBytes,recipientHashExact,selfOnly,planHash,planExact,reliabilityExact,simulatorVersionHash,attempts,physicalBytes,offeredAirtimeSec,accountingExact,deliveryExact,collisionRecipients,duplicateForwards,forbiddenReads
prepare,2,48,1,0,754077,1,1,64297,24,1152,0.036864,1,1,0,0,0
claim,2,72,1,0,752810,1,1,64297,18,1296,0.041472,1,1,0,0,0
quiescent,3,24,1,0,747840,1,1,64297,5,120,0.00384,1,1,0,0,0
claim,3,72,1,0,762025,1,1,64297,30,2160,0.06912,1,1,0,0,0
quiescent,5,24,1,0,754139,1,1,64297,15,360,0.01152,1,1,0,0,0
claim,5,72,1,0,761697,1,1,64297,24,1728,0.055296,1,1,0,0,0
quiescent,7,24,1,0,755623,1,1,64297,15,360,0.01152,1,1,0,0,0
claim,7,72,1,0,765558,1,1,64297,30,2160,0.06912,1,1,0,0,0
lock-proof,1,28,1,0,745637,1,1,64297,5,140,0.00448,1,1,0,0,0
lock-proof,4,28,1,0,752927,1,1,64297,18,504,0.016128,1,1,0,0,0
lock-proof,6,28,1,0,757572,1,1,64297,24,672,0.021504,1,1,0,0,0
lock-proof,8,28,1,0,755419,1,1,64297,18,504,0.016128,1,1,0,0,0
lock-proof,9,28,1,0,760133,1,1,64297,24,672,0.021504,1,1,0,0,0
lock-proof,10,28,1,0,753518,1,1,64297,10,280,0.00896,1,1,0,0,0
response,1,46,1,0,743510,1,1,64297,5,230,0.00736,1,1,0,0,0
response,2,56,1,1,0,0,1,0,0,0,0,1,1,0,0,0
response,3,46,1,0,747840,1,1,64297,5,230,0.00736,1,1,0,0,0
response,4,36,1,0,749578,1,1,64297,10,360,0.01152,1,1,0,0,0
response,5,26,1,0,754139,1,1,64297,15,390,0.01248,1,1,0,0,0
response,6,36,1,0,749747,1,1,64297,10,360,0.01152,1,1,0,0,0
response,7,36,1,0,755623,1,1,64297,15,540,0.01728,1,1,0,0,0
response,8,36,1,0,751442,1,1,64297,10,360,0.01152,1,1,0,0,0
response,9,36,1,0,757519,1,1,64297,15,540,0.01728,1,1,0,0,0
response,10,36,1,0,752822,1,1,64297,10,360,0.01152,1,1,0,0,0
commit,2,28,1,0,754077,1,1,64297,24,672,0.021504,1,1,0,0,0
