scope,N,interferenceMode,kind,source,planHash,legacyReservedSlotCount,currentReservedSlotCount,additionalSlots,legacyOracleCollisionRecipients,legacyOracleCollisionSlots,currentOracleCollisionRecipients,currentOracleCollisionSlots,legacyInvalid,currentValid
all-node,5,spatial-reuse-lower-bound,all-node,1,63479,2,2,0,0,0,0,0,0,1
all-node,5,spatial-reuse-lower-bound,all-node,2,63897,2,2,0,0,0,0,0,0,1
all-node,5,spatial-reuse-lower-bound,all-node,3,65183,2,3,1,1,1,0,0,1,1
all-node,5,spatial-reuse-lower-bound,all-node,4,64221,2,2,0,0,0,0,0,0,1
all-node,5,spatial-reuse-lower-bound,all-node,5,65161,2,2,0,0,0,0,0,0,1
all-node,5,complete-interference-upper-bound,all-node,1,64497,2,2,0,0,0,0,0,0,1
all-node,5,complete-interference-upper-bound,all-node,2,64677,2,2,0,0,0,0,0,0,1
all-node,5,complete-interference-upper-bound,all-node,3,65963,3,3,0,0,0,0,0,0,1
all-node,5,complete-interference-upper-bound,all-node,4,65233,2,2,0,0,0,0,0,0,1
all-node,5,complete-interference-upper-bound,all-node,5,66269,3,3,0,0,0,0,0,0,1
all-node,10,spatial-reuse-lower-bound,all-node,1,762851,2,3,1,3,1,0,0,1,1
all-node,10,spatial-reuse-lower-bound,all-node,2,767692,3,4,1,2,1,0,0,1,1
all-node,10,spatial-reuse-lower-bound,all-node,3,773059,4,6,2,2,2,0,0,1,1
all-node,10,spatial-reuse-lower-bound,all-node,4,766845,3,4,1,1,1,0,0,1,1
all-node,10,spatial-reuse-lower-bound,all-node,5,772475,4,5,1,1,1,0,0,1,1
all-node,10,spatial-reuse-lower-bound,all-node,6,767320,3,3,0,0,0,0,0,0,1
all-node,10,spatial-reuse-lower-bound,all-node,7,773881,4,5,1,1,1,0,0,1,1
all-node,10,spatial-reuse-lower-bound,all-node,8,768493,3,4,1,1,1,0,0,1,1
all-node,10,spatial-reuse-lower-bound,all-node,9,774854,4,5,1,1,1,0,0,1,1
all-node,10,spatial-reuse-lower-bound,all-node,10,771754,3,4,1,2,1,0,0,1,1
all-node,10,complete-interference-upper-bound,all-node,1,792478,5,5,0,0,0,0,0,0,1
all-node,10,complete-interference-upper-bound,all-node,2,794233,5,5,0,0,0,0,0,0,1
all-node,10,complete-interference-upper-bound,all-node,3,801319,6,6,0,0,0,0,0,0,1
all-node,10,complete-interference-upper-bound,all-node,4,789478,4,4,0,0,0,0,0,0,1
all-node,10,complete-interference-upper-bound,all-node,5,797518,5,5,0,0,0,0,0,0,1
all-node,10,complete-interference-upper-bound,all-node,6,790216,4,4,0,0,0,0,0,0,1
all-node,10,complete-interference-upper-bound,all-node,7,798836,5,5,0,0,0,0,0,0,1
all-node,10,complete-interference-upper-bound,all-node,8,790950,4,4,0,0,0,0,0,0,1
all-node,10,complete-interference-upper-bound,all-node,9,800627,5,5,0,0,0,0,0,0,1
all-node,10,complete-interference-upper-bound,all-node,10,798225,5,5,0,0,0,0,0,0,1
all-node,20,spatial-reuse-lower-bound,all-node,1,10508270,2,3,1,8,1,0,0,1,1
all-node,20,spatial-reuse-lower-bound,all-node,2,10556708,3,4,1,7,1,0,0,1,1
all-node,20,spatial-reuse-lower-bound,all-node,3,10596563,4,6,2,7,2,0,0,1,1
all-node,20,spatial-reuse-lower-bound,all-node,4,10552554,3,4,1,6,1,0,0,1,1
all-node,20,spatial-reuse-lower-bound,all-node,5,10595726,4,6,2,6,2,0,0,1,1
all-node,20,spatial-reuse-lower-bound,all-node,6,10556036,3,4,1,5,1,0,0,1,1
all-node,20,spatial-reuse-lower-bound,all-node,7,10599845,4,6,2,5,2,0,0,1,1
all-node,20,spatial-reuse-lower-bound,all-node,8,10559502,3,4,1,5,1,0,0,1,1
all-node,20,spatial-reuse-lower-bound,all-node,9,10606560,4,6,2,5,2,0,0,1,1
all-node,20,spatial-reuse-lower-bound,all-node,10,10562982,3,4,1,5,1,0,0,1,1
all-node,20,spatial-reuse-lower-bound,all-node,11,10610693,4,6,2,5,2,0,0,1,1
all-node,20,spatial-reuse-lower-bound,all-node,12,10566450,3,4,1,5,1,0,0,1,1
all-node,20,spatial-reuse-lower-bound,all-node,13,10617426,4,6,2,5,2,0,0,1,1
all-node,20,spatial-reuse-lower-bound,all-node,14,10569928,3,4,1,5,1,0,0,1,1
all-node,20,spatial-reuse-lower-bound,all-node,15,10621573,4,6,2,5,2,0,0,1,1
all-node,20,spatial-reuse-lower-bound,all-node,16,10573398,3,4,1,5,1,0,0,1,1
all-node,20,spatial-reuse-lower-bound,all-node,17,10628324,4,6,2,6,2,0,0,1,1
all-node,20,spatial-reuse-lower-bound,all-node,18,10576874,3,4,1,6,1,0,0,1,1
