seed,traceHash,stateHash,continuousHash,barrierClosed,motionAuthorized,commitReady,allAffectedReactivated,finalSuppressedCount,prematureActivationFrames,scheduledCollisionFrames,finalActiveColoringProper,routeCollisionRecipients,crossPacketStateWrites,forbiddenReads,logicalPacketCount,routedPacketCount,localOnlyPacketCount,physicalControlAttempts,physicalControlBytes,physicalControlAirtimeSec,attemptBound,integerAccountingExact,dynamicBundleEnvelopeExact,scheduleBuilt,kernelContinuousReplayExact,continuousDurationSec,firstConvergenceTimeSec,continuousAccountingExact,clockSchedulePreserved,controlDataNonOverlap,traceVersionHash,kernelVersionHash,continuousVersionHash,scheduleError
16095702,138912709079,10152001,1051375244,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,83997,
16095703,138717760682,10143606,1051512937,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,83997,
16095704,138731477146,10146125,1051806881,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,83997,
16095705,138959173660,10143597,1052174381,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,83997,
16095706,138618141298,10146970,1051544093,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,83997,
16095707,138573840929,10150319,1051658972,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,83997,
16095708,138777584657,10131011,1051218313,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,83997,
16095709,138570435614,10136048,1052103518,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,83997,
16095710,138836903065,10157050,1051963437,1,1,1,1,0,0,0,1,0,0,0,31,30,1,340,13288,0.425216,340,1,1,1,1,2.29559301412057,1.44075387335493,1,1,1,64470,68109,83997,
16095711,138580524305,11413529,1328518931,1,1,1,1,0,0,0,1,0,0,0,36,34,2,408,18184,0.581888,408,1,1,1,1,2.65068704636186,2.11319660594424,1,1,1,64470,68109,83997,
