scenario,lossCondition,nPairs,candidateMeanRMSE,periodicMeanRMSE,candidateMeanCost,periodicMeanCost,relativePeriodicRmse,relativePeriodicCost,rmseDelta,rmseCiLo,rmseCiHi,costDelta,costCiLo,costCiHi,physicalTerminalCertificationRate,meanUncertifiedNodeFrames,meanPhysicalRetryClaims,falseValidEdgeFrames,scheduledCollisionFrames,fallbackCollisionFrames,candidateSafeFailures,candidateDivergences,epsilonDominates,epsilonConfidenceSupported
n5-6dof-zero-loss,clean,30,0.0299120447462668,0.0308327410505215,0.290453333333331,0.286719999999997,0.0307801192484383,-0.0128534704370188,0.000920696304254711,0.000903166055429813,0.000937255652033282,-0.00373333333333342,-0.00373333333333342,-0.00373333333333342,1,0,0,0,0,0,0,0,0,0
n5-6dof-zero-loss,claim-iid5,30,0.0299120346093823,0.0308327410505215,0.294527288888886,0.286719999999997,0.0307804685693429,-0.0265078625425242,0.000920706441139183,0.000903175347197223,0.000937251355556193,-0.00780728888888895,-0.00814864000000007,-0.00745740444444451,1,0.733333333333333,18.4666666666667,0,0,0,0,0,0,0
n5-6dof-zero-loss,response-iid5,30,0.0299120430845684,0.0308327410505215,0.293518933333331,0.286719999999997,0.0307801765111837,-0.0231635256237877,0.000920697965953143,0.000903137551911699,0.00093758971739675,-0.00679893333333339,-0.00717226666666672,-0.00645688888888895,1,0.333333333333333,11.5,0,0,0,0,0,0,0
n5-6dof-zero-loss,data-iid5,30,0.0312182104663064,0.0320298032463139,0.290453333333331,0.286719999999997,0.0259974152228697,-0.0128534704370188,0.000811592780007509,0.000684976579584288,0.000935252341336845,-0.00373333333333342,-0.00373333333333342,-0.00373333333333342,1,0,0,0,0,0,0,0,0,0
n5-6dof-zero-loss,joint-iid5,30,0.0312181882563204,0.0320298032463139,0.297361777777775,0.286719999999997,0.025998145162355,-0.0357873088374211,0.000811614989993551,0.000685718934636034,0.000933805611407576,-0.0106417777777778,-0.0111808,-0.0100920533333334,1,1.13333333333333,30.5666666666667,0,0,1,0,0,0,0
n10-ring2-zero-loss,clean,30,0.0508616598164182,0.0567449327778831,0.309759999999997,0.30546773333333,0.115672059911144,-0.0138567493112952,0.00588327296146497,0.00586690423265239,0.00589941870359345,-0.00429226666666681,-0.00432640000000014,-0.00424960000000014,1,0,0,0,0,0,0,0,0,0
n10-ring2-zero-loss,claim-iid5,30,0.0508617202470677,0.0567449327778831,0.315794488888886,0.30546773333333,0.115670734340816,-0.0327008732542801,0.00588321253081545,0.0058673012601682,0.00589902584016073,-0.0103267555555557,-0.010880728888889,-0.00980337777777789,1,1.9,24.2333333333333,0,0,0,0,0,0,0
n10-ring2-zero-loss,response-iid5,30,0.0508616200310328,0.0567449327778831,0.313958399999997,0.30546773333333,0.115672932621114,-0.0270439225918684,0.00588331274685036,0.00586725002532905,0.00589946040969251,-0.00849066666666678,-0.00895502222222233,-0.00802915555555568,1,0.7,12.9,0,0,1,0,0,0,0
n10-ring2-zero-loss,data-iid5,30,0.0542942617975851,0.0602478196899486,0.309759999999997,0.30546773333333,0.10965353787402,-0.0138567493112952,0.0059535578923635,0.00566789337009744,0.00626351684928737,-0.00429226666666681,-0.00432640000000014,-0.00424960000000014,1,0,0,0,0,0,0,0,0,0
n10-ring2-zero-loss,joint-iid5,30,0.0542943299242908,0.0602478196899486,0.320020622222219,0.30546773333333,0.109652145517948,-0.0454748471765158,0.0059534897656578,0.00566182629175593,0.00626786463283895,-0.014552888888889,-0.0152604622222224,-0.0138801777777779,1,2.63333333333333,39.0666666666667,0,0,1,0,0,0,0
