scenario,scenarioLabel,lossCondition,lossConditionLabel,arm,methodLabel,ENGINE_FAMILY,nRuns,meanRMSE,meanTrueAoI,meanTotalOfferedUtil,meanChannelUtil,meanGoodputHz,meanManagementUtil,meanPhysicalRetryClaims,physicalTerminalCertificationRate,safeFailures
n10-ring2-zero-loss,N10 ring2 zero-loss,claim-iid5,CLAIM IID loss 5%,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.0508617202470677,0.0653916315856613,0.315794488888886,0.206831909859096,95.6972222222223,0.0218126222222222,24.2333333333333,1,0
n10-ring2-zero-loss,N10 ring2 zero-loss,claim-iid5,CLAIM IID loss 5%,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.0567449327778831,0.0766277586426839,0.30546773333333,0.305467733333295,99.4361111111111,0,NaN,NaN,0
n10-ring2-zero-loss,N10 ring2 zero-loss,clean,Clean,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.0508616598164182,0.0653916315856613,0.309759999999997,0.200483956126683,95.8333333333333,0.01536,0,1,0
n10-ring2-zero-loss,N10 ring2 zero-loss,clean,Clean,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.0567449327778831,0.0766277586426839,0.30546773333333,0.305467733333295,99.4361111111111,0,NaN,NaN,0
n10-ring2-zero-loss,N10 ring2 zero-loss,data-iid5,DATA IID loss 5%,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.0542942617975851,0.0707763745375685,0.309759999999997,0.200483956126683,95.6638888888889,0.01536,0,1,0
n10-ring2-zero-loss,N10 ring2 zero-loss,data-iid5,DATA IID loss 5%,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.0602478196899486,0.0820526852914912,0.30546773333333,0.305467733333295,99.3166666666667,0,NaN,NaN,0
n10-ring2-zero-loss,N10 ring2 zero-loss,joint-iid5,CLAIM/RESPONSE/DATA IID loss 5%,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.0542943299242908,0.0707763745375685,0.320020622222219,0.211174258219099,95.4861111111111,0.0261667555555555,39.0666666666667,1,0
n10-ring2-zero-loss,N10 ring2 zero-loss,joint-iid5,CLAIM/RESPONSE/DATA IID loss 5%,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.0602478196899486,0.0820526852914912,0.30546773333333,0.305467733333295,99.3166666666667,0,NaN,NaN,0
n10-ring2-zero-loss,N10 ring2 zero-loss,response-iid5,RESPONSE IID loss 5%,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.0508616200310328,0.0653916315856613,0.313958399999997,0.204807165915022,95.7972222222222,0.0196693333333333,12.9,1,0
n10-ring2-zero-loss,N10 ring2 zero-loss,response-iid5,RESPONSE IID loss 5%,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.0567449327778831,0.0766277586426839,0.30546773333333,0.305467733333295,99.4361111111111,0,NaN,NaN,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,claim-iid5,CLAIM IID loss 5%,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.0299120346093823,0.040553897180763,0.294527288888886,0.294527288888883,90.375,0.0168952888888889,18.4666666666667,1,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,claim-iid5,CLAIM IID loss 5%,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.0308327410505215,0.0426666666666666,0.286719999999997,0.286719999999964,93.3333333333333,0,NaN,NaN,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,clean,Clean,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.0299120447462668,0.040553897180763,0.290453333333331,0.290453333333327,90.4166666666667,0.0126933333333333,0,1,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,clean,Clean,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.0308327410505215,0.0426666666666666,0.286719999999997,0.286719999999964,93.3333333333333,0,NaN,NaN,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,data-iid5,DATA IID loss 5%,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.0312182104663064,0.0433695411829742,0.290453333333331,0.290453333333327,90.2861111111111,0.0126933333333333,0,1,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,data-iid5,DATA IID loss 5%,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.0320298032463139,0.0454212271973466,0.286719999999997,0.286719999999964,93.2111111111111,0,NaN,NaN,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,joint-iid5,CLAIM/RESPONSE/DATA IID loss 5%,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.0312181882563204,0.0433695411829742,0.297361777777775,0.297353322129695,90.2138888888889,0.0198151111111111,30.5666666666667,1,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,joint-iid5,CLAIM/RESPONSE/DATA IID loss 5%,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.0320298032463139,0.0454212271973466,0.286719999999997,0.286719999999964,93.2111111111111,0,NaN,NaN,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,response-iid5,RESPONSE IID loss 5%,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.0299120430845684,0.040553897180763,0.293518933333331,0.293518933333328,90.3972222222222,0.0158186666666666,11.5,1,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,response-iid5,RESPONSE IID loss 5%,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.0308327410505215,0.0426666666666666,0.286719999999997,0.286719999999964,93.3333333333333,0,NaN,NaN,0
