scenario,scenarioLabel,loadCondition,loadConditionLabel,backgroundModel,arm,methodLabel,ENGINE_FAMILY,nRuns,meanRealizedBackgroundFraction,meanOnRunSec,meanRMSE,meanTrueAoI,meanTotalOfferedUtil,meanChannelUtil,meanGoodputHz,meanPhysicalRetryClaims,physicalTerminalCertificationRate,safeFailures
n10-ring2-zero-loss,N10 ring2 zero-loss,clean,Clean occupancy,iid,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0,0,0.0508739861531858,0.0654031126419185,0.309759999999997,0.200133986638652,95.8333333333333,0,1,0
n10-ring2-zero-loss,N10 ring2 zero-loss,clean,Clean occupancy,iid,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0,0,0.056751506542043,0.0766622018114554,0.305535999999997,0.305535999999962,99.4583333333333,NaN,NaN,0
n10-ring2-zero-loss,N10 ring2 zero-loss,iid-load15,IID occupancy 15%,iid,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.151924999999997,0.0011773110454763,0.116776503563821,0.167469320066335,0.370900622222219,0.375233216825738,48.4555555555556,277.266666666667,1,0
n10-ring2-zero-loss,N10 ring2 zero-loss,iid-load15,IID occupancy 15%,iid,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.151924999999982,0.0011773110454763,0.120969143899465,0.173579027937237,0.305535999999997,0.411282567690904,50.9916666666667,NaN,NaN,0
n10-ring2-zero-loss,N10 ring2 zero-loss,markov-load15,Markov occupancy 15% / 50 ms mean burst,markov,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.142724999999998,0.0490232890204027,0.0641998689363628,0.0840790917208827,0.314687999999997,0.318897047455774,81.2638888888889,33.9,1,0
n10-ring2-zero-loss,N10 ring2 zero-loss,markov-load15,Markov occupancy 15% / 50 ms mean burst,markov,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.142724999999983,0.0490232890204027,0.0702517653355996,0.0960199004975124,0.305535999999997,0.404938028471882,84.4777777777778,NaN,NaN,0
n10-ring2-zero-loss,N10 ring2 zero-loss,markov-load30,Markov occupancy 30% / 50 ms mean burst,markov,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.289908333333329,0.0482310753079864,0.0829626399880143,0.109840158183442,0.321413688888886,0.441584077066179,66.2277777777778,81.8666666666667,1,0
n10-ring2-zero-loss,N10 ring2 zero-loss,markov-load30,Markov occupancy 30% / 50 ms mean burst,markov,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.289908333333302,0.0482310753079864,0.0862955483920987,0.118366118127312,0.305535999999997,0.50869701361534,69.45,NaN,NaN,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,clean,Clean occupancy,iid,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0,0,0.0299203968654785,0.0405422885572141,0.290453333333331,0.290453333333327,90.4166666666667,0,1,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,clean,Clean occupancy,iid,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0,0,0.0308438100172132,0.042677722498618,0.286719999999997,0.286719999999964,93.3333333333333,NaN,NaN,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,iid-load15,IID occupancy 15%,iid,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.148924999999998,0.00117579789700779,0.0547239438198497,0.0937133775566612,0.322966044444442,0.423547588572716,46.5916666666667,176.966666666667,0.966666666666667,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,iid-load15,IID occupancy 15%,iid,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.148924999999982,0.00117579789700779,0.0539913345755485,0.0920212824765063,0.286719999999997,0.393071393807587,48.4527777777778,NaN,NaN,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,markov-load15,Markov occupancy 15% / 50 ms mean burst,markov,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.147494444444442,0.050325871981694,0.0364202393990305,0.0542423991155336,0.29455502222222,0.39795358470387,76.2527777777778,33.1333333333333,1,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,markov-load15,Markov occupancy 15% / 50 ms mean burst,markov,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.14749444444443,0.050325871981694,0.037639962186211,0.0567739082365948,0.286719999999997,0.391541744765418,78.5472222222222,NaN,NaN,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,markov-load30,Markov occupancy 30% / 50 ms mean burst,markov,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.292608333333329,0.049590648425252,0.0445070744960645,0.0692750138197901,0.299017955555553,0.504074473908673,62.2944444444445,69.8,1,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,markov-load30,Markov occupancy 30% / 50 ms mean burst,markov,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.292608333333304,0.049590648425252,0.045075981223993,0.0711774461028192,0.286719999999997,0.496015031277715,64.4833333333333,NaN,NaN,0
