scenario,scenarioLabel,loadCondition,loadConditionLabel,backgroundModel,arm,methodLabel,ENGINE_FAMILY,nRuns,meanRealizedBackgroundFraction,meanOnRunSec,meanRMSE,meanTrueAoI,meanTotalOfferedUtil,meanChannelUtil,meanGoodputHz,meanPhysicalRetryClaims,physicalTerminalCertificationRate,safeFailures
n10-ring2-zero-loss,N10 ring2 zero-loss,clean,Clean occupancy,iid,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0,0,0.0508676747467909,0.0653890802398264,0.309759999999997,0.199960705286215,95.8333333333333,0,1,0
n10-ring2-zero-loss,N10 ring2 zero-loss,clean,Clean occupancy,iid,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0,0,0.0567387486119272,0.0766485521112386,0.30551893333333,0.305518933333295,99.4527777777778,NaN,NaN,0
n10-ring2-zero-loss,N10 ring2 zero-loss,iid-load15,IID occupancy 15%,iid,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.15044722222222,0.00117827716465813,0.115186314799567,0.163600714376834,0.36982613333333,0.372641220208653,49.0222222222222,275.933333333333,1,0
n10-ring2-zero-loss,N10 ring2 zero-loss,iid-load15,IID occupancy 15%,iid,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.150447222222204,0.00117827716465813,0.117758695703257,0.170682612578135,0.30551893333333,0.409970777515136,51.5694444444444,NaN,NaN,0
n10-ring2-zero-loss,N10 ring2 zero-loss,markov-load15,Markov occupancy 15% / 50 ms mean burst,markov,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.142791666666665,0.0482086319994119,0.0632632456181129,0.0826092613853806,0.315024355555553,0.319213686367992,81.4611111111111,39.3333333333333,1,0
n10-ring2-zero-loss,N10 ring2 zero-loss,markov-load15,Markov occupancy 15% / 50 ms mean burst,markov,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.142791666666652,0.0482086319994119,0.0698297329828245,0.0950941446613087,0.30551893333333,0.403686006623728,83.9694444444444,NaN,NaN,0
n10-ring2-zero-loss,N10 ring2 zero-loss,markov-load30,Markov occupancy 30% / 50 ms mean burst,markov,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.295616666666663,0.0484907947205385,0.0820360705404797,0.113144023472382,0.323007288888886,0.446938740448966,65.675,95.8666666666667,1,0
n10-ring2-zero-loss,N10 ring2 zero-loss,markov-load30,Markov occupancy 30% / 50 ms mean burst,markov,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.295616666666633,0.0484907947205385,0.0886290753834689,0.123623166220181,0.30551893333333,0.51110291839033,68.2916666666667,NaN,NaN,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,clean,Clean occupancy,iid,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0,0,0.0299184740712261,0.0405478164731898,0.290453333333331,0.290453333333327,90.4166666666667,0,1,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,clean,Clean occupancy,iid,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0,0,0.030844491505832,0.0427070204532891,0.286719999999997,0.286719999999964,93.3333333333333,NaN,NaN,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,iid-load15,IID occupancy 15%,iid,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.149727777777775,0.00117536646335616,0.0544443983027732,0.0915096738529575,0.324386133333331,0.425655409881063,46.6138888888889,181.366666666667,1,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,iid-load15,IID occupancy 15%,iid,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.14972777777776,0.00117536646335616,0.0549131064337156,0.0923653952459922,0.286719999999997,0.393943703670163,48.6388888888889,NaN,NaN,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,markov-load15,Markov occupancy 15% / 50 ms mean burst,markov,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.150466666666664,0.0491956823021127,0.0366884681352796,0.0538714759535657,0.293897244444442,0.400202094322644,75.9777777777778,28.2,1,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,markov-load15,Markov occupancy 15% / 50 ms mean burst,markov,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.150466666666649,0.0491956823021127,0.0379139457723016,0.056037037037037,0.286719999999997,0.394506082217837,78.5027777777777,NaN,NaN,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,markov-load30,Markov occupancy 30% / 50 ms mean burst,markov,elcs-w-affine,ELCS-W local witness / affine clock,candidate-elcs-w,30,0.292308333333329,0.0490252283190981,0.0439917340711258,0.067543670536208,0.299687111111108,0.504471169131484,62.3472222222222,71.6,1,0
n5-6dof-zero-loss,N5 6-DOF zero-loss,markov-load30,Markov occupancy 30% / 50 ms mean burst,markov,periodic-exp23d-lower,Periodic static TDMA / EXP23D lower-cost boundary,periodic-static,30,0.292308333333305,0.0490252283190981,0.0454450904171994,0.0701135986733001,0.286719999999997,0.495259855638679,64.3166666666667,NaN,NaN,0
