seed,physicalFrames,firstAllCertifiedFrame,controlAttempts,controlBytes,claimAttempts,claimBytes,responseAttempts,responseBytes,responseHeaderBytes,responseEntryBytes,bootstrapBytes,renewalBytes,nominalClaimBytes,retryClaimBytes,dataAckUtil,candidateTotalUtil,periodicTotalUtil,targetControlBytesToTie,requiredControlByteRemoval,requiredControlRemovalFraction,renewalControlFraction,noControlFloorUtil,claimFreeFloorUtil,sharedHeaderFloorUtil,bootstrapOnlyFloorUtil,renewalScaleFactorToTie
16072001,217,3,499,13744,214,5136,285,8608,4560,4048,704,13040,2472,2664,0.276991999999998,0.313642666666664,0.286719999999997,3647.9999999998,10096.0000000002,0.734575087310841,0.948777648428405,0.276991999999998,0.299946666666664,0.287786666666664,0.278869333333331,4.42934782608726
16072002,217,3,434,11952,183,4392,251,7560,4016,3544,768,11184,2256,2136,0.277247999999997,0.309119999999997,0.286719999999997,3551.99999999981,8400.00000000019,0.702811244979936,0.93574297188755,0.277247999999997,0.297407999999998,0.286698666666664,0.279295999999997,4.01724137931063
16072003,217,2,500,13960,219,5256,281,8704,4496,4208,536,13424,2184,3072,0.277247999999997,0.314474666666664,0.286719999999997,3551.99999999981,10408.0000000002,0.745558739255028,0.961604584527221,0.277247999999997,0.300458666666664,0.288469333333331,0.278677333333331,4.45092838196315
16072004,217,3,452,12552,199,4776,253,7776,4048,3728,824,11728,2136,2640,0.276479999999998,0.309951999999997,0.286719999999997,3839.9999999998,8712.0000000002,0.694072657743802,0.934353091140854,0.276479999999998,0.297215999999997,0.286421333333331,0.278677333333331,3.88859416445649
16072005,217,3,436,12056,191,4584,245,7472,3920,3552,744,11312,2328,2256,0.276991999999998,0.309141333333331,0.286719999999997,3647.9999999998,8408.0000000002,0.697412076974138,0.93828798938288,0.276991999999998,0.296917333333331,0.286463999999997,0.278975999999998,3.89531680440799
16072006,217,3,476,13160,199,4776,277,8384,4432,3952,728,12432,2256,2520,0.277759999999998,0.312853333333331,0.286719999999997,3359.9999999998,9800.0000000002,0.744680851063845,0.94468085106383,0.277759999999998,0.300117333333331,0.288298666666664,0.279701333333331,4.72340425531951
16072007,217,6,498,13856,224,5376,274,8480,4384,4096,1496,12360,2448,2928,0.275199999999998,0.312149333333331,0.286719999999997,4319.9999999998,9536.0000000002,0.688221709006943,0.89203233256351,0.275199999999998,0.297813333333331,0.286122666666664,0.279189333333331,4.37677053824393
16072008,217,4,420,11768,188,4512,232,7256,3712,3544,944,10824,2256,2256,0.276479999999998,0.307861333333331,0.286719999999997,3839.9999999998,7928.0000000002,0.67369136641742,0.919782460910945,0.276479999999998,0.295829333333331,0.285930666666664,0.278997333333331,3.73756906077374
16072009,217,2,393,10928,172,4128,221,6800,3536,3264,504,10424,2304,1824,0.277503999999997,0.306645333333331,0.286719999999997,3455.99999999981,7472.00000000019,0.683748169838963,0.953879941434846,0.277503999999997,0.295637333333331,0.286207999999997,0.278847999999997,3.53116531165334
16072010,217,4,415,11584,187,4488,228,7096,3648,3448,896,10688,2256,2232,0.276991999999998,0.307882666666664,0.286719999999997,3647.9999999998,7936.0000000002,0.685082872928194,0.922651933701657,0.276991999999998,0.295914666666664,0.286186666666664,0.279381333333331,3.88372093023284
16072011,217,6,482,13352,215,5160,267,8192,4272,3920,1576,11776,2496,2664,0.274943999999997,0.310549333333331,0.286719999999997,4415.99999999982,8936.00000000018,0.669263031755556,0.881965248651887,0.274943999999997,0.296789333333331,0.285397333333331,0.279146666666664,4.1464788732397
16072012,217,2,457,12624,205,4920,252,7704,4032,3672,560,12064,2376,2544,0.276991999999998,0.310655999999997,0.286719999999997,3647.9999999998,8976.0000000002,0.711026615969598,0.955640050697085,0.276991999999998,0.297535999999998,0.286783999999998,0.278485333333331,3.90673575129559
