seed,claimAttempts,responseAttempts,certificateEntries,oldControlBytes,newControlBytes,metadataDeltaBytes,maxNewPacketBytes,mtuViolations,originalCandidateUtil,chargedCandidateUtil,periodicUtil,relativeChargedCostVsPeriodic
16072001,16,19,37,984,1122,138,46,0,0.279615999999997,0.279983999999997,0.286719999999997,-0.0234933035714289
16072002,22,35,55,1528,1726,198,46,0,0.281322666666664,0.281850666666664,0.286719999999997,-0.0169828869047609
16072003,32,37,77,1976,2258,282,46,0,0.282517333333331,0.283269333333331,0.286719999999997,-0.012034970238093
16072004,26,34,58,1632,1852,220,46,0,0.280831999999997,0.281418666666664,0.286719999999997,-0.0184895833333335
16072005,20,29,48,1328,1504,176,46,0,0.280533333333331,0.281002666666664,0.286719999999997,-0.0199404761904739
16072006,24,32,55,1528,1734,206,46,0,0.281834666666664,0.282383999999997,0.286719999999997,-0.0151227678571417
16072007,47,52,103,2784,3178,394,46,0,0.282623999999997,0.283674666666664,0.286719999999997,-0.010621279761905
16072008,31,39,70,1928,2192,264,46,0,0.281621333333331,0.282325333333331,0.286719999999997,-0.0153273809523787
16072009,15,20,36,968,1100,132,46,0,0.280085333333331,0.280437333333331,0.286719999999997,-0.02191220238095
16072010,21,27,51,1344,1530,186,46,0,0.280575999999997,0.281071999999997,0.286719999999997,-0.0196986607142858
16072011,36,41,76,2128,2424,296,46,0,0.280618666666664,0.281407999999997,0.286719999999997,-0.0185267857142847
16072012,16,19,34,960,1092,132,46,0,0.279551999999997,0.279903999999997,0.286719999999997,-0.0237723214285714
16072013,27,33,63,1680,1914,234,46,0,0.281727999999997,0.282351999999997,0.286719999999997,-0.0152343750000001
16072014,17,21,41,1072,1222,150,46,0,0.279850666666664,0.280250666666664,0.286719999999997,-0.0225632440476179
16072015,31,45,73,2048,2318,270,46,0,0.282197333333331,0.282917333333331,0.286719999999997,-0.0132626488095214
16072016,21,29,52,1384,1572,188,46,0,0.280682666666664,0.281183999999997,0.286719999999997,-0.0193080357142845
16072017,31,42,73,2000,2270,270,46,0,0.282837333333331,0.283557333333331,0.286719999999997,-0.0110305059523786
16072018,35,40,78,2104,2400,296,46,0,0.282090666666664,0.282879999999997,0.286719999999997,-0.0133928571428562
16072019,16,20,38,1008,1148,140,46,0,0.280191999999997,0.28056533333333,0.286719999999997,-0.021465773809524
16072020,20,28,51,1336,1518,182,46,0,0.281066666666664,0.281551999999997,0.286719999999997,-0.0180245535714274
16072021,24,30,53,1480,1682,202,46,0,0.281706666666664,0.282245333333331,0.286719999999997,-0.0156063988095226
16072022,20,33,53,1432,1618,186,46,0,0.281322666666664,0.281818666666664,0.286719999999997,-0.017094494047618
16072023,27,33,63,1680,1914,234,46,0,0.280447999999997,0.281071999999997,0.286719999999997,-0.0196986607142858
16072024,23,29,55,1456,1658,202,46,0,0.280618666666664,0.281157333333331,0.286719999999997,-0.0194010416666655
16072025,27,30,58,1592,1816,224,46,0,0.281237333333331,0.281834666666664,0.286719999999997,-0.0170386904761882
16072026,27,34,64,1704,1940,236,46,0,0.282047999999997,0.28267733333333,0.286719999999997,-0.0140997023809525
16072027,22,29,51,1400,1590,190,46,0,0.280725333333331,0.281231999999998,0.286719999999997,-0.0191406249999978
16072028,21,32,51,1424,1610,186,46,0,0.280533333333331,0.281029333333331,0.286719999999997,-0.019847470238093
16072029,23,25,49,1344,1534,190,46,0,0.280319999999997,0.280826666666664,0.286719999999997,-0.0205543154761906
16072030,27,40,65,1808,2046,238,46,0,0.282325333333331,0.282959999999998,0.286719999999997,-0.0131138392857121
16072031,32,43,78,2080,2364,284,46,0,0.283306666666664,0.284063999999997,0.286719999999997,-0.00926339285714173
16072032,29,44,77,2016,2286,270,46,0,0.282623999999997,0.283343999999997,0.286719999999997,-0.0117745535714286
16072033,27,35,71,1776,2026,250,46,0,0.281983999999997,0.282650666666664,0.286719999999997,-0.0141927083333334
16072034,20,27,48,1296,1472,176,46,0,0.280447999999997,0.28091733333333,0.286719999999997,-0.0202380952380955
16072035,30,34,69,1816,2074,258,46,0,0.280298666666664,0.280986666666664,0.286719999999997,-0.0199962797619038
16072036,26,40,67,1800,2038,238,46,0,0.282047999999997,0.282682666666664,0.286719999999997,-0.0140811011904761
16072037,25,31,60,1576,1796,220,46,0,0.280938666666664,0.281525333333331,0.286719999999997,-0.0181175595238084
16072038,20,29,50,1344,1524,180,46,0,0.281343999999997,0.281823999999997,0.286719999999997,-0.0170758928571431
16072039,18,19,37,1032,1178,146,46,0,0.279743999999997,0.28013333333333,0.286719999999997,-0.0229724702380953
16072040,14,15,30,816,932,116,46,0,0.279679999999997,0.27998933333333,0.286719999999997,-0.0234747023809526
16072041,25,41,64,1768,1996,228,46,0,0.281706666666664,0.282314666666664,0.286719999999997,-0.0153645833333322
16072042,22,34,57,1528,1730,202,46,0,0.281322666666664,0.281861333333331,0.286719999999997,-0.0169456845238084
16072043,19,31,49,1344,1518,174,46,0,0.280575999999997,0.281039999999997,0.286719999999997,-0.0198102678571429
16072044,16,25,42,1120,1268,148,46,0,0.280490666666664,0.280885333333331,0.286719999999997,-0.0203497023809514
16072045,27,33,59,1648,1874,226,46,0,0.281130666666664,0.281733333333331,0.286719999999997,-0.0173921130952372
16072046,30,39,72,1920,2184,264,46,0,0.282367999999997,0.283071999999997,0.286719999999997,-0.0127232142857143
16072047,16,25,41,1112,1258,146,46,0,0.279701333333331,0.280090666666664,0.286719999999997,-0.0231212797619025
16072048,31,40,72,1960,2228,268,46,0,0.282730666666664,0.283445333333331,0.286719999999997,-0.0114211309523798
16072049,21,25,48,1288,1468,180,46,0,0.280938666666664,0.281418666666664,0.286719999999997,-0.0184895833333323
16072050,35,47,84,2264,2572,308,46,0,0.283029333333331,0.283850666666664,0.286719999999997,-0.0100074404761881
16072051,39,50,93,2480,2822,342,46,0,0.283349333333331,0.284261333333331,0.286719999999997,-0.00857514880952137
16072052,28,39,70,1856,2108,252,46,0,0.281429333333331,0.282101333333331,0.286719999999997,-0.0161086309523788
16072053,23,35,59,1584,1794,210,46,0,0.281727999999997,0.282287999999997,0.286719999999997,-0.0154575892857144
16072054,28,47,76,2032,2296,264,46,0,0.281386666666664,0.282090666666664,0.286719999999997,-0.0161458333333323
16072055,27,30,58,1592,1816,224,46,0,0.280981333333331,0.281578666666664,0.286719999999997,-0.0179315476190455
16072056,24,32,56,1536,1744,208,46,0,0.280831999999997,0.281386666666664,0.286719999999997,-0.0186011904761908
16072057,20,20,39,1112,1270,158,46,0,0.279957333333331,0.280378666666664,0.286719999999997,-0.0221168154761883
16072058,31,38,69,1904,2166,262,46,0,0.281557333333331,0.282255999999998,0.286719999999997,-0.0155691964285691
16072059,28,41,70,1888,2140,252,46,0,0.281770666666664,0.282442666666664,0.286719999999997,-0.0149181547619036
16072060,22,27,55,1400,1598,198,46,0,0.280981333333331,0.281509333333331,0.286719999999997,-0.0181733630952361
