seed,N,conditionIndex,positionError,velocityError,BASE_REALIZATION_HASH,STATE_HASH_EXACT,MANAGEMENT_GRAPH_HASH,SELECTOR_HASH_EXACT,selectedHorizonSec,selectedIndex,selectedEdgeCount,selectedColorCount,selectedWitnessCovered,selectedPayloadFits,targetHorizonSelected,noLeaseIssued,infeasibleHorizonCount,actualSubsetViolations,sameColorConflictViolations,horizonMonotonicViolations,normalSelfRevocations,injectedViolationMisses,futureRandomReads,receiverTruthDecisionReads,condition
16074001,5,1,0.02,0.02,34380400,8648475,2460,4890910,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074001,5,2,0.3,0.1,34380400,8069132,2460,7242071,0.5,2,1,2,1,1,0,0,4,0,0,0,0,0,0,0,high-uncertainty
16074001,10,1,0.02,0.02,73294355,16173714,36657,5092935,1,3,6,3,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074001,10,2,0.3,0.1,73294355,16904120,36657,5771330,0.5,2,8,3,1,1,0,0,4,0,0,0,0,0,0,0,high-uncertainty
16074002,5,1,0.02,0.02,34704184,8247470,2450,4951974,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074002,5,2,0.3,0.1,34704184,7668127,2450,5313847,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074002,10,1,0.02,0.02,67785697,15642128,36348,7115093,0.5,2,2,2,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074002,10,2,0.3,0.1,67785697,16372534,36348,4888197,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074003,5,1,0.02,0.02,35584539,8959607,2450,5110689,2,4,0,1,1,1,0,0,2,0,0,0,0,0,0,0,low-uncertainty
16074003,5,2,0.3,0.1,35584539,8380264,2450,5346803,0.5,2,0,1,1,1,0,0,4,0,0,0,0,0,0,0,high-uncertainty
16074003,10,1,0.02,0.02,70098346,16073134,36370,7130060,0.5,2,3,2,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
