seed,N,conditionIndex,positionError,velocityError,BASE_REALIZATION_HASH,STATE_HASH_EXACT,MANAGEMENT_GRAPH_HASH,SELECTOR_HASH_EXACT,selectedHorizonSec,selectedIndex,selectedEdgeCount,selectedColorCount,selectedWitnessCovered,selectedPayloadFits,targetHorizonSelected,noLeaseIssued,infeasibleHorizonCount,actualSubsetViolations,sameColorConflictViolations,horizonMonotonicViolations,normalSelfRevocations,injectedViolationMisses,futureRandomReads,receiverTruthDecisionReads,condition,speedScale,accelerationScale,managementRadius
16075001,5,1,0.02,0.02,29432487,4205143,2730,5823167,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075001,5,2,0.02,0.02,29432487,13458857,2478,5700173,0.5,2,0,1,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075001,5,3,0.3,0.1,29432487,15172542,2478,6191421,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075001,10,1,0.02,0.02,65406220,12125276,40685,5747534,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075001,10,2,0.02,0.02,65406220,27191248,36348,7227916,0.5,2,2,2,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075001,10,3,0.3,0.1,65406220,26608036,36348,4987113,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075002,5,1,0.02,0.02,30863578,4970179,2730,5525470,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075002,5,2,0.02,0.02,30863578,15038060,2478,4156596,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075002,5,3,0.3,0.1,30863578,16751745,2478,4504208,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075002,10,1,0.02,0.02,72239563,12160513,40685,4190606,6.8,6,2,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075002,10,2,0.02,0.02,72239563,28685947,36473,5110380,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
