seed,N,conditionIndex,positionError,velocityError,BASE_REALIZATION_HASH,STATE_HASH_EXACT,MANAGEMENT_GRAPH_HASH,SELECTOR_HASH_EXACT,selectedHorizonSec,selectedIndex,selectedEdgeCount,selectedColorCount,selectedWitnessCovered,selectedPayloadFits,targetHorizonSelected,noLeaseIssued,infeasibleHorizonCount,actualSubsetViolations,sameColorConflictViolations,horizonMonotonicViolations,normalSelfRevocations,injectedViolationMisses,futureRandomReads,receiverTruthDecisionReads,condition,speedScale,accelerationScale,managementRadius,DATA_NEIGHBOR_GRAPH_HASH,dataNeighborEdges,selectedPhysicalEdges,hiddenSenderConflictEdges
16076001,5,1,0.02,0.02,34411066,4725144,2730,5086708,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2466,1,0,0
16076001,5,2,0.02,0.02,34411066,15211057,2466,6127120,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2466,1,2,10
16076001,5,3,0.3,0.1,34411066,16924742,2466,4812319,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2466,1,2,14
16076001,10,1,0.02,0.02,66088897,11393484,40685,6669871,6.8,6,5,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36374,4,4,6
16076001,10,2,0.02,0.02,66088897,22143040,36374,5335401,2,4,5,3,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36374,4,5,64
16076001,10,3,0.3,0.1,66088897,21559828,36374,5223553,1,3,5,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36374,4,5,86
16076002,5,1,0.02,0.02,32369586,4836476,2730,5445796,6.8,6,3,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2536,2,2,6
16076002,5,2,0.02,0.02,32369586,14059278,2536,5252419,2,4,3,3,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2536,2,3,16
16076002,5,3,0.3,0.1,32369586,15772963,2536,6015794,1,3,3,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2536,2,3,20
16076002,10,1,0.02,0.02,73530503,11596674,40685,4967812,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36142,1,1,0
