seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,SCHEDULE_STATE_HASH,WITNESS_HASH_EXACT,CONFLICT_EDGES,HIDDEN_CONFLICT_EDGES,MAX_WITNESS_LOAD,FINAL_ALL_CERTIFIED,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,CLAIM_ATTEMPTS,CERTIFICATE_ATTEMPTS,CONTROL_ATTEMPTS,CONTROL_ATTEMPT_BOUND,CONTROL_ATTEMPT_BOUND_RATIO,CLAIM_BYTES,NOMINAL_CONTROL_ATTEMPT_BOUND,CERTIFICATE_BYTES,CONTROL_BYTES,CONTROL_BYTE_BOUND,CONTROL_BYTE_BOUND_RATIO,NOMINAL_CONTROL_BYTE_BOUND,CERTIFICATE_ENTRIES_ATTEMPTED,RESPONSE_ENTRIES_ATTEMPTED,RETRY_CLAIM_ATTEMPTS,LOCAL_CERTIFICATE_ENTRIES,CERTIFICATE_WITHOUT_FRESH_CLAIMS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,MAX_FALLBACK_ATTEMPTS_PER_NODE_FRAME,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_WITNESS,BLACKOUT_CLIENT_FINAL_ACTIVE,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS,retryMode,CUMULATIVE_RECEIPT_RETRY,CLAIM_TRANSACTION_STARTS,FINAL_OPEN_CLAIM_TRANSACTIONS,BACKGROUND_LOAD,BACKGROUND_TRACE_HASH_EXACT,BACKGROUND_OVERLAY_HASH_EXACT,BACKGROUND_POTENTIAL_HITS,geometryIndex,networkIndex,BASE_GEOMETRY_HASH,DATA_NEIGHBOR_GRAPH_HASH,MANAGEMENT_GRAPH_HASH,SELECTOR_HASH_EXACT,SELECTED_HORIZON_SEC,SELECTED_HORIZON_INDEX,SELECTED_CONFLICT_EDGES,SELECTED_HIDDEN_EDGES,COHERENCE_ENABLED,COHERENCE_ADMISSIBLE,COHERENCE_HORIZON_FRAMES,RENEWAL_PERIOD_FRAMES,LEASE_FRAMES,CLAIM_PACKET_BYTES,CERTIFICATE_HEADER_BYTES,CERTIFICATE_ENTRY_BYTES,REVOKE_PACKET_BYTES,MAX_RESPONSE_PACKET_BYTES,PACKET_MTU_VIOLATIONS,BLACKOUT_APPLIED,SELF_REVOCATIONS,REVOKE_ATTEMPTS,REVOKE_BYTES,geometryCondition,networkCondition,bindingReason
16077001,static-wide-low,static-wide-low,zero,zero,zero,5,30404918204,30404918204,32765034,16601553,38966,2,0,1,1,1,1,0,400,0,15,6,21,2800,0.0075,420,21,156,576,76800,0.0075,576,6,6,0,0,0,84,84,0,0,2000,0,1600,800,0,800,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,15,0,0,31340844689,NaN,0,1,1,38924752,2494,2730,5382782,6.8,6,2,0,1,1,141,134,141,28,16,10,24,26,0,0,0,0,0,static-wide-low,zero,admissible
16077001,static-wide-low,static-wide-low,claim-iid5,claim-iid5,claim-iid5,5,30404918204,30404918204,33150599,16601594,38966,2,0,1,1,1,1,0,400,0,17,8,25,2800,0.00892857142857143,476,21,208,684,76800,0.00890625,576,8,8,1,0,0,100,99,1,0,2000,0,1600,800,0,800,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,16,0,0,31340844689,NaN,0,1,2,38924752,2494,2730,5382782,6.8,6,2,0,1,1,141,134,141,28,16,10,24,26,0,0,0,0,0,static-wide-low,claim-iid5,admissible
16077001,static-wide-low,static-wide-low,response-iid5,response-iid5,response-iid5,5,30404918204,30404918204,33150599,16601553,38966,2,0,1,1,1,1,0,400,0,15,6,21,2800,0.0075,420,21,156,576,76800,0.0075,576,6,6,0,0,0,84,82,2,0,2000,0,1600,800,0,800,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,15,0,0,31340844689,NaN,0,1,3,38924752,2494,2730,5382782,6.8,6,2,0,1,1,141,134,141,28,16,10,24,26,0,0,0,0,0,static-wide-low,response-iid5,admissible
16077001,static-wide-low,static-wide-low,joint-control-iid5,joint-control-iid5,joint-control-iid5,5,30404918204,30404918204,33536164,16601594,38966,2,0,1,1,1,1,0,400,0,17,8,25,2800,0.00892857142857143,476,21,208,684,76800,0.00890625,576,8,8,1,0,0,100,97,3,0,2000,0,1600,800,0,800,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,16,0,0,31340844689,NaN,0,1,4,38924752,2494,2730,5382782,6.8,6,2,0,1,1,141,134,141,28,16,10,24,26,0,0,0,0,0,static-wide-low,joint-control-iid5,admissible
16077001,static-wide-low,static-wide-low,iid-occupancy15,iid-occupancy15,iid-occupancy15,5,30404918204,21357659991,32765034,16601588,38966,2,0,1,1,1,1,0,400,0,22,12,34,2800,0.0121428571428571,616,21,312,928,76800,0.0120833333333333,576,12,12,7,0,0,136,96,40,0,2000,0,1600,390,410,800,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,15,0,0.15,31340844689,774062,3710,1,5,38924752,2494,2730,5382782,6.8,6,2,0,1,1,141,134,141,28,16,10,24,26,0,0,0,0,0,static-wide-low,iid-occupancy15,admissible
16077001,static-wide-low,static-wide-low,directed-response-blackout,directed-response-blackout,directed-response-blackout,5,30404918204,25556320367,32765034,16173188,38966,2,0,1,0,NaN,0.8,0,0,0,412,403,815,2800,0.291071428571429,11536,21,10478,22014,76800,0.286640625,576,403,403,399,0,0,3260,2860,400,0,1600,140,1200,1200,0,0,140,140,0,0,1,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,13,1,0,31340844689,NaN,0,1,6,38924752,2494,2730,5382782,6.8,6,2,0,1,1,141,134,141,28,16,10,24,26,0,1,0,0,0,static-wide-low,directed-response-blackout,admissible
16077001,mobile-limited-low,mobile-limited-low,zero,zero,zero,5,30404918204,30404918204,32147500,16740760,38052,3,1,2,1,1,1,0,0,0,60,24,84,2800,0.03,1680,84,744,2424,80800,0.03,2424,36,36,0,12,0,84,84,0,0,2000,0,1600,1600,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,60,0,0,31340844689,NaN,0,2,1,38924752,2494,2494,3802442,2,4,3,1,1,1,41,34,41,28,16,10,24,36,0,0,0,0,0,mobile-limited-low,zero,admissible
16077001,mobile-limited-low,mobile-limited-low,claim-iid5,claim-iid5,claim-iid5,5,30404918204,30404918204,32533065,16740898,38052,3,1,2,1,1,1,0,0,0,66,30,96,2800,0.0342857142857143,1848,84,930,2778,80800,0.0343811881188119,2424,45,45,4,15,0,101,96,5,0,2000,0,1600,1600,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,62,0,0,31340844689,NaN,0,2,2,38924752,2494,2494,3802442,2,4,3,1,1,1,41,34,41,28,16,10,24,36,0,0,0,0,0,mobile-limited-low,claim-iid5,admissible
16077001,mobile-limited-low,mobile-limited-low,response-iid5,response-iid5,response-iid5,5,30404918204,30404918204,32533065,16739117,38052,3,1,2,1,2,0.9995,0,0,0,63,28,91,2800,0.0325,1764,84,868,2632,80800,0.0325742574257426,2424,42,42,3,13,0,94,91,3,0,1999,0,1599,1599,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,60,0,0,31340844689,NaN,0,2,3,38924752,2494,2494,3802442,2,4,3,1,1,1,41,34,41,28,16,10,24,36,0,0,0,0,0,mobile-limited-low,response-iid5,admissible
16077001,mobile-limited-low,mobile-limited-low,joint-control-iid5,joint-control-iid5,joint-control-iid5,5,30404918204,30404918204,32918630,16739255,38052,3,1,2,1,2,0.9995,0,0,0,69,34,103,2800,0.0367857142857143,1932,84,1054,2986,80800,0.0369554455445545,2424,51,51,7,16,0,111,103,8,0,1999,0,1599,1599,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,62,0,0,31340844689,NaN,0,2,4,38924752,2494,2494,3802442,2,4,3,1,1,1,41,34,41,28,16,10,24,36,0,0,0,0,0,mobile-limited-low,joint-control-iid5,admissible
