N,geometryCondition,networkCondition,bindingReason,nRuns,admissionRate,meanSelectedHorizonSec,terminalCertificationRate,meanControlAttempts,meanControlBytes,meanRetryClaims,falseValidEdgeFrames,scheduledCollisionFrames
5,mobile-limited-high,claim-iid5,admissible,45,1,2.97555555555556,1,218.711111111111,6037.28888888889,2.57777777777778,0,0
5,mobile-limited-high,claim-iid5,horizon-shorter-than-renewal-slack,4,0,0.25,0,0,0,0,0,0
5,mobile-limited-high,claim-iid5,selector-issued-no-horizon,1,0,0,0,0,0,0,0,0
5,mobile-limited-high,directed-response-blackout,admissible,45,1,2.97555555555556,0.288888888888889,728.844444444444,20052.1333333333,283.733333333333,0,0
5,mobile-limited-high,directed-response-blackout,horizon-shorter-than-renewal-slack,4,0,0.25,0,0,0,0,0,0
5,mobile-limited-high,directed-response-blackout,selector-issued-no-horizon,1,0,0,0,0,0,0,0,0
5,mobile-limited-high,iid-occupancy15,admissible,45,1,2.97555555555556,1,271.422222222222,7472.17777777778,32.3555555555556,0,0
5,mobile-limited-high,iid-occupancy15,horizon-shorter-than-renewal-slack,4,0,0.25,0,0,0,0,0,0
5,mobile-limited-high,iid-occupancy15,selector-issued-no-horizon,1,0,0,0,0,0,0,0,0
5,mobile-limited-high,joint-control-iid5,admissible,45,1,2.97555555555556,1,223.733333333333,6172.88888888889,5.02222222222222,0,0
5,mobile-limited-high,joint-control-iid5,horizon-shorter-than-renewal-slack,4,0,0.25,0,0,0,0,0,0
5,mobile-limited-high,joint-control-iid5,selector-issued-no-horizon,1,0,0,0,0,0,0,0,0
5,mobile-limited-high,response-iid5,admissible,45,1,2.97555555555556,1,217.244444444444,5996.88888888889,2.42222222222222,0,0
5,mobile-limited-high,response-iid5,horizon-shorter-than-renewal-slack,4,0,0.25,0,0,0,0,0,0
5,mobile-limited-high,response-iid5,selector-issued-no-horizon,1,0,0,0,0,0,0,0,0
5,mobile-limited-high,zero,admissible,45,1,2.97555555555556,1,211.866666666667,5851.86666666667,0,0,0
5,mobile-limited-high,zero,horizon-shorter-than-renewal-slack,4,0,0.25,0,0,0,0,0,0
5,mobile-limited-high,zero,selector-issued-no-horizon,1,0,0,0,0,0,0,0,0
5,mobile-limited-low,claim-iid5,admissible,50,1,3.048,1,90.28,2495.16,1.18,0,400
5,mobile-limited-low,directed-response-blackout,admissible,50,1,3.048,0.26,675.66,18511.28,295.26,0,400
5,mobile-limited-low,iid-occupancy15,admissible,50,1,3.048,1,114.36,3149.6,13.2,0,399
5,mobile-limited-low,joint-control-iid5,admissible,50,1,3.048,1,92.28,2549.52,2.06,0,400
5,mobile-limited-low,response-iid5,admissible,50,1,3.048,1,89.28,2467.8,0.86,0,400
5,mobile-limited-low,zero,admissible,50,1,3.048,1,87.3,2414,0,0,400
5,static-wide-low,claim-iid5,admissible,50,1,6.8,1,19.62,541.64,0.28,0,800
5,static-wide-low,directed-response-blackout,admissible,50,1,6.8,0.26,645.9,17411.6,295.26,0,400
5,static-wide-low,iid-occupancy15,admissible,50,1,6.8,1,25.34,696.96,3.42,0,799
5,static-wide-low,joint-control-iid5,admissible,50,1,6.8,1,20.06,553.48,0.5,0,800
5,static-wide-low,response-iid5,admissible,50,1,6.8,1,19.28,532.44,0.18,0,800
5,static-wide-low,zero,admissible,50,1,6.8,1,18.88,521.68,0,0,800
10,mobile-limited-high,claim-iid5,admissible,7,1,1,1,1835.42857142857,50990.5714285714,43.2857142857143,0,0
10,mobile-limited-high,claim-iid5,horizon-shorter-than-renewal-slack,19,0,0.394736842105263,0,0,0,0,0,0
10,mobile-limited-high,claim-iid5,selector-issued-no-horizon,24,0,0,0,0,0,0,0,0
10,mobile-limited-high,directed-response-blackout,admissible,7,1,1,0,2494.28571428571,68902.2857142857,399,0,0
10,mobile-limited-high,directed-response-blackout,horizon-shorter-than-renewal-slack,19,0,0.394736842105263,0,0,0,0,0,0
10,mobile-limited-high,directed-response-blackout,selector-issued-no-horizon,24,0,0,0,0,0,0,0,0
10,mobile-limited-high,iid-occupancy15,admissible,7,1,1,1,2774.42857142857,76882.2857142857,474.285714285714,0,0
10,mobile-limited-high,iid-occupancy15,horizon-shorter-than-renewal-slack,19,0,0.394736842105263,0,0,0,0,0,0
10,mobile-limited-high,iid-occupancy15,selector-issued-no-horizon,24,0,0,0,0,0,0,0,0
10,mobile-limited-high,joint-control-iid5,admissible,7,1,1,1,1957.57142857143,54344.8571428571,89.1428571428571,0,0
10,mobile-limited-high,joint-control-iid5,horizon-shorter-than-renewal-slack,19,0,0.394736842105263,0,0,0,0,0,0
10,mobile-limited-high,joint-control-iid5,selector-issued-no-horizon,24,0,0,0,0,0,0,0,0
10,mobile-limited-high,response-iid5,admissible,7,1,1,1,1813.14285714286,50355.7142857143,46,0,0
10,mobile-limited-high,response-iid5,horizon-shorter-than-renewal-slack,19,0,0.394736842105263,0,0,0,0,0,0
10,mobile-limited-high,response-iid5,selector-issued-no-horizon,24,0,0,0,0,0,0,0,0
10,mobile-limited-high,zero,admissible,7,1,1,1,1675.14285714286,46599.4285714286,0,0,0
10,mobile-limited-high,zero,horizon-shorter-than-renewal-slack,19,0,0.394736842105263,0,0,0,0,0,0
10,mobile-limited-high,zero,selector-issued-no-horizon,24,0,0,0,0,0,0,0,0
10,mobile-limited-low,claim-iid5,admissible,41,1,1.1219512195122,1,1467.26829268293,41031.5121951219,30.2926829268293,0,0
10,mobile-limited-low,claim-iid5,horizon-shorter-than-renewal-slack,9,0,0.5,0,0,0,0,0,0
10,mobile-limited-low,directed-response-blackout,admissible,41,1,1.1219512195122,0,2189.07317073171,60573.756097561,399,0,0
10,mobile-limited-low,directed-response-blackout,horizon-shorter-than-renewal-slack,9,0,0.5,0,0,0,0,0,0
10,mobile-limited-low,iid-occupancy15,admissible,41,1,1.1219512195122,1,2156.34146341463,60228.8292682927,352.414634146341,0,0
10,mobile-limited-low,iid-occupancy15,horizon-shorter-than-renewal-slack,9,0,0.5,0,0,0,0,0,0
10,mobile-limited-low,joint-control-iid5,admissible,41,1,1.1219512195122,1,1545.58536585366,43195.6585365854,59.8536585365854,0,0
10,mobile-limited-low,joint-control-iid5,horizon-shorter-than-renewal-slack,9,0,0.5,0,0,0,0,0,0
10,mobile-limited-low,response-iid5,admissible,41,1,1.1219512195122,1,1447.07317073171,40438.0975609756,29.9268292682927,0,0
10,mobile-limited-low,response-iid5,horizon-shorter-than-renewal-slack,9,0,0.5,0,0,0,0,0,0
10,mobile-limited-low,zero,admissible,41,1,1.1219512195122,1,1358.39024390244,37997.4146341463,0,0,0
10,mobile-limited-low,zero,horizon-shorter-than-renewal-slack,9,0,0.5,0,0,0,0,0,0
10,static-wide-low,claim-iid5,admissible,50,1,6.8,1,101.48,2777.52,2.16,0,400
10,static-wide-low,directed-response-blackout,admissible,50,1,6.8,0,1234.58,33018.04,399,0,400
10,static-wide-low,iid-occupancy15,admissible,50,1,6.8,1,167.08,4553.04,29.48,0,400
