seed,N,conditionIndex,positionError,velocityError,BASE_REALIZATION_HASH,STATE_HASH_EXACT,MANAGEMENT_GRAPH_HASH,SELECTOR_HASH_EXACT,selectedHorizonSec,selectedIndex,selectedEdgeCount,selectedColorCount,selectedWitnessCovered,selectedPayloadFits,targetHorizonSelected,noLeaseIssued,infeasibleHorizonCount,actualSubsetViolations,sameColorConflictViolations,horizonMonotonicViolations,normalSelfRevocations,injectedViolationMisses,futureRandomReads,receiverTruthDecisionReads,condition,speedScale,accelerationScale,managementRadius,DATA_NEIGHBOR_GRAPH_HASH,dataNeighborEdges,selectedPhysicalEdges,hiddenSenderConflictEdges,reachOnlyActualConflictEdges,directDeliveryCollisionViolations
16078001,5,1,0.02,0.02,28574697,4586709,2730,5818370,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2450,0,0,0,0,0
16078001,5,2,0.02,0.02,28574697,12443255,2450,6363613,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2450,0,10,0,0,0
16078001,5,3,0.3,0.1,28574697,14156940,2450,4983377,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2450,0,10,0,0,0
16078001,10,1,0.02,0.02,69292649,11509550,40685,5387056,6.8,6,2,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36201,2,2,0,0,0
16078001,10,2,0.02,0.02,69292649,27574978,36201,8774079,0.5,2,2,2,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36201,2,1,59,0,0
16078001,10,3,0.3,0.1,69292649,26991766,36201,4658918,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36201,2,0,81,0,0
16078002,5,1,0.02,0.02,29693971,4728111,2730,6067171,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2450,0,0,0,0,0
16078002,5,2,0.02,0.02,29693971,13137166,2450,5726434,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2450,0,10,0,0,0
16078002,5,3,0.3,0.1,29693971,14850851,2450,6418696,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2450,0,10,0,0,0
16078002,10,1,0.02,0.02,66581981,12379652,40685,4930359,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36050,0,0,0,0,0
16078002,10,2,0.02,0.02,66581981,25658505,36050,5685037,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36050,0,45,0,0,0
16078002,10,3,0.3,0.1,66581981,25075293,36050,6062460,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36050,0,45,0,0,0
16078003,5,1,0.02,0.02,34819585,4493609,2730,6795886,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2496,1,1,0,0,0
16078003,5,2,0.02,0.02,34819585,11713161,2496,4146736,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2496,1,1,10,0,0
16078003,5,3,0.3,0.1,34819585,13426846,2496,4906895,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2496,1,1,15,0,0
16078003,10,1,0.02,0.02,72436558,11505930,40685,6855917,6.8,6,9,4,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36613,6,4,18,0,0
16078003,10,2,0.02,0.02,72436558,26968538,36613,4217395,1,3,9,4,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36613,6,5,89,213,0
16078003,10,3,0.3,0.1,72436558,26385326,36613,6285432,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36613,6,0,107,435,0
16078004,5,1,0.02,0.02,37240113,4091800,2730,5264114,6.8,6,2,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2512,2,1,0,0,0
16078004,5,2,0.02,0.02,37240113,11981412,2512,5202704,2,4,2,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2512,2,2,10,0,0
16078004,5,3,0.3,0.1,37240113,13695097,2512,5941056,2,4,2,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2512,2,2,14,0,0
16078004,10,1,0.02,0.02,70010846,11897371,40685,5657480,6.8,6,7,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36543,5,3,12,0,0
16078004,10,2,0.02,0.02,70010846,28608158,36543,6099170,1,3,7,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36543,5,4,77,168,0
16078004,10,3,0.3,0.1,70010846,28024946,36543,6525314,0.25,1,7,3,1,1,0,0,5,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36543,5,5,95,149,0
16078005,5,1,0.02,0.02,35417169,4640204,2730,5243878,6.8,6,2,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2506,2,1,0,0,0
16078005,5,2,0.02,0.02,35417169,11532305,2506,5505100,2,4,2,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,2506,2,2,14,0,0
16078005,5,3,0.3,0.1,35417169,13245990,2506,5218763,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,2506,2,2,18,0,0
16078005,10,1,0.02,0.02,69937245,11750169,40685,6667836,6.8,6,7,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,36734,6,6,6,0,0
16078005,10,2,0.02,0.02,69937245,26228978,36734,4110691,1,3,7,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5,36734,6,6,68,69,0
16078005,10,3,0.3,0.1,69937245,25645766,36734,4833818,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5,36734,6,0,87,55,0
16078006,5,1,0.02,0.02,39690954,4799190,2730,5530201,6.8,6,2,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf,2512,2,2,0,0,0
