seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,SCHEDULE_STATE_HASH,WITNESS_HASH_EXACT,CONFLICT_EDGES,HIDDEN_CONFLICT_EDGES,MAX_WITNESS_LOAD,FINAL_ALL_CERTIFIED,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,CLAIM_ATTEMPTS,CERTIFICATE_ATTEMPTS,CONTROL_ATTEMPTS,CONTROL_ATTEMPT_BOUND,CONTROL_ATTEMPT_BOUND_RATIO,CLAIM_BYTES,NOMINAL_CONTROL_ATTEMPT_BOUND,CERTIFICATE_BYTES,CONTROL_BYTES,CONTROL_BYTE_BOUND,CONTROL_BYTE_BOUND_RATIO,NOMINAL_CONTROL_BYTE_BOUND,CERTIFICATE_ENTRIES_ATTEMPTED,RESPONSE_ENTRIES_ATTEMPTED,RETRY_CLAIM_ATTEMPTS,LOCAL_CERTIFICATE_ENTRIES,CERTIFICATE_WITHOUT_FRESH_CLAIMS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,MAX_FALLBACK_ATTEMPTS_PER_NODE_FRAME,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_WITNESS,BLACKOUT_CLIENT_FINAL_ACTIVE,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS,retryMode,CUMULATIVE_RECEIPT_RETRY,CLAIM_TRANSACTION_STARTS,FINAL_OPEN_CLAIM_TRANSACTIONS,BACKGROUND_LOAD,BACKGROUND_TRACE_HASH_EXACT,BACKGROUND_OVERLAY_HASH_EXACT,BACKGROUND_POTENTIAL_HITS,geometryIndex,networkIndex,BASE_GEOMETRY_HASH,DATA_NEIGHBOR_GRAPH_HASH,MANAGEMENT_GRAPH_HASH,SELECTOR_HASH_EXACT,SELECTED_HORIZON_SEC,SELECTED_HORIZON_INDEX,SELECTED_CONFLICT_EDGES,SELECTED_HIDDEN_EDGES,COHERENCE_ENABLED,COHERENCE_ADMISSIBLE,COHERENCE_HORIZON_FRAMES,RENEWAL_PERIOD_FRAMES,LEASE_FRAMES,CLAIM_PACKET_BYTES,CERTIFICATE_HEADER_BYTES,CERTIFICATE_ENTRY_BYTES,REVOKE_PACKET_BYTES,MAX_RESPONSE_PACKET_BYTES,PACKET_MTU_VIOLATIONS,BLACKOUT_APPLIED,SELF_REVOCATIONS,REVOKE_ATTEMPTS,REVOKE_BYTES,geometryCondition,networkCondition,bindingReason
16079001,static-wide-low,static-wide-low,zero,zero,zero,5,30302262046,30302262046,33224997,16471446,37876,1,0,1,1,1,1,0,0,0,15,3,18,2400,0.0075,420,18,78,498,66400,0.0075,498,3,3,0,0,0,72,72,0,0,2000,0,800,800,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,15,0,0,31622911654,NaN,0,1,1,39577305,2478,2730,5777266,6.8,6,1,0,1,1,148,141,148,28,16,10,24,26,0,0,0,0,0,static-wide-low,zero,admissible
16079001,static-wide-low,static-wide-low,claim-iid5,claim-iid5,claim-iid5,5,30302262046,30302262046,33610562,16471446,37876,1,0,1,1,1,1,0,0,0,15,3,18,2400,0.0075,420,18,78,498,66400,0.0075,498,3,3,0,0,0,72,71,1,0,2000,0,800,800,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,15,0,0,31622911654,NaN,0,1,2,39577305,2478,2730,5777266,6.8,6,1,0,1,1,148,141,148,28,16,10,24,26,0,0,0,0,0,static-wide-low,claim-iid5,admissible
16079001,static-wide-low,static-wide-low,response-iid5,response-iid5,response-iid5,5,30302262046,30302262046,33610562,16471446,37876,1,0,1,1,1,1,0,0,0,16,4,20,2400,0.00833333333333333,448,18,104,552,66400,0.00831325301204819,498,4,4,1,0,0,80,79,1,0,2000,0,800,800,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,15,0,0,31622911654,NaN,0,1,3,39577305,2478,2730,5777266,6.8,6,1,0,1,1,148,141,148,28,16,10,24,26,0,0,0,0,0,static-wide-low,response-iid5,admissible
16079001,static-wide-low,static-wide-low,joint-control-iid5,joint-control-iid5,joint-control-iid5,5,30302262046,30302262046,33996127,16471446,37876,1,0,1,1,1,1,0,0,0,16,4,20,2400,0.00833333333333333,448,18,104,552,66400,0.00831325301204819,498,4,4,1,0,0,80,78,2,0,2000,0,800,800,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,15,0,0,31622911654,NaN,0,1,4,39577305,2478,2730,5777266,6.8,6,1,0,1,1,148,141,148,28,16,10,24,26,0,0,0,0,0,static-wide-low,joint-control-iid5,admissible
16079001,static-wide-low,static-wide-low,iid-occupancy15,iid-occupancy15,iid-occupancy15,5,30302262046,21757357625,33224997,16469817,37876,1,0,1,1,2,0.9995,0,0,0,18,5,23,2400,0.00958333333333333,504,18,130,634,66400,0.00954819277108434,498,5,5,3,0,0,92,60,32,0,1999,1,799,439,360,0,1,0,1,0,1,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,15,0,0.15,31622911654,1257440,3506,1,5,39577305,2478,2730,5777266,6.8,6,1,0,1,1,148,141,148,28,16,10,24,26,0,0,0,0,0,static-wide-low,iid-occupancy15,admissible
16079001,static-wide-low,static-wide-low,directed-response-blackout,directed-response-blackout,directed-response-blackout,5,30302262046,25461288716,33224997,15727771,37876,1,0,1,0,NaN,0.8,0,0,0,412,400,812,2400,0.338333333333333,11536,18,10400,21936,66400,0.330361445783133,498,400,400,399,0,0,3248,2848,400,0,1600,143,400,400,0,0,143,143,0,0,1,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,13,1,0,31622911654,NaN,0,1,6,39577305,2478,2730,5777266,6.8,6,1,0,1,1,148,141,148,28,16,10,24,26,0,1,0,0,0,static-wide-low,directed-response-blackout,admissible
16079001,mobile-limited-low,mobile-limited-low,zero,zero,zero,5,30302262046,30302262046,32398576,16472733,36640,1,0,1,1,1,1,0,0,0,60,12,72,2400,0.03,1680,72,312,1992,66400,0.03,1992,12,12,0,0,0,36,36,0,0,2000,0,800,800,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,60,0,0,31622911654,NaN,0,2,1,39577305,2478,2478,4914091,2,4,1,0,1,1,43,36,43,28,16,10,24,26,0,0,0,0,0,mobile-limited-low,zero,admissible
16079001,mobile-limited-low,mobile-limited-low,claim-iid5,claim-iid5,claim-iid5,5,30302262046,30302262046,32784141,16472733,36640,1,0,1,1,1,1,0,0,0,60,12,72,2400,0.03,1680,72,312,1992,66400,0.03,1992,12,12,0,0,0,36,36,0,0,2000,0,800,800,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,60,0,0,31622911654,NaN,0,2,2,39577305,2478,2478,4914091,2,4,1,0,1,1,43,36,43,28,16,10,24,26,0,0,0,0,0,mobile-limited-low,claim-iid5,admissible
16079001,mobile-limited-low,mobile-limited-low,response-iid5,response-iid5,response-iid5,5,30302262046,30302262046,32784141,16472733,36640,1,0,1,1,1,1,0,0,0,62,14,76,2400,0.0316666666666667,1736,72,364,2100,66400,0.0316265060240964,1992,14,14,2,0,0,40,38,2,0,2000,0,800,800,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,60,0,0,31622911654,NaN,0,2,3,39577305,2478,2478,4914091,2,4,1,0,1,1,43,36,43,28,16,10,24,26,0,0,0,0,0,mobile-limited-low,response-iid5,admissible
16079001,mobile-limited-low,mobile-limited-low,joint-control-iid5,joint-control-iid5,joint-control-iid5,5,30302262046,30302262046,33169706,16472733,36640,1,0,1,1,1,1,0,0,0,62,14,76,2400,0.0316666666666667,1736,72,364,2100,66400,0.0316265060240964,1992,14,14,2,0,0,40,37,3,0,2000,0,800,800,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,1,0,0,coherence-cumulative,1,60,0,0,31622911654,NaN,0,2,4,39577305,2478,2478,4914091,2,4,1,0,1,1,43,36,43,28,16,10,24,26,0,0,0,0,0,mobile-limited-low,joint-control-iid5,admissible
