seed,N,caseId,caseKind,erasureProbability,selectorAdmissible,selectorReason,selectorHash,rawTraceHash,finalTraceHash,stateHash,slotChanged,oldSlot,newSlot,addedEdges,removedEdges,unionEdges,unionWitnessCovered,maxIncidentEntriesAtWitness,maxMigrationResponseBytes,eventFrame,eligibleFrame,activationFrame,reacquired,firstReacquiredFrame,finalSuppressed,finalSlot,transactionOpen,acceptedEntries,requiredEntries,responseEntriesAttempted,unsupportedConcurrent,actualSubsetUnion,scheduledCollisionFrames,scheduledCollisionEdges,unsafeReuseFrames,claimAttempts,lockProofAttempts,responseAttempts,revokeAttempts,claimBytes,lockProofBytes,responseBytes,revokeBytes,controlAttempts,controlBytes,controlAirtimeSec,recipientAttempts,recipientSuccess,recipientErasure,recipientCollision,attemptBound,byteBound,attemptBoundRatio,byteBoundRatio,futureRandomReads,receiverTruthReads
16084001,5,zero-loss-valid,valid,0,1,admissible,55956,3286955316,275675799,4515858,1,1,3,1,1,5,1,1,26,8,12,9,1,12,0,3,0,2,2,2,0,1,0,0,0,1,40,2,1,28,1120,52,24,44,1224,0.039168,176,176,0,0,188,5064,0.234042553191489,0.241706161137441,0,0
16084001,5,iid20-valid,valid,0.2,1,admissible,55956,3286955316,3286955316,4598679,1,1,3,1,1,5,1,1,26,8,12,9,1,14,0,3,0,2,2,3,0,1,0,0,0,3,40,3,1,84,1120,78,24,47,1306,0.041792,188,157,31,0,188,5064,0.25,0.257898894154818,0,0
16084001,5,iid40-valid,valid,0.4,1,admissible,55956,3286955316,3286955316,4626194,1,1,3,1,1,5,1,1,26,8,12,9,1,15,0,3,0,2,2,3,0,1,0,0,0,4,40,3,1,112,1120,78,24,48,1334,0.042688,192,127,65,0,188,5064,0.25531914893617,0.263428120063191,0,0
16084001,5,response-blackout,response-blackout,0.2,1,admissible,55956,3286955316,3160451284,4928499,1,1,3,1,1,5,1,1,26,8,12,9,0,NaN,1,1,1,1,2,45,0,1,0,0,0,49,40,45,1,1372,1120,1170,24,135,3686,0.117952,540,411,129,0,188,5064,0.718085106382979,0.727883096366509,0,0
16084001,5,revoke-blackout,revoke-blackout,0.2,1,admissible,55956,3286955316,3283529872,4598679,1,1,3,1,1,5,1,1,26,8,12,9,1,14,0,3,0,2,2,3,0,1,0,0,0,3,40,3,1,84,1120,78,24,47,1306,0.041792,188,154,34,0,188,5064,0.25,0.257898894154818,0,0
16084001,5,stale-response,stale-response,0.2,1,admissible,55956,3286955316,3285005851,5164609,1,1,3,1,1,5,1,1,26,8,12,9,0,NaN,1,1,1,0,2,93,0,1,0,0,0,49,40,93,1,1372,1120,2418,24,183,4934,0.157888,732,604,128,0,188,5064,0.973404255319149,0.97432859399684,0,0
16084001,5,incomplete-union,incomplete-union,0.2,1,admissible,55956,3286955316,3287651648,4598679,1,1,3,1,1,5,1,1,26,8,12,9,1,14,0,3,0,2,2,3,0,0,52,52,0,3,40,3,1,84,1120,78,24,47,1306,0.041792,188,157,31,0,188,5064,0.25,0.257898894154818,0,0
16084001,5,concurrent-migration,concurrent,0.2,1,admissible,55956,3286955316,3286961385,4107538,1,1,3,1,1,5,1,1,26,NaN,12,9,0,NaN,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,5064,0,0,0,0
16084001,5,missing-witness,missing-witness,0.2,0,union_witness_uncovered,53405,3286955316,3286955316,4118388,1,1,3,1,1,5,0,0,0,8,12,9,0,NaN,1,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,24,1,24,0.000768,0,0,0,0,139,4280,0.00719424460431655,0.00560747663551402,0,0
16084001,5,over-mtu,over-mtu,0.2,0,migration_response_exceeds_mtu,49678,3286955316,3286955316,4118388,1,1,3,1,1,5,1,1,26,8,12,9,0,NaN,1,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,24,1,24,0.000768,4,3,1,0,188,5064,0.00531914893617021,0.004739336492891,0,0
