N,caseId,clockArm,nRuns,reacquisitionRate,meanControlAirtime,meanFirstReacquiredFrame,collisionFrames
5,iid20-valid,affine-clock,50,1,0.04022656,12.94,0
5,iid20-valid,zero-clock,50,1,0.04022656,12.94,0
5,iid40-valid,affine-clock,50,1,0.04180096,14.4,0
5,iid40-valid,zero-clock,50,1,0.04180096,14.4,0
5,incomplete-union,affine-clock,50,1,0.04022656,12.94,5200
5,incomplete-union,zero-clock,50,1,0.04022656,12.94,5200
5,response-blackout,affine-clock,50,0,0.11390848,NaN,0
5,response-blackout,zero-clock,50,0,0.11390848,NaN,0
5,revoke-blackout,affine-clock,50,1,0.04022656,12.94,0
5,revoke-blackout,zero-clock,50,1,0.04022656,12.94,0
5,zero-loss-valid,affine-clock,50,1,0.039168,12,0
5,zero-loss-valid,zero-clock,50,1,0.039168,12,0
10,iid20-valid,affine-clock,50,1,0.04021248,12.98,0
10,iid20-valid,zero-clock,50,1,0.04021248,12.98,0
10,iid40-valid,affine-clock,50,1,0.04270208,15.22,0
10,iid40-valid,zero-clock,50,1,0.04270208,15.22,0
10,incomplete-union,affine-clock,50,1,0.04021248,12.98,5200
10,incomplete-union,zero-clock,50,1,0.04021248,12.98,5200
10,response-blackout,affine-clock,50,0,0.11352576,NaN,0
10,response-blackout,zero-clock,50,0,0.11352576,NaN,0
10,revoke-blackout,affine-clock,50,1,0.04021248,12.98,0
10,revoke-blackout,zero-clock,50,1,0.04021248,12.98,0
10,zero-loss-valid,affine-clock,50,1,0.039168,12,0
10,zero-loss-valid,zero-clock,50,1,0.039168,12,0
20,iid20-valid,affine-clock,50,1,0.04054272,13.2,0
20,iid20-valid,zero-clock,50,1,0.04054272,13.2,0
20,iid40-valid,affine-clock,50,1,0.04211584,14.64,0
20,iid40-valid,zero-clock,50,1,0.04211584,14.64,0
20,incomplete-union,affine-clock,50,1,0.04054272,13.2,5200
20,incomplete-union,zero-clock,50,1,0.04054272,13.2,5200
20,response-blackout,affine-clock,50,0,0.11344256,NaN,0
20,response-blackout,zero-clock,50,0,0.11344256,NaN,0
20,revoke-blackout,affine-clock,50,1,0.04054272,13.2,0
20,revoke-blackout,zero-clock,50,1,0.04054272,13.2,0
20,zero-loss-valid,affine-clock,50,1,0.039168,12,0
20,zero-loss-valid,zero-clock,50,1,0.039168,12,0
