caseId,caseKind,clockArm,seed,N,clockImpaired,selectorHash,traceHash,kernelStateHash,nativeScheduleHash,scheduleHash,logicalHash,selectorAdmissible,slotChanged,actualSubsetUnion,reacquired,firstReacquiredFrame,finalSuppressed,dataTransitionExact,fixedProofAfterReacquisition,kernelControlAttempts,physicalControlAttempts,kernelControlBytes,physicalControlBytes,kernelControlAirtime,physicalControlAirtime,kernelRecipientAttempts,physicalRecipientAttempts,kernelRecipientSuccess,physicalRecipientSuccess,kernelRecipientErasure,physicalRecipientErasure,revokeMapped,claimMapped,proofMapped,responseMapped,kernelRevokeAttempts,kernelClaimAttempts,kernelProofAttempts,kernelResponseAttempts,maxControlPacketBytes,kernelCollisionFrames,physicalCollisionFrames,clockTimingConflictFree,clockEquationResidual,clockMinIntergroupGap,clockMaxIntragroupSkew,nativeDataAttempts,physicalDataAttempts,nativeControlAttempts,physicalFrameDuration,horizonSec,attemptBoundRatio,byteBoundRatio,futureRandomReads,receiverTruthReads
zero-loss-valid,valid,zero-clock,16085001,5,0,55956,275675799,14035826,412704444,688246039,113699723,1,1,1,1,12,0,1,1,44,44,1224,1224,0.039168,0.039168,176,176,176,176,0,0,1,1,40,2,1,1,40,2,28,0,0,1,1.11022302462516e-16,0.00290011600464002,0,296,296,44,0.0844617400696028,5.16770440417617,0.234042553191489,0.241706161137441,0,0
zero-loss-valid,valid,affine-clock,16085001,5,1,55956,275675799,14035826,412704444,697179378,113699723,1,1,1,1,12,0,1,1,44,44,1224,1224,0.039168,0.039168,176,176,176,176,0,0,1,1,40,2,1,1,40,2,28,0,0,1,6.93889390390723e-18,0.00262468885941641,0.000470673860188064,296,296,44,0.0844617400696028,5.16770440417617,0.234042553191489,0.241706161137441,0,0
iid20-valid,valid,zero-clock,16085001,5,0,55956,3276601431,14243852,406121599,705292457,112990651,1,1,1,1,14,0,1,1,47,47,1306,1306,0.041792,0.041792,188,188,155,155,33,33,1,3,40,3,1,3,40,3,28,0,0,1,1.11022302462516e-16,0.00290011600464002,0,294,294,47,0.0844617400696028,5.16770440417617,0.25,0.257898894154818,0,0
iid20-valid,valid,affine-clock,16085001,5,1,55956,3276601431,14243852,406121599,718015456,112990651,1,1,1,1,14,0,1,1,47,47,1306,1306,0.041792,0.041792,188,188,155,155,33,33,1,3,40,3,1,3,40,3,28,0,0,1,6.93889390390723e-18,0.00262468885941641,0.000470673860188064,294,294,47,0.0844617400696028,5.16770440417617,0.25,0.257898894154818,0,0
iid40-valid,valid,zero-clock,16085001,5,0,55956,3276601431,14242906,407458683,702892896,112995971,1,1,1,1,14,0,1,1,47,47,1306,1306,0.041792,0.041792,188,188,120,120,68,68,1,3,40,3,1,3,40,3,28,0,0,1,1.11022302462516e-16,0.00290011600464002,0,294,294,47,0.0844617400696028,5.16770440417617,0.25,0.257898894154818,0,0
iid40-valid,valid,affine-clock,16085001,5,1,55956,3276601431,14242906,407458683,717976518,112995971,1,1,1,1,14,0,1,1,47,47,1306,1306,0.041792,0.041792,188,188,120,120,68,68,1,3,40,3,1,3,40,3,28,0,0,1,6.93889390390723e-18,0.00262468885941641,0.000470673860188064,294,294,47,0.0844617400696028,5.16770440417617,0.25,0.257898894154818,0,0
revoke-blackout,revoke-blackout,zero-clock,16085001,5,0,55956,3273751978,14243852,406486989,704922446,112990651,1,1,1,1,14,0,1,1,47,47,1306,1306,0.041792,0.041792,188,188,151,151,37,37,1,3,40,3,1,3,40,3,28,0,0,1,1.11022302462516e-16,0.00290011600464002,0,294,294,47,0.0844617400696028,5.16770440417617,0.25,0.257898894154818,0,0
revoke-blackout,revoke-blackout,affine-clock,16085001,5,1,55956,3273751978,14243852,406486989,717645445,112990651,1,1,1,1,14,0,1,1,47,47,1306,1306,0.041792,0.041792,188,188,151,151,37,37,1,3,40,3,1,3,40,3,28,0,0,1,6.93889390390723e-18,0.00262468885941641,0.000470673860188064,294,294,47,0.0844617400696028,5.16770440417617,0.25,0.257898894154818,0,0
response-blackout,response-blackout,zero-clock,16085001,5,0,55956,3149989438,16669603,569057925,957539949,109685355,1,1,1,0,NaN,1,1,0,134,134,3660,3660,0.11712,0.11712,536,536,391,391,145,145,1,49,40,44,1,49,40,44,28,0,0,1,4.44089209850063e-16,0.00290011600464002,0,247,247,134,0.0844617400696028,5.16770440417617,0.712765957446808,0.722748815165877,0,0
response-blackout,response-blackout,affine-clock,16085001,5,1,55956,3149989438,16669603,569057925,967340772,109685355,1,1,1,0,NaN,1,1,0,134,134,3660,3660,0.11712,0.11712,536,536,391,391,145,145,1,49,40,44,1,49,40,44,28,0,0,1,6.93889390390723e-18,0.00262468885941641,0.000470673860188064,247,247,134,0.0844617400696028,5.16770440417617,0.712765957446808,0.722748815165877,0,0
