armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,seedCount,failedRuns,meanPrimaryFormationRMSE_m,meanEvaluationCost025PerChannel_Hz,scenarioId,costModel
O1L01,Centralized state oracle,centralized_state_oracle,lambda,0,NaN,NaN,5,0,0.162977125401603,11.3890909090909,S2,C0
O1L02,Centralized state oracle,centralized_state_oracle,lambda,1e-06,NaN,NaN,5,0,0.162736963035157,11.3836363636364,S2,C0
O1L03,Centralized state oracle,centralized_state_oracle,lambda,3e-06,NaN,NaN,5,0,0.162967983193997,11.3909090909091,S2,C0
O1L04,Centralized state oracle,centralized_state_oracle,lambda,1e-05,NaN,NaN,5,0,0.162699526626737,11.3663636363636,S2,C0
O1L05,Centralized state oracle,centralized_state_oracle,lambda,3e-05,NaN,NaN,5,0,0.162931361983637,11.3463636363636,S2,C0
O1L06,Centralized state oracle,centralized_state_oracle,lambda,0.0001,NaN,NaN,5,0,0.16255509710909,11.25,S2,C0
O1L07,Centralized state oracle,centralized_state_oracle,lambda,0.0003,NaN,NaN,5,0,0.162225470442772,10.9045454545455,S2,C0
O1L08,Centralized state oracle,centralized_state_oracle,lambda,0.001,NaN,NaN,5,0,0.167764193516855,7.42272727272727,S2,C0
O1L09,Centralized state oracle,centralized_state_oracle,lambda,0.003,NaN,NaN,5,0,0.191126502289233,3.93,S2,C0
O1L10,Centralized state oracle,centralized_state_oracle,lambda,0.01,NaN,NaN,5,0,0.250710871329068,1.93,S2,C0
O1L11,Centralized state oracle,centralized_state_oracle,lambda,0.03,NaN,NaN,5,0,0.368759693796022,1.03090909090909,S2,C0
O1L12,Centralized state oracle,centralized_state_oracle,lambda,0.1,NaN,NaN,5,0,0.609805185090449,0.427272727272727,S2,C0
O1L13,Centralized state oracle,centralized_state_oracle,lambda,0.3,NaN,NaN,5,0,0.932394967288305,0.169090909090909,S2,C0
O1L14,Centralized state oracle,centralized_state_oracle,lambda,1,NaN,NaN,5,0,1.47894293204659,0.05,S2,C0
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,5,0,0.165470790312474,50,S2,C0
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,5,0,0.168100765428591,25,S2,C0
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,5,0,0.171162638713115,16.6663636363637,S2,C0
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,5,0,0.174595826377148,12.5,S2,C0
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,5,0,0.178836478882745,10,S2,C0
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,5,0,0.192599351224985,6.24545454545455,S2,C0
PS010,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,5,0,0.203649521381208,5,S2,C0
PS015,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,5,0,0.230733271395,3.33545454545455,S2,C0
PS020,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,5,0,0.263970237372604,2.5,S2,C0
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,5,0,0.293723541995433,2,S2,C0
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,5,0,0.399029181409083,1.24818181818182,S2,C0
O1L01,Centralized state oracle,centralized_state_oracle,lambda,0,NaN,NaN,5,0,0.157314561775938,12.4609090909091,S3,C0
O1L02,Centralized state oracle,centralized_state_oracle,lambda,1e-06,NaN,NaN,5,0,0.157314561361443,12.4609090909091,S3,C0
O1L03,Centralized state oracle,centralized_state_oracle,lambda,3e-06,NaN,NaN,5,0,0.156813802918528,12.4609090909091,S3,C0
