scenarioId,binIndex,lowerEdge,upperEdge,count,meanForecast,empiricalFrequency,absoluteGap,includedInMCE
S2,1,0,0.1,10286980,0.000213862571910931,0.000229610634024758,1.57480621138265e-05,1
S2,2,0.1,0.2,55000,0.159999999999897,0.160709090909091,0.000709090909194243,1
S2,3,0.2,0.3,0,NaN,NaN,NaN,0
S2,4,0.3,0.4,0,NaN,NaN,NaN,0
S2,5,0.4,0.5,0,NaN,NaN,NaN,0
S2,6,0.5,0.6,0,NaN,NaN,NaN,0
S2,7,0.6,0.7,0,NaN,NaN,NaN,0
S2,8,0.7,0.8,0,NaN,NaN,NaN,0
S2,9,0.8,0.9,55000,0.80000000000036,0.796345454545455,0.00365454545490573,1
S2,10,0.9,1,0,NaN,NaN,NaN,0
S6,1,0,0.1,10286980,0.000213862571910931,0.000229610634024758,1.57480621138265e-05,1
S6,2,0.1,0.2,55000,0.159999999999897,0.160709090909091,0.000709090909194243,1
S6,3,0.2,0.3,0,NaN,NaN,NaN,0
S6,4,0.3,0.4,0,NaN,NaN,NaN,0
S6,5,0.4,0.5,0,NaN,NaN,NaN,0
S6,6,0.5,0.6,0,NaN,NaN,NaN,0
S6,7,0.6,0.7,0,NaN,NaN,NaN,0
S6,8,0.7,0.8,0,NaN,NaN,NaN,0
S6,9,0.8,0.9,55000,0.80000000000036,0.796345454545455,0.00365454545490573,1
S6,10,0.9,1,0,NaN,NaN,NaN,0
