scenarioId,seed,traceHashExact,dt_s,horizon_s,period_s,packetLoss,delay_s,jitterStd_s,txCount,ackCount,dropCount,receiverLogPresent,senderFireLogPresent,diverged
S2,27020001,47187688286,0.02,30,0.1,0.2,0.08,0,2990,0,605,1,1,0
S2,27020002,47256918831,0.02,30,0.1,0.2,0.08,0,2990,0,612,1,1,0
S2,27020003,47240498210,0.02,30,0.1,0.2,0.08,0,2990,0,608,1,1,0
S2,27020004,47136378024,0.02,30,0.1,0.2,0.08,0,2990,0,613,1,1,0
S2,27020005,47246216507,0.02,30,0.1,0.2,0.08,0,2990,0,593,1,1,0
S6,27020001,47187688286,0.02,30,0.1,0.2,0.08,0,2990,0,605,1,1,0
S6,27020002,47256918831,0.02,30,0.1,0.2,0.08,0,2990,0,612,1,1,0
S6,27020003,47240498210,0.02,30,0.1,0.2,0.08,0,2990,0,608,1,1,0
S6,27020004,47136378024,0.02,30,0.1,0.2,0.08,0,2990,0,613,1,1,0
S6,27020005,47246216507,0.02,30,0.1,0.2,0.08,0,2990,0,593,1,1,0
