scenarioId,scenario,seed,time_s,linkClass,receiver,sender,isolatedResponseEnergy,crossContribution,expectedBenefit,eventWindow
S1,Stationary-Moderate,27020001,8,ordinary,2,1,1.72230248772017e-05,0.00179868144206146,0.00178145841718426,0
S1,Stationary-Moderate,27020001,8.02,ordinary,2,1,2.04961944125453e-05,0.00196410921649778,0.00194361302208523,0
S1,Stationary-Moderate,27020001,8.04,ordinary,2,1,2.40537596592404e-05,0.00212987732957574,0.0021058235699165,0
S1,Stationary-Moderate,27020001,8.06,ordinary,2,1,2.78956636963183e-05,0.00229597338292669,0.00226807771923038,0
S1,Stationary-Moderate,27020001,8.08,ordinary,2,1,3.20218450533964e-05,0.00246231027258504,0.00243028842753164,0
S1,Stationary-Moderate,27020001,8.1,ordinary,2,1,3.64322377116617e-05,0.00262881824935771,0.00259238601164605,0
S1,Stationary-Moderate,27020001,8.12,ordinary,2,1,4.11267711049255e-05,0.00279545052667642,0.0027543237555715,0
S1,Stationary-Moderate,27020001,8.14,ordinary,2,1,4.61053701207531e-05,0.00296218396164615,0.0029160785915254,0
S1,Stationary-Moderate,27020001,8.16,ordinary,2,1,5.13679551016667e-05,0.00312900354073372,0.00307763558563206,0
S1,Stationary-Moderate,27020001,8.18,ordinary,2,1,5.69144418464193e-05,0.00329584584295395,0.00323893140110753,0
S1,Stationary-Moderate,27020001,8.2,ordinary,2,1,6.27447416113408e-05,0.0034626795565161,0.00339993481490476,0
S1,Stationary-Moderate,27020001,8.22,ordinary,2,1,6.88587611117605e-05,0.00362950642177062,0.00356064766065886,0
S1,Stationary-Moderate,27020001,8.24,ordinary,2,1,7.52564025234948e-05,0.00379633366667773,0.00372107726415423,0
S1,Stationary-Moderate,27020001,8.26,ordinary,2,1,2.2777436447644e-06,0.000655955595632715,0.00065367785198795,0
S1,Stationary-Moderate,27020001,8.28,ordinary,2,1,3.55893173727372e-06,0.00082040172664532,0.000816842794908046,0
S1,Stationary-Moderate,27020001,8.3,ordinary,2,1,5.12478653697593e-06,0.000984994021666974,0.000979869235129998,0
