scenarioId,scenario,seed,periodSamples,horizonSamples,delaySamples,successProbability,candidateCount,nonBeneficialFraction,topDecileOverlap,pearsonCorrelation,crossDominantFraction,medianCrossToIsolatedRatio,eventPositiveBenefitAllocation,formationRMSE_m,saturationFraction,maxDecompositionResidual,traceHashExact,runtime_s
S1,Stationary-Moderate,27020001,10,25,4,0.8,10760,0,0.784386617100372,0.925018817015461,1,154.472973344254,NaN,0.148996498683233,0,2.40779618465581e-15,47187688286,0.9815263
S1,Stationary-Moderate,27020002,10,25,4,0.8,10760,0,0.742565055762082,0.897839312683429,1,148.547146117116,NaN,0.143289349816605,0,2.55351295663786e-15,47256918831,0.4399798
S1,Stationary-Moderate,27020003,10,25,4,0.8,10760,0,0.777881040892193,0.913873700901058,1,150.646637885079,NaN,0.143689774197484,0,3.15719672627779e-15,47240498210,0.4367949
S1,Stationary-Moderate,27020004,10,25,4,0.8,10760,0,0.763940520446097,0.896415353561296,1,151.60332399169,NaN,0.145373277232808,0,2.26381413614973e-15,47136378024,0.4617494
S1,Stationary-Moderate,27020005,10,25,4,0.8,10760,0,0.794609665427509,0.907441635764341,1,151.739062107,NaN,0.146726084514901,0,1.92901250528621e-15,47246216507,0.5188117
S2,Formation-switching,27020001,10,25,4,0.8,10760,0.0855018587360595,0.646840148698885,0.383085845824389,0.997490706319703,140.072087626552,1.04249093229788,0.191026032081756,0,2.40779618465581e-15,47187688286,0.4203394
S2,Formation-switching,27020002,10,25,4,0.8,10760,0.0897769516728625,0.643122676579926,0.562577277661574,0.999256505576208,138.107601335825,0.921593079057619,0.187478424071444,0,2.44249065417534e-15,47256918831,0.374186
S2,Formation-switching,27020003,10,25,4,0.8,10760,0.0911710037174721,0.648698884758364,0.542120265969138,0.997490706319703,141.055919510201,0.964618801031592,0.187834233799344,0,3.15719672627779e-15,47240498210,0.3572195
S2,Formation-switching,27020004,10,25,4,0.8,10760,0.0896840148698885,0.619888475836431,0.621974995982634,0.997955390334572,142.749770251463,0.941233471372013,0.190207654131379,0,2.40345937596587e-15,47136378024,0.3840405
S2,Formation-switching,27020005,10,25,4,0.8,10760,0.0924721189591078,0.66449814126394,0.629513394035384,0.997211895910781,142.833507573419,0.929101374176804,0.190392480436616,0,2.17534323887492e-15,47246216507,0.3511023
S6,Dynamic-excitation,27020001,10,25,4,0.8,10760,0.000929368029739777,0.75185873605948,0.909108007061443,1,140.716721822293,1.30430495777985,0.148727712393194,0,2.40779618465581e-15,47187688286,0.4506027
S6,Dynamic-excitation,27020002,10,25,4,0.8,10760,0.000743494423791822,0.712825278810409,0.860611218885764,0.999814126394052,135.150203391323,1.16447584253612,0.143819495869534,0,2.55351295663786e-15,47256918831,0.4011642
S6,Dynamic-excitation,27020003,10,25,4,0.8,10760,0.000185873605947955,0.742565055762082,0.864463158554383,1,138.254861057671,1.25181369850375,0.144380588699071,0,3.15719672627779e-15,47240498210,0.3610471
S6,Dynamic-excitation,27020004,10,25,4,0.8,10760,0.00269516728624535,0.71003717472119,0.865865646136703,0.999907063197026,137.759964665251,1.23361244933035,0.145810944510133,0,2.26381413614973e-15,47136378024,0.3791219
S6,Dynamic-excitation,27020005,10,25,4,0.8,10760,0.004182156133829,0.753717472118959,0.86835147583329,0.999256505576208,142.127529970686,1.23501680646045,0.149171476323,0,1.92901250528621e-15,47246216507,0.3647221
