armId,methodFamily,method,parameterName,parameterValue,seedCount,failedRuns,formationRMSE_m,dataCost_HzPerChannel,costC2_HzPerChannel,feedbackEligibleCount,feedbackEligibleRate_HzPerChannel,scenarioId,periodicMatchedCost_HzPerChannel,etaCritical,allowableFeedbackFractionRawAt025,allowableFeedbackFractionClippedAt025,eligibility,economicClass
O1L01,Centralized state oracle,centralized_state_oracle,lambda,0,5,0,0.162977125401603,11.3890909090909,13.6675,2005,9.11363636363636,S2,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L02,Centralized state oracle,centralized_state_oracle,lambda,1e-06,5,0,0.162736963035157,11.3836363636364,13.6575,2001,9.09545454545455,S2,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L03,Centralized state oracle,centralized_state_oracle,lambda,3e-06,5,0,0.162967983193997,11.3909090909091,13.6586363636364,1995.6,9.07090909090909,S2,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L04,Centralized state oracle,centralized_state_oracle,lambda,1e-05,5,0,0.162699526626737,11.3663636363636,13.6520454545454,2011.4,9.14272727272727,S2,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L05,Centralized state oracle,centralized_state_oracle,lambda,3e-05,5,0,0.162931361983637,11.3463636363636,13.6129545454545,1994.6,9.06636363636364,S2,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L06,Centralized state oracle,centralized_state_oracle,lambda,0.0001,5,0,0.16255509710909,11.25,13.4852272727273,1967,8.94090909090909,S2,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L07,Centralized state oracle,centralized_state_oracle,lambda,0.0003,5,0,0.162225470442772,10.9045454545455,13.0752272727273,1910.2,8.68272727272727,S2,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L08,Centralized state oracle,centralized_state_oracle,lambda,0.001,5,0,0.167764193516855,7.42272727272727,8.90522727272727,1304.6,5.93,S2,28.1993830442896,3.50365190076937,14.0146076030775,1,ELIGIBLE,FULL_FEEDBACK_AFFORDABLE
O1L09,Centralized state oracle,centralized_state_oracle,lambda,0.003,5,0,0.191126502289233,3.93,4.71204545454545,688.2,3.12818181818182,S2,6.64725136078841,0.868636006064297,3.47454402425719,1,ELIGIBLE,FULL_FEEDBACK_AFFORDABLE
O1L10,Centralized state oracle,centralized_state_oracle,lambda,0.01,5,0,0.250710871329068,1.93,2.31704545454546,340.6,1.54818181818182,S2,2.8332914814903,0.583453100199251,2.333812400797,1,ELIGIBLE,FULL_FEEDBACK_AFFORDABLE
O1L11,Centralized state oracle,centralized_state_oracle,lambda,0.03,5,0,0.368759693796022,1.03090909090909,1.23568181818182,180.2,0.819090909090909,S2,1.46428753928596,0.529096884810827,2.11638753924331,1,ELIGIBLE,FULL_FEEDBACK_AFFORDABLE
O1L12,Centralized state oracle,centralized_state_oracle,lambda,0.1,5,0,0.609805185090449,0.427272727272727,0.513409090909091,75.8,0.344545454545455,S2,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L13,Centralized state oracle,centralized_state_oracle,lambda,0.3,5,0,0.932394967288305,0.169090909090909,0.205227272727273,31.8,0.144545454545455,S2,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L14,Centralized state oracle,centralized_state_oracle,lambda,1,5,0,1.47894293204659,0.05,0.0602272727272727,9,0.0409090909090909,S2,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L01,Centralized state oracle,centralized_state_oracle,lambda,0,5,0,0.157314561775938,12.4609090909091,14.2615909090909,1584.6,7.20272727272727,S3,14.0438295835793,0.219766823417551,0.879067293670206,0.879067293670206,ELIGIBLE,PRICE_025_UNAFFORDABLE
