armId,methodFamily,method,parameterName,parameterValue,seedCount,failedRuns,formationRMSE_m,dataCost_HzPerChannel,costC2_HzPerChannel,feedbackEligibleCount,feedbackEligibleRate_HzPerChannel,scenarioId
PS040,Periodic,Periodic-40step,periodSamples,40,5,0,0.399029181409083,1.24818181818182,1.24818181818182,0,0,S2
PS025,Periodic,Periodic-25step,periodSamples,25,5,0,0.293723541995433,2,2,0,0,S2
PS020,Periodic,Periodic-20step,periodSamples,20,5,0,0.263970237372604,2.5,2.5,0,0,S2
PS015,Periodic,Periodic-15step,periodSamples,15,5,0,0.230733271395,3.33545454545455,3.33545454545455,0,0,S2
PS010,Periodic,Periodic-10step,periodSamples,10,5,0,0.203649521381208,5,5,0,0,S2
PS008,Periodic,Periodic-8step,periodSamples,8,5,0,0.192599351224985,6.24545454545455,6.24545454545455,0,0,S2
PS005,Periodic,Periodic-5step,periodSamples,5,5,0,0.178836478882745,10,10,0,0,S2
PS004,Periodic,Periodic-4step,periodSamples,4,5,0,0.174595826377148,12.5,12.5,0,0,S2
PS003,Periodic,Periodic-3step,periodSamples,3,5,0,0.171162638713115,16.6663636363637,16.6663636363637,0,0,S2
PS002,Periodic,Periodic-2step,periodSamples,2,5,0,0.168100765428591,25,25,0,0,S2
PS001,Periodic,Periodic-1step,periodSamples,1,5,0,0.165470790312474,50,50,0,0,S2
PS040,Periodic,Periodic-40step,periodSamples,40,5,0,0.584599805122672,1.24818181818182,1.24818181818182,0,0,S3
PS025,Periodic,Periodic-25step,periodSamples,25,5,0,0.401503219344537,2,2,0,0,S3
PS020,Periodic,Periodic-20step,periodSamples,20,5,0,0.358354558611536,2.5,2.5,0,0,S3
PS015,Periodic,Periodic-15step,periodSamples,15,5,0,0.297563035350411,3.33545454545455,3.33545454545455,0,0,S3
PS010,Periodic,Periodic-10step,periodSamples,10,5,0,0.242821035024192,5,5,0,0,S3
PS008,Periodic,Periodic-8step,periodSamples,8,5,0,0.211298746718255,6.24545454545455,6.24545454545455,0,0,S3
PS005,Periodic,Periodic-5step,periodSamples,5,5,0,0.175566669228147,10,10,0,0,S3
PS004,Periodic,Periodic-4step,periodSamples,4,5,0,0.163921260437046,12.5,12.5,0,0,S3
PS003,Periodic,Periodic-3step,periodSamples,3,5,0,0.146091631214476,16.6663636363637,16.6663636363637,0,0,S3
PS002,Periodic,Periodic-2step,periodSamples,2,5,0,0.126971651094584,25,25,0,0,S3
PS001,Periodic,Periodic-1step,periodSamples,1,5,0,0.103271621583481,50,50,0,0,S3
PS040,Periodic,Periodic-40step,periodSamples,40,5,0,0.432274651162221,1.24818181818182,1.24818181818182,0,0,S4
PS025,Periodic,Periodic-25step,periodSamples,25,5,0,0.303594902393725,2,2,0,0,S4
PS020,Periodic,Periodic-20step,periodSamples,20,5,0,0.259731535485119,2.5,2.5,0,0,S4
PS015,Periodic,Periodic-15step,periodSamples,15,5,0,0.21673896922086,3.33545454545455,3.33545454545455,0,0,S4
PS010,Periodic,Periodic-10step,periodSamples,10,5,0,0.170573805856513,5,5,0,0,S4
